ID,Title,AI Automated Test,AI Model,AI Type,Attachments,Automation Type,Created By,Created On,Estimate,Expected Result,Forecast,Goals,Labels,Mission,Preconditions,Priority,References,Section,Section Depth,Section Description,Section Hierarchy,Steps,Steps,Steps (Additional Info),Steps (Expected Result),Steps (References),Steps (Shared step ID),Steps (Step),Suite,Suite ID,Template,Type,Updated By,Updated On,is_converted
,Verify Notes tab default empty state,,,,,Automated,Omeesha Mahanta,,,"Empty table (""No Notes Available""), counter at 0/4000, Add button enabled, NO Delete button, NO column headers",,,locations,,"Office 1604 is open in Navigator. Notes tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Notes""
Sample input 2: ""0/4000""
Sample input 3: ""(4000 Left)""",Medium,,Notes,1,,Locations > Notes,"<ol>
<li>1. Open the Location Settings page.</li>
<li>2. Click the ""Notes"" tab.</li>
<li>3. Verify the table shows ""No Notes Available"" (no column headers visible).</li>
<li>4. Verify the character counter shows ""0/4000"" with ""(4000 Left)"".</li>
<li>5. Verify the ""Add"" button is visible and enabled.</li>
<li>6. Verify the progress bar is visible at minimal fill.</li>
<li>7. Verify no ""Delete"" button appears in the section</li>
</ol>",,,"1. The Location Settings page opens and is displayed.
2. The Notes tab becomes active and its section is displayed.
3. The notes table shows ""No Notes Available"" with no column headers visible.
4. The character counter shows ""0/4000 (4000 Left)"".
5. The 'Add' button is visible and enabled.
6. The progress bar is visible and shows minimal fill.
7. Empty table (""No Notes Available""), counter at 0/4000, Add button enabled, NO Delete button, NO column headers",,,,Master,S1620,Test Case (Steps),Regression,,,
,Type text in the note box and verify counter updates,,,,,Automated,Omeesha Mahanta,,,Counter updates in real time to 25/4000; Save button enables on change,,,locations,,"Office 1604 is open in Navigator. Notes tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Notes""
Sample input 2: ""Test note for exploration""
Sample input 3: ""25/4000""
Sample input 4: ""(3975 Left)""",Medium,,Notes,1,,Locations > Notes,"<ol>
<li>1. Open the ""Notes"" tab.</li>
<li>2. Click the ""Add"" button.</li>
<li>3. Type ""Test note for exploration"" in the note box.</li>
<li>4. Verify the character counter shows ""25/4000"" with ""(3975 Left)"".</li>
<li>5. Verify the left-panel ""Save"" button is enabled</li>
</ol>",,,"1. The Notes tab becomes active and its section is displayed.
2. A new empty note row appears in the table.
3. The note box displays ""Test note for exploration"" as typed.
4. The character counter shows ""25/4000 (3975 Left)"".
5. Counter updates in real time to 25/4000; Save button enables on change",,,,Master,S1620,Test Case (Steps),Regression,,,
,Add second note row and verify Delete button behavior,,,,,Automated,Omeesha Mahanta,,,Delete appears on typed rows and on ALL rows when 2+ exist; counter adds +1 delimiter per additional row,,,locations,,"Office 1604 is open in Navigator. Notes tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Notes""
Sample input 2: ""First note""
Sample input 3: ""10/4000""
Sample input 4: ""11/4000""",Medium,,Notes,1,,Locations > Notes,"<ol>
<li>1. Open the ""Notes"" tab and click ""Add"". Confirm no ""Delete"" button appears yet.</li>
<li>2. Type ""First note"" in the first row. Confirm the counter shows ""10/4000"" and a ""Delete"" button appears on that row.</li>
<li>3. Click ""Add"" again to create a second empty row.</li>
<li>4. Verify the ""Delete"" button is still present on the first row.</li>
<li>5. Verify the ""Delete"" button is also present on the second row (all rows get ""Delete"" when 2 or more rows exist).</li>
<li>6. Verify the counter shows ""11/4000"" (10 characters plus 1 delimiter)</li>
</ol>",,,"1. An empty note row appears with no 'Delete' button present.
2. The counter shows ""10/4000"" and a 'Delete' button appears on the first row.
3. A second empty note row appears below the first.
4. The 'Delete' button remains visible on the first row.
5. The 'Delete' button is also visible on the second row.
6. Delete appears on typed rows and on ALL rows when 2+ exist; counter adds +1 delimiter per additional row",,,,Master,S1620,Test Case (Steps),Regression,,,
,Multi-row counter includes delimiter per row boundary,,,,,Automated,Omeesha Mahanta,,,Each additional row adds exactly 1 delimiter character to the total count,,,locations,,"Office 1604 is open in Navigator. Notes tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Notes""
Sample input 2: ""Hello""
Sample input 3: ""5/4000""
Sample input 4: ""6/4000""
Sample input 5: ""World""
Sample input 6: ""11/4000""",Medium,,Notes,1,,Locations > Notes,"<ol>
<li>1. Open the ""Notes"" tab and click ""Add"".</li>
<li>2. Type ""Hello"" in the first row. Confirm the counter shows ""5/4000"".</li>
<li>3. Click ""Add"" again. Confirm the counter shows ""6/4000"" (the new row adds 1 delimiter).</li>
<li>4. Type ""World"" in the second row. Confirm the counter shows ""11/4000"" (5+1+5).</li>
<li>5. Click ""Add"" again. Confirm the counter shows ""12/4000"".</li>
<li>6. Type ""End"" in the third row. Confirm the counter shows ""15/4000"" (5+1+5+1+3)</li>
</ol>",,,"1. An empty note row appears in the table.
2. The character counter shows ""5/4000"" after typing ""Hello"".
3. A second empty row appears and the counter shows ""6/4000"".
4. The counter shows ""11/4000"" after typing ""World"" in the second row.
5. A third empty row appears and the counter shows ""12/4000"".
6. Each additional row adds exactly 1 delimiter character to the total count",,,,Master,S1620,Test Case (Steps),Regression,,,
,Delete a row and verify counter decreases,,,,,Automated,Omeesha Mahanta,,,Counter decreases by deleted row text + delimiter; Delete stays on the first row because it has content,,,locations,,"Office 1604 is open in Navigator. Notes tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Notes""
Sample input 2: ""First note""
Sample input 3: ""10/4000""
Sample input 4: ""Second note""
Sample input 5: ""22/4000""",Medium,,Notes,1,,Locations > Notes,"<ol>
<li>1. Open the ""Notes"" tab, click ""Add"", and type ""First note"". Confirm the counter shows ""10/4000"".</li>
<li>2. Click ""Add"" and type ""Second note"" in the second row. Confirm the counter shows ""22/4000"" (10+1+11).</li>
<li>3. Click ""Delete"" on the second row. Confirm the row is removed and the counter returns to ""10/4000"".</li>
<li>4. Verify the ""Delete"" button is still visible on the first row (the row has content).</li>
<li>5. Verify only the first row remains, showing ""First note""</li>
</ol>",,,"1. The first row shows ""First note"" and the counter reads ""10/4000"".
2. The second row shows ""Second note"" and the counter reads ""22/4000"".
3. The second row is removed and the counter returns to ""10/4000"".
4. The 'Delete' button remains visible on the first row.
5. Counter decreases by deleted row text + delimiter; Delete stays on the first row because it has content",,,,Master,S1620,Test Case (Steps),Regression,,,
,Progress bar updates proportionally with character usage,,,,,Automated,Omeesha Mahanta,,,Progress bar fills proportionally to character usage against the 4000 limit,,,locations,,"Office 1604 is open in Navigator. Notes tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Notes""",Medium,,Notes,1,,Locations > Notes,"<ol>
<li>1. Open the ""Notes"" tab. Confirm the progress bar is at minimal fill.</li>
<li>2. Click ""Add"" and type a 40-character string. Confirm the bar fills slightly (roughly 1% of 4000).</li>
<li>3. Replace the text with a 2000-character string. Confirm the bar is approximately 50% filled.</li>
<li>4. Verify the bar width corresponds proportionally to the percentage of the 4000-character limit used</li>
</ol>",,,"1. The progress bar is displayed at minimal fill.
2. The progress bar fills slightly, to roughly 1 percent.
3. The progress bar fills to approximately 50 percent.
4. Progress bar fills proportionally to character usage against the 4000 limit",,,,Master,S1620,Test Case (Steps),Regression,,,
,Verify 4000 character limit (soft enforcement),,,,,Automated,Omeesha Mahanta,,,Keyboard input is blocked at 4000 characters; pasting bypasses the limit (it is a soft limit); the counter shows the overage; the field has no hard maximum-length cap,,,locations,,"Office 1604 is open in Navigator. Notes tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Notes""
Sample input 2: ""4000/4000(0 Left)""
Sample input 3: ""4001/4000(0 Left)""",Medium,,Notes,1,,Locations > Notes,"<ol>
<li>1. Open the ""Notes"" tab and click ""Add"".</li>
<li>2. Fill the note box with exactly 4000 characters. Confirm the counter shows ""4000/4000(0 Left)"" and the progress bar is full.</li>
<li>3. Attempt to type one additional character via keyboard. Confirm the character is blocked (keyboard input stops at the limit).</li>
<li>4. Paste a 4001-character string into the note box. Confirm the counter shows ""4001/4000(0 Left)"" - the paste is accepted (soft limit only).</li>
<li>5. Verify the field does not impose a hard maximum-length cap (the 4000 limit is enforced by the application, not the browser)</li>
</ol>",,,"1. An empty note row appears in the table.
2. The counter shows ""4000/4000 (0 Left)"" and the progress bar is completely full.
3. The additional keystroke is blocked and the counter remains at ""4000/4000"".
4. The pasted text is accepted and the counter shows ""4001/4000 (0 Left)"".
5. Keyboard input is blocked at 4000 characters; pasting bypasses the limit (it is a soft limit); the counter shows the overage; the field has no hard maximum-length cap",,,,Master,S1620,Test Case (Steps),Regression,,,
,Save notes via left-panel Save button,,,,,Automated,Omeesha Mahanta,,,"Save dialog appears with confirmed heading/body; after confirmation, notes saved and Save button disables",,,locations,,"Office 1604 is open in Navigator. Notes tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Notes""
Sample input 2: ""Saved note content""
Sample input 3: ""19/4000""
Sample input 4: ""Save Changes""
Sample input 5: ""Are you sure you want to save the changes?""",Medium,,Notes,1,,Locations > Notes,"<ol>
<li>1. Open the ""Notes"" tab, click ""Add"", and type ""Saved note content"". Confirm the counter shows ""19/4000"" (18 content characters plus 1 row-delimiter).</li>
<li>2. Click the left-panel ""Save"" button. Confirm the save dialog appears.</li>
<li>3. Verify the dialog heading reads ""Save Changes"".</li>
<li>4. Verify the dialog body reads ""Are you sure you want to save the changes?""</li>
<li>5. Click ""Ok"" in the dialog. Confirm the dialog closes (the button is labeled ""Ok"", not ""Save"").</li>
<li>6. Verify the left-panel ""Save"" button becomes disabled</li>
</ol>",,,"1. The note row shows ""Saved note content"" and the counter reads ""19/4000"".
2. The save confirmation dialog appears.
3. The dialog heading reads ""Save Changes"".
4. The dialog body reads ""Are you sure you want to save the changes?""
5. The dialog closes after clicking 'Ok'.
6. Save dialog appears with confirmed heading/body; after confirmation, notes saved and Save button disables",,,,Master,S1620,Test Case (Steps),Regression,,,
,Notes persist after page reload,,,,,Automated,Omeesha Mahanta,,,Saved notes persist after page reload with exact content and correct counter,,,locations,,"Office 1604 is open in Navigator. Notes tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Notes""
Sample input 2: ""Persistent note""
Sample input 3: ""15/4000(3985 Left)""",Medium,,Notes,1,,Locations > Notes,"<ol>
<li>1. Open the ""Notes"" tab, click ""Add"", and type ""Persistent note"" (15 characters).</li>
<li>2. Click the left-panel ""Save"" and confirm in the dialog. Confirm the Save button becomes disabled.</li>
<li>3. Reload the page (navigate to the same URL).</li>
<li>4. Click the ""Notes"" tab and wait for the section to load.</li>
<li>5. Verify the first note reads ""Persistent note"".</li>
<li>6. Verify the counter shows ""15/4000(3985 Left)""</li>
</ol>",,,"1. The first row displays ""Persistent note"" as typed.
2. The notes are saved and the Save button becomes disabled.
3. The page reloads and the Location Settings page is displayed.
4. The Notes tab becomes active and its section loads.
5. The first note reads ""Persistent note"".
6. Saved notes persist after page reload with exact content and correct counter",,,,Master,S1620,Test Case (Steps),Regression,,,
,Tab switch preserves unsaved notes,,,,,Automated,Omeesha Mahanta,,,Switching between sub-tabs preserves unsaved note content in the form state,,,locations,,"Office 1604 is open in Navigator. Notes tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Notes""
Sample input 2: ""Temporary text""
Sample input 3: ""14/4000""
Sample input 4: ""Currency""
Sample input 5: ""14/4000(3986 Left)""",Medium,,Notes,1,,Locations > Notes,"<ol>
<li>1. Open the ""Notes"" tab, click ""Add"", and type ""Temporary text"". Confirm the counter shows ""14/4000"".</li>
<li>2. Click the ""Currency"" tab. Confirm the Currency tab loads.</li>
<li>3. Click the ""Notes"" tab again.</li>
<li>4. Verify the note box still contains ""Temporary text"".</li>
<li>5. Verify the counter shows ""14/4000(3986 Left)""</li>
</ol>",,,"1. The note row shows ""Temporary text"" and the counter reads ""14/4000"".
2. The Currency tab becomes active and its section is displayed.
3. The Notes tab becomes active again and its section is displayed.
4. The note box still contains ""Temporary text"".
5. Switching between sub-tabs preserves unsaved note content in the form state",,,,Master,S1620,Test Case (Steps),Regression,,,
