ID,Title,AI Automated Test,AI Model,AI Type,Attachments,Automation Type,Created By,Created On,Estimate,Expected Result,Forecast,Goals,Labels,Mission,Preconditions,Priority,References,Section,Section Depth,Section Description,Section Hierarchy,Steps,Steps,Steps (Additional Info),Steps (Expected Result),Steps (References),Steps (Shared step ID),Steps (Step),Suite,Suite ID,Template,Type,Updated By,Updated On,is_converted
,Export downloads a Product Group Overrides CSV directly (no dialog),,,,,Automated,,,,"Export triggers a direct Product Group Overrides CSV download from the override export endpoint, carrying the exact 9-column header set in order",,,"corporate-pricing-pg-override,functional",,"On the Override screen with location 1606 selected

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Export""",Medium,,Export,1,,Corporate_Pricing_Pg_Override > Export,"<ol>
<li>1. Click the Override toolbar ""Export"" button</li>
<li>2. Read the download</li>
</ol>",,,"1. A Product Group Overrides CSV file begins downloading immediately, with no dialog shown.
2. Export triggers a direct Product Group Overrides CSV download from the override export endpoint, carrying the exact 9-column header set in order",,,,Master,S1620,Test Case (Steps),Regression,,,
,"Every downloaded CSV row is well-formed with valid IDs, currency, 0/1 flags, and money fields",,,,,Automated,,,,"Every row in the downloaded file has the full 9-column shape, a numeric Location Id and Product Group Id, a supported Currency (USD/CAD/MXN), 0/1 values in the Is Labor and Is Active flag columns, an always-populated Current Price money value, an Override Price that is either blank or a money value, and an Override Discount that is either blank or a plain decimal. The file is a tenant-wide dump (not scoped to the selected location); Product Group Name is free text and is not asserted for content",,,"corporate-pricing-pg-override,functional",,"On the Override screen with location 1606 selected

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Export""",Medium,,Export,1,,Corporate_Pricing_Pg_Override > Export,"<ol>
<li>1. Click the Override toolbar ""Export"" button</li>
<li>2. Read the header row</li>
<li>3. Validate every data row against its column's expected format</li>
</ol>",,,"1. The Product Group Overrides CSV file downloads.
2. The header row displays the full 9-column set.
3. Every row in the downloaded file has the full 9-column shape, a numeric Location Id and Product Group Id, a supported Currency (USD/CAD/MXN), 0/1 values in the Is Labor and Is Active flag columns, an always-populated Current Price money value, an Override Price that is either blank or a money value, and an Override Discount that is either blank or a plain decimal. The file is a tenant-wide dump (not scoped to the selected location); Product Group Name is free text and is not asserted for content",,,,Master,S1620,Test Case (Steps),Regression,,,
,"Export returns every location in the tenant, not just the selected office",,,,,Automated,,,,"The file contains many different Location Ids - hundreds of offices, not just the one selected on screen. Export is tenant-wide and takes no notice of the location picker",,,"corporate-pricing-pg-override,functional",,"On the Override screen with the fixture office selected and the grid loaded

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Export,1,,Corporate_Pricing_Pg_Override > Export,"<ol>
<li>1. Click Export and capture the downloaded CSV</li>
<li>2. Read the Location Id column from every data row</li>
<li>3. Count the distinct values</li>
</ol>",,,"1. The CSV file downloads.
2. The Location Id values are displayed for every data row in the file.
3. The file contains many different Location Ids - hundreds of offices, not just the one selected on screen. Export is tenant-wide and takes no notice of the location picker",,,,Master,S1620,Test Case (Steps),Regression,,,
,"Export carries the full override population, well above any single office",,,,,Automated,,,,"The exported file carries thousands of rows and strictly more than the grid is showing, confirming it is the whole tenant rather than the current view",,,"corporate-pricing-pg-override,functional",,"On the Override screen with the fixture office selected and the grid loaded

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Export,1,,Corporate_Pricing_Pg_Override > Export,"<ol>
<li>1. Read the grid row count</li>
<li>2. Click Export and capture the CSV</li>
<li>3. Count the data rows in the file</li>
</ol>",,,"1. The current grid row count is displayed.
2. The CSV file downloads.
3. The exported file carries thousands of rows and strictly more than the grid is showing, confirming it is the whole tenant rather than the current view",,,,Master,S1620,Test Case (Steps),Regression,,,
,Switching to the Labor tab re-scopes the grid but not the export,,,,,Automated,,,,"The tab visibly re-scopes the grid but the two exports are identical, and the file still carries both Is Labor 0 and Is Labor 1 rows. The tab is a view filter the export ignores",,,"corporate-pricing-pg-override,functional",,"On the Override screen with an office selected that has rows on both the Equipment and Labor tabs

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Export,1,,Corporate_Pricing_Pg_Override > Export,"<ol>
<li>1. On the Equipment tab, export and record both the file content and the grid row count</li>
<li>2. Switch to the Labor tab and confirm moved and the grid row count changed</li>
<li>3. Export again</li>
<li>4. Compare the two files and read the distinct Is Labor values in the second one</li>
</ol>",,,"1. The CSV file downloads and the Equipment grid row count is displayed.
2. The Labor tab becomes active and the grid displays a different row count.
3. A second CSV file downloads.
4. The tab visibly re-scopes the grid but the two exports are identical, and the file still carries both Is Labor 0 and Is Labor 1 rows. The tab is a view filter the export ignores",,,,Master,S1620,Test Case (Steps),Regression,,,
,Choosing a different office re-scopes the grid but not the export,,,,,Automated,,,,"Choosing a different office visibly changes the grid, and the two exports are identical. The location picker does not scope the export",,,"corporate-pricing-pg-override,functional",,"On the Override screen with the fixture office selected and the grid loaded

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Export,1,,Corporate_Pricing_Pg_Override > Export,"<ol>
<li>1. Export and record the file and the grid row count</li>
<li>2. Open the Change Local Office picker and select office 1974</li>
<li>3. Confirm the grid now shows a different number of rows</li>
<li>4. Export again and compare the two files</li>
</ol>",,,"1. The CSV file downloads and the grid row count is displayed.
2. Office 1974 is selected and the picker closes.
3. The grid displays a different row count.
4. Choosing a different office visibly changes the grid, and the two exports are identical. The location picker does not scope the export",,,,Master,S1620,Test Case (Steps),Regression,,,
,Active only hides inactive rows in the grid; the export keeps them,,,,,Automated,,,,"Active only visibly removes rows from the grid, yet the exported file still contains Is Active = 0 rows. The filter never reaches the file",,,"corporate-pricing-pg-override,functional",,"On the Override screen with office 1105 selected - the only walk-verified bed carrying inactive rows (9 total, 7 active)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Export,1,,Corporate_Pricing_Pg_Override > Export,"<ol>
<li>1. With Active only off, record the grid row count</li>
<li>2. Check Active only and confirm the grid row count dropped</li>
<li>3. Export and read the Is Active column</li>
</ol>",,,"1. The grid row count is displayed with Active only off.
2. The grid row count decreases.
3. Active only visibly removes rows from the grid, yet the exported file still contains Is Active = 0 rows. The filter never reaches the file",,,,Master,S1620,Test Case (Steps),Regression,,,
,The Currency filter empties the grid for an absent currency; the export still carries every currency,,,,,Automated,,,,The Currency filter visibly re-scopes the grid - down to zero rows for a currency with no data - while the export still carries every currency in the tenant,,,"corporate-pricing-pg-override,functional",,"On the Override screen with an office selected and the Currency filter at ALL

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Export,1,,Corporate_Pricing_Pg_Override > Export,"<ol>
<li>1. Record the grid row count at Currency ALL</li>
<li>2. Select a specific currency and confirm the grid row count changed</li>
<li>3. Export and read the distinct Currency values in the file</li>
</ol>",,,"1. The grid row count is displayed with Currency at ALL.
2. The grid row count changes.
3. The Currency filter visibly re-scopes the grid - down to zero rows for a currency with no data - while the export still carries every currency in the tenant",,,,Master,S1620,Test Case (Steps),Regression,,,
,The text filter narrows the grid; the export is unchanged,,,,,Automated,,,,The text filter visibly narrows the grid while the export is byte-for-byte unchanged. The needle is taken from a real row so the filter is guaranteed to match something,,,"corporate-pricing-pg-override,functional",,"On the Override screen with an office selected and no text filter applied

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Export,1,,Corporate_Pricing_Pg_Override > Export,"<ol>
<li>1. Export and record the file and the grid row count</li>
<li>2. Type the first six characters of the first row's Product Group Name into the filter box</li>
<li>3. Confirm the grid narrowed but still shows at least one row</li>
<li>4. Export again and compare the two files</li>
</ol>",,,"1. The CSV file downloads and the grid row count is displayed.
2. The grid narrows to rows matching the entered characters.
3. At least one row remains displayed in the narrowed grid.
4. The text filter visibly narrows the grid while the export is byte-for-byte unchanged. The needle is taken from a real row so the filter is guaranteed to match something",,,,Master,S1620,Test Case (Steps),Regression,,,
,Rows-per-page changes how much of the grid is drawn; the export is unchanged,,,,,Automated,,,,Page size visibly changes how much of the grid is drawn while both exports are identical. Pagination is a view concern the export does not share,,,"corporate-pricing-pg-override,functional",,"On the Override screen with office 1974 selected (161 Equipment rows, enough to span pages)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Export,1,,Corporate_Pricing_Pg_Override > Export,"<ol>
<li>1. Set rows per page to 10, record how many rows are drawn, and export</li>
<li>2. Set rows per page to 50 and confirm more rows are drawn</li>
<li>3. Export again and compare the two files</li>
</ol>",,,"1. 10 rows are displayed and the CSV file downloads.
2. More rows are displayed on the page.
3. Page size visibly changes how much of the grid is drawn while both exports are identical. Pagination is a view concern the export does not share",,,,Master,S1620,Test Case (Steps),Regression,,,
,"Export on an empty, unscoped grid still returns the whole tenant",,,,,Automated,,,,"Export is enabled on an empty grid and downloads the entire tenant. What the screen shows and what the file contains are unrelated - this is the surprising branch, recorded deliberately so a future change to it is caught",,,"corporate-pricing-pg-override,functional",,"A fresh load of the Override screen with no office selected - the grid reads ""No results."" / ""0 items found""

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Export,1,,Corporate_Pricing_Pg_Override > Export,"<ol>
<li>1. Confirm the grid is empty and shows zero rows</li>
<li>2. Click Export (the button stays enabled on an empty grid)</li>
<li>3. Count the data rows and the distinct Location Ids in the file</li>
</ol>",,,"1. The grid displays ""No results."" and zero rows.
2. The CSV file downloads.
3. Export is enabled on an empty grid and downloads the entire tenant. What the screen shows and what the file contains are unrelated - this is the surprising branch, recorded deliberately so a future change to it is caught",,,,Master,S1620,Test Case (Steps),Regression,,,
