ID,Title,AI Automated Test,AI Model,AI Type,Attachments,Automation Type,Created By,Created On,Estimate,Expected Result,Forecast,Goals,Labels,Mission,Preconditions,Priority,References,Section,Section Depth,Section Description,Section Hierarchy,Steps,Steps,Steps (Additional Info),Steps (Expected Result),Steps (References),Steps (Shared step ID),Steps (Step),Suite,Suite ID,Template,Type,Updated By,Updated On,is_converted
,Grid loads when all three header keys are set,,,,,Automated,Omeesha Mahanta,,,,,,discount-matrix,,"Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Company_Matrix,1,,Discount_Matrix > Company_Matrix,"<ol>
<li>1. Open the route at office 1604. Wait for a non-zero tier-row count</li>
</ol>",,,,,,,Master,S1620,Test Case (Steps),Regression,,,
,Changing Country re-keys the grid,,,,,Automated,Omeesha Mahanta,,,,,,discount-matrix,,"Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Country""
Sample input 2: ""or""",Medium,,Company_Matrix,1,,Discount_Matrix > Company_Matrix,"<ol>
<li>1. Record the current tier-range list and the first row's 21 values. Change ""Country"" to a</li>
<li>2. different option. Wait for the grid to settle on a non-zero row count ""or"" an empty state</li>
</ol>",,,,,,,Master,S1620,Test Case (Steps),Regression,,,
,Changing Currency re-keys the grid,,,,,Automated,Omeesha Mahanta,,,,,,discount-matrix,,"Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Currency""",Medium,,Company_Matrix,1,,Discount_Matrix > Company_Matrix,"<ol>
<li>1. As TC-002, changing ""Currency""</li>
</ol>",,,,,,,Master,S1620,Test Case (Steps),Regression,,,
,Changing Business Tier re-keys the grid,,,,,Automated,Omeesha Mahanta,,,,,,discount-matrix,,"Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Business Tier""",Medium,,Company_Matrix,1,,Discount_Matrix > Company_Matrix,"<ol>
<li>1. As TC-002, changing ""Business Tier""</li>
</ol>",,,,,,,Master,S1620,Test Case (Steps),Regression,,,
,Header Save persists only the GAV threshold,,,,,Automated,Omeesha Mahanta,,,,,,discount-matrix,,"Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""GAV Discount Threshold""",Medium,,Company_Matrix,1,,Discount_Matrix > Company_Matrix,"<ol>
<li>1. Record the first tier row's 21 values. Edit ""GAV Discount Threshold"" to a valid new</li>
<li>2. percentage. Click the header ""Save"". Reload the route</li>
</ol>",,,,,,,Master,S1620,Test Case (Steps),Regression,,,
,Empty state when a header key is not set,,,,,Automated,Omeesha Mahanta,,,,,,discount-matrix,,"Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Company_Matrix,1,,Discount_Matrix > Company_Matrix,"<ol>
<li>1. Drive the header to a (country, currency, businessTier) combination that has no matrix rows</li>
</ol>",,,,,,,Master,S1620,Test Case (Steps),Regression,,,
,Unsaved dialog edit is not carried across a header change,,,,,Automated,Omeesha Mahanta,,,,,,discount-matrix,,"Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Company_Matrix,1,,Discount_Matrix > Company_Matrix,"<ol>
<li>1. Open Edit Tier on 0 - 1500, change one percentage to a valid new value, ""Cancel"". Then</li>
<li>2. change a header control. Reload</li>
</ol>",,,,,,,Master,S1620,Test Case (Steps),Regression,,,
,Column structure is exactly 3 groups × 7 buckets,,,,,Automated,Omeesha Mahanta,,,,,,discount-matrix,,"Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Company_Matrix,1,,Discount_Matrix > Company_Matrix,"<ol>
<li>1. (no steps defined)</li>
</ol>",,,,,,,Master,S1620,Test Case (Steps),Regression,,,
,Tier ranges are contiguous and non-overlapping,,,,,Automated,Omeesha Mahanta,,,,,,discount-matrix,,"Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Company_Matrix,1,,Discount_Matrix > Company_Matrix,"<ol>
<li>1. (no steps defined)</li>
</ol>",,,,,,,Master,S1620,Test Case (Steps),Regression,,,
,Percentage cells are read-only in the grid,,,,,Automated,Omeesha Mahanta,,,,,,discount-matrix,,"Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Company_Matrix,1,,Discount_Matrix > Company_Matrix,"<ol>
<li>1. (no steps defined)</li>
</ol>",,,,,,,Master,S1620,Test Case (Steps),Regression,,,
