ID,Title,AI Automated Test,AI Model,AI Type,Attachments,Automation Type,Created By,Created On,Estimate,Expected Result,Forecast,Goals,Labels,Mission,Preconditions,Priority,References,Section,Section Depth,Section Description,Section Hierarchy,Steps,Steps,Steps (Additional Info),Steps (Expected Result),Steps (References),Steps (Shared step ID),Steps (Step),Suite,Suite ID,Template,Type,Updated By,Updated On,is_converted
,Pricebook link entry loads the Pricebook Details management page,,,,,Automated,Omeesha Mahanta,,,The Pricebook Details management page loads and its header reflects the selected pricebook,,,corporate-pricing,,"On the Corporate Pricing Search page for office 1604, with the ""2022-NP Tier 1"" pricebook available to open

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""2022-NP Tier 1""",Medium,,Strategy,1,,Corporate_Pricing > Strategy,"<ol>
<li>1. Navigate to the Pricebook Details page for the ""2022-NP Tier 1"" pricebook (office 1604).</li>
<li>2. Verify page title / heading.</li>
<li>3. Verify the header reflects the chosen pricebook</li>
</ol>",,,"1. The Pricebook Details management page opens for the ""2022-NP Tier 1"" pricebook.
2. The page title/heading identifies it as the Pricebook Details page.
3. The Pricebook Details management page loads and its header reflects the selected pricebook",,,,Master,S1620,Test Case (Steps),Regression,,,
,Header shows the Price Book Name,,,,,Automated,Omeesha Mahanta,,,"Header name equals the pricebook name ""2022-NP Tier 1""",,,corporate-pricing,,"On the Pricebook Details page for the ""2022-NP Tier 1"" pricebook (office 1604)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""2022-NP Tier 1""",Medium,,Strategy,1,,Corporate_Pricing > Strategy,"<ol>
<li>1. Open the Pricebook Details page for the ""2022-NP Tier 1"" pricebook.</li>
<li>2. Read the header name</li>
</ol>",,,"1. The Pricebook Details page for ""2022-NP Tier 1"" loads and displays its header.
2. Header name equals the pricebook name ""2022-NP Tier 1""",,,,Master,S1620,Test Case (Steps),Regression,,,
,Header shows the Price Book Type (Labor/Equipment),,,,,Automated,Omeesha Mahanta,,,"Header Type value is ""Equipment"" (one of Labor/Equipment)",,,corporate-pricing,,"On the Pricebook Details page for the ""2022-NP Tier 1"" pricebook (office 1604)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Labor/Equipment""",Medium,,Strategy,1,,Corporate_Pricing > Strategy,"<ol>
<li>1. Open the Pricebook Details page.</li>
<li>2. Read the ""Labor/Equipment"" header value</li>
</ol>",,,"1. The Pricebook Details page loads and displays its header.
2. Header Type value is ""Equipment"" (one of Labor/Equipment)",,,,Master,S1620,Test Case (Steps),Regression,,,
,Header shows the Price Year,,,,,Automated,Omeesha Mahanta,,,"Header Year value is ""2022""",,,corporate-pricing,,"On the Pricebook Details page for the ""2022-NP Tier 1"" pricebook (office 1604)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Year""",Medium,,Strategy,1,,Corporate_Pricing > Strategy,"<ol>
<li>1. Open the Pricebook Details page.</li>
<li>2. Read the ""Year"" header value</li>
</ol>",,,"1. The Pricebook Details page loads and displays its header.
2. Header Year value is ""2022""",,,,Master,S1620,Test Case (Steps),Regression,,,
,Header shows the Currency,,,,,Automated,Omeesha Mahanta,,,"Header Currency value is ""USD""",,,corporate-pricing,,"On the Pricebook Details page for the ""2022-NP Tier 1"" pricebook (office 1604)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Currency""",Medium,,Strategy,1,,Corporate_Pricing > Strategy,"<ol>
<li>1. Open the Pricebook Details page.</li>
<li>2. Read the ""Currency"" header value</li>
</ol>",,,"1. The Pricebook Details page loads and displays its header.
2. Header Currency value is ""USD""",,,,Master,S1620,Test Case (Steps),Regression,,,
,Header shows the Active status,,,,,Automated,Omeesha Mahanta,,,"Header shows a clear active/inactive indicator (""Active"" for this pricebook)",,,corporate-pricing,,"On the Pricebook Details page for the ""2022-NP Tier 1"" pricebook (office 1604)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Strategy,1,,Corporate_Pricing > Strategy,"<ol>
<li>1. Open the Pricebook Details page.</li>
<li>2. Read the Active-status indicator in the header</li>
</ol>",,,"1. The Pricebook Details page loads and displays its header.
2. Header shows a clear active/inactive indicator (""Active"" for this pricebook)",,,,Master,S1620,Test Case (Steps),Regression,,,
,Header fields are reference-only (not editable),,,,,Automated,Omeesha Mahanta,,,No header field exposes an editable field - the header is presented as reference information only,,,corporate-pricing,,"On the Pricebook Details page for the ""2022-NP Tier 1"" pricebook (office 1604)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Strategy,1,,Corporate_Pricing > Strategy,"<ol>
<li>1. Open the Pricebook Details page.</li>
<li>2. Inspect the 5 header fields (Name, Type, Year, Currency, Active)</li>
</ol>",,,"1. The Pricebook Details page loads and displays its header.
2. No header field exposes an editable field - the header is presented as reference information only",,,,Master,S1620,Test Case (Steps),Regression,,,
,Tabs render - Pricing Strategy + Pricing Detail,,,,,Automated,Omeesha Mahanta,,,"Exactly two tabs render: ""Pricing Strategy"" and ""Pricing Detail""",,,corporate-pricing,,"On the Pricebook Details page for the ""2022-NP Tier 1"" pricebook (office 1604)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Strategy,1,,Corporate_Pricing > Strategy,"<ol>
<li>1. Open the Pricebook Details page.</li>
<li>2. Read the tab buttons.</li>
<li>3. Read the tab buttons</li>
</ol>",,,"1. The Pricebook Details page loads and displays its header and tab row.
2. The tab row is visible with labeled tab buttons.
3. Exactly two tabs render: ""Pricing Strategy"" and ""Pricing Detail""",,,,Master,S1620,Test Case (Steps),Regression,,,
,Pricing Strategy tab is selected by default on load,,,,,Automated,Omeesha Mahanta,,,The Pricing Strategy tab is active by default (its content area is shown),,,corporate-pricing,,"On the Pricebook Details page for the ""2022-NP Tier 1"" pricebook (office 1604), opened in a fresh session

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Strategy,1,,Corporate_Pricing > Strategy,"<ol>
<li>1. Open the Pricebook Details page in a fresh session.</li>
<li>2. Observe which tab content renders</li>
</ol>",,,"1. The Pricebook Details page loads successfully in the fresh session.
2. The Pricing Strategy tab is active by default (its content area is shown)",,,,Master,S1620,Test Case (Steps),Regression,,,
,Pricing Detail tab is present and activates,,,,,Automated,Omeesha Mahanta,,,"Clicking ""Pricing Detail"" activates the Detail tab; its deeper behavior is covered by the Pricing Detail test suite",,,corporate-pricing,,"On the Pricebook Details page for the ""2022-NP Tier 1"" pricebook (office 1604), with the Pricing Strategy tab active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Pricing Detail""",Medium,,Strategy,1,,Corporate_Pricing > Strategy,"<ol>
<li>1. Open the Pricebook Details page.</li>
<li>2. Click the ""Pricing Detail"" tab</li>
</ol>",,,"1. The Pricebook Details page loads with the Pricing Strategy tab active by default.
2. Clicking ""Pricing Detail"" activates the Detail tab; its deeper behavior is covered by the Pricing Detail test suite",,,,Master,S1620,Test Case (Steps),Regression,,,
