ID,Title,AI Automated Test,AI Model,AI Type,Attachments,Automation Type,Created By,Created On,Estimate,Expected Result,Forecast,Goals,Labels,Mission,Preconditions,Priority,References,Section,Section Depth,Section Description,Section Hierarchy,Steps,Steps,Steps (Additional Info),Steps (Expected Result),Steps (References),Steps (Shared step ID),Steps (Step),Suite,Suite ID,Template,Type,Updated By,Updated On,is_converted
,"Each Export variant opens the shared ""Export"" Year(s)+Currency dialog",,,,,Automated,Omeesha Mahanta,,,"Every variant opens the same ""Export"" precondition dialog (Year(s) + Currency comboboxes, Cancel/Continue/Close), and Continue is disabled before any field is set",,,corporate-pricing,,"On the Search screen with the grid loaded (office 1604)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Export""",Medium,,Export_All,1,,Corporate_Pricing > Export_All,"<ol>
<li>1. For each of the 4 Export variants: open Export and click the variant</li>
<li>2. Confirm a dialog titled ""Export"" renders with a Year(s) dropdown, a Currency dropdown, and Cancel / Continue / Close buttons, with Continue disabled at open</li>
</ol>",,,"1. Clicking each of the 4 Export variants opens the shared ""Export"" dialog.
2. Every variant opens the same ""Export"" precondition dialog (Year(s) + Currency comboboxes, Cancel/Continue/Close), and Continue is disabled before any field is set",,,,Master,S1620,Test Case (Steps),Regression,,,
,Continue stays disabled when only Year(s) is set,,,,,Automated,Omeesha Mahanta,,,Continue remains disabled with only Year(s) selected (both fields are required),,,corporate-pricing,,"The ""Export"" dialog is open for a variant (office 1604)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Export_All,1,,Corporate_Pricing > Export_All,"<ol>
<li>1. Set Year(s) = 2026, leave Currency unset</li>
<li>2. Read the Continue button state</li>
</ol>",,,"1. Year(s) shows 2026 selected while the Currency dropdown remains unset.
2. Continue remains disabled with only Year(s) selected (both fields are required)",,,,Master,S1620,Test Case (Steps),Regression,,,
,Continue stays disabled when only Currency is set,,,,,Automated,Omeesha Mahanta,,,Continue remains disabled with only Currency selected (both fields are required),,,corporate-pricing,,"The ""Export"" dialog is open for a variant (office 1604)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Export_All,1,,Corporate_Pricing > Export_All,"<ol>
<li>1. Set Currency = USD, leave Year(s) unset</li>
<li>2. Read the Continue button state</li>
</ol>",,,"1. Currency shows USD selected while the Year(s) dropdown remains unset.
2. Continue remains disabled with only Currency selected (both fields are required)",,,,Master,S1620,Test Case (Steps),Regression,,,
,Continue enables when BOTH Year(s) and Currency are set,,,,,Automated,Omeesha Mahanta,,,Continue becomes enabled only when both Year(s) and Currency are set,,,corporate-pricing,,"The ""Export"" dialog is open for a variant (office 1604)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Export_All,1,,Corporate_Pricing > Export_All,"<ol>
<li>1. Set Year(s) = 2026 and Currency = USD</li>
<li>2. Read the Continue button state</li>
</ol>",,,"1. Year(s) shows 2026 selected and Currency shows USD selected.
2. Continue becomes enabled only when both Year(s) and Currency are set",,,,Master,S1620,Test Case (Steps),Regression,,,
,"Cancel dismisses the ""Export"" dialog without firing any export request",,,,,Automated,Omeesha Mahanta,,,Cancel closes the dialog and NO pricing-export request is sent (the gate is abandoned cleanly),,,corporate-pricing,,"The ""Export"" dialog is open for a variant (office 1604)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Export_All,1,,Corporate_Pricing > Export_All,"<ol>
<li>1. Arm a listener for any pricing-export request</li>
<li>2. Set Year(s) + Currency, then click Cancel</li>
<li>3. Confirm the dialog closes and no pricing-export request fired</li>
</ol>",,,"1. A listener for pricing-export requests is active and ready to capture any request that fires.
2. Year(s) and Currency are set, and clicking Cancel immediately closes the ""Export"" dialog.
3. Cancel closes the dialog and NO pricing-export request is sent (the gate is abandoned cleanly)",,,,Master,S1620,Test Case (Steps),Regression,,,
,Year(s) minimum - a single year is accepted and enables Continue,,,,,Automated,Omeesha Mahanta,,,A single-year selection is accepted (minimum of the 1-3 range) and Continue enables with Currency set,,,corporate-pricing,,"The ""Export"" dialog is open for a variant (office 1604)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Export_All,1,,Corporate_Pricing > Export_All,"<ol>
<li>1. Select exactly 1 year (2026) and Currency = USD</li>
<li>2. Read the Continue button state</li>
</ol>",,,"1. Year(s) shows exactly one year (2026) selected and Currency shows USD selected.
2. A single-year selection is accepted (minimum of the 1-3 range) and Continue enables with Currency set",,,,Master,S1620,Test Case (Steps),Regression,,,
,Year(s) maximum is 3 - a 4th year cannot be added and no 4-year export fires,,,,,Automated,Omeesha Mahanta,,,"The Year(s) dropdown caps at 3 - a 4th year cannot be added (selection stays at exactly 3 years), and the fired pricing-export request carries exactly the 3 chosen years, never 4",,,corporate-pricing,,"The ""Export"" dialog is open for a variant (office 1604)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Export_All,1,,Corporate_Pricing > Export_All,"<ol>
<li>1. Select 3 years (2026, 2027, 2028)</li>
<li>2. confirm all 3 are selected</li>
<li>3. Attempt to select a 4th year (2025)</li>
<li>4. confirm the selection stays at 3 (the 4th is refused)</li>
<li>5. Set Currency = USD and Continue</li>
<li>6. inspect the export request years param</li>
</ol>",,,"1. The Year(s) dropdown shows 2026, 2027, and 2028 all selected.
2. All 3 selected years (2026, 2027, 2028) remain checked in the Year(s) dropdown.
3. Clicking the 2025 option has no effect - it is not added to the Year(s) selection.
4. The Year(s) selection stays at exactly 3 years (2026-2028), with 2025 excluded.
5. Currency shows USD selected, and clicking Continue closes the dialog and fires the pricing-export request.
6. The Year(s) dropdown caps at 3 - a 4th year cannot be added (selection stays at exactly 3 years), and the fired pricing-export request carries exactly the 3 chosen years, never 4",,,,Master,S1620,Test Case (Steps),Regression,,,
,"Currency options present - USD, CAD, MXN",,,,,Automated,Omeesha Mahanta,,,"The Currency dropdown offers USD, CAD, and MXN (each selectable)",,,corporate-pricing,,"The ""Export"" dialog is open for a variant (office 1604)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Export_All,1,,Corporate_Pricing > Export_All,"<ol>
<li>1. Open the Currency dropdown</li>
<li>2. Read the options</li>
</ol>",,,"1. The Currency dropdown expands and displays its list of selectable options.
2. The Currency dropdown offers USD, CAD, and MXN (each selectable)",,,,Master,S1620,Test Case (Steps),Regression,,,
,Each Currency maps to the correct currencyId on Continue,,,,,Automated,Omeesha Mahanta,,,"Each currency sends its own distinct currency identifier on Continue - USD, CAD, and MXN each map to a different value (USD=1, CAD=2, MXN=3), confirmed against the live export request; the currency chosen in the gate maps one-to-one to the request",,,corporate-pricing,,"On the Search screen with the grid loaded (office 1604)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Export_All,1,,Corporate_Pricing > Export_All,"<ol>
<li>1. For each currency (USD, CAD, MXN): open Export</li>
<li>2. Inspect each fired pricing-export request's currencyId param</li>
</ol>",,,"1. The ""Export"" dialog opens for each currency (USD, CAD, MXN), ready for Year(s) and Continue to be set.
2. Each currency sends its own distinct currency identifier on Continue - USD, CAD, and MXN each map to a different value (USD=1, CAD=2, MXN=3), confirmed against the live export request; the currency chosen in the gate maps one-to-one to the request",,,,Master,S1620,Test Case (Steps),Regression,,,
,All Equipment Pricing - real download round-trip + file verification,,,,,Automated,Omeesha Mahanta,,,A real EquipmentPricings.csv downloads; the backing request returns HTTP 200 for the equipment standard-pricing scope; the CSV parses with the two base columns + pricebook columns and at least one product-group row; and every Product Group Id is unique (no duplicate product-group rows),,,corporate-pricing,,"On the Search screen with the grid loaded (office 1604)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Export_All,1,,Corporate_Pricing > Export_All,"<ol>
<li>1. Export</li>
<li>2. Assert the filename, HTTP 200, the matrix header (Product Group Id, Product Group Name, then pricebook columns), a non-empty file, and the network params</li>
<li>3. Assert the exported file has no duplicate product-group rows (each Product Group Id appears once)</li>
</ol>",,,"1. Clicking Export downloads a file named EquipmentPricings.csv.
2. EquipmentPricings.csv is confirmed with HTTP 200, the correct matrix header, a non-empty file, and matching network parameters.
3. A real EquipmentPricings.csv downloads; the backing request returns HTTP 200 for the equipment standard-pricing scope; the CSV parses with the two base columns + pricebook columns and at least one product-group row; and every Product Group Id is unique (no duplicate product-group rows)",,,,Master,S1620,Test Case (Steps),Regression,,,
