ID,Title,AI Automated Test,AI Model,AI Type,Attachments,Automation Type,Created By,Created On,Estimate,Expected Result,Forecast,Goals,Labels,Mission,Preconditions,Priority,References,Section,Section Depth,Section Description,Section Hierarchy,Steps,Steps,Steps (Additional Info),Steps (Expected Result),Steps (References),Steps (Shared step ID),Steps (Step),Suite,Suite ID,Template,Type,Updated By,Updated On,is_converted
,Editing a percentage field to a valid mid-range value is accepted,,,,,Automated,Omeesha Mahanta,,,The field reverts to `24.00 %` and Save becomes disabled after reload,,,service-charge,,"The Service Charge Basic Information page is open for office 1604 and the page is in its default state

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Basic_Information,1,,Service_Charge > Basic_Information,"<ol>
<li>1. Navigate to Location Settings for office 1604 and open the Service Charge page on the Basic Information tab</li>
<li>2. Click the percentage input for Audio Conferencing (service-charge-percentage-8, default 24.00 %) and clear the value</li>
<li>3. Type 50.00 into the field and move focus away</li>
<li>4. Restore: clear the field, type 24.00, and save</li>
</ol>",,,"1. The tab loads and 79 rows are visible
2. The field is empty and focus is in the field
3. The field retains `50.00` and Save becomes enabled
4. The field reverts to `24.00 %` and Save becomes disabled after reload",,,,Master,S1620,Test Case (Steps),Regression,,,
,Editing a percentage field to 0.00 is accepted and enables Save,,,,,Automated,Omeesha Mahanta,,,The field is restored to `24.00 %`,,,service-charge,,"The Service Charge Basic Information page is open for office 1604 with the Audio Conferencing row showing 24.00 %

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Basic_Information,1,,Service_Charge > Basic_Information,"<ol>
<li>1. Navigate to Location Settings for office 1604 and open the Service Charge page on the Basic Information tab</li>
<li>2. Click the percentage input for Audio Conferencing and clear the value</li>
<li>3. Type 0.00 and move focus away</li>
<li>4. Restore: clear the field, type 24.00, and save</li>
</ol>",,,"1. The tab loads and 79 rows are visible
2. The field is empty
3. The field retains `0.00` and Save becomes enabled
4. The field is restored to `24.00 %`",,,,Master,S1620,Test Case (Steps),Regression,,,
,Editing a percentage field to 100.00 is accepted,,,,,Automated,Omeesha Mahanta,,,The field is restored,,,service-charge,,"The Service Charge Basic Information page is open for office 1604

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Basic_Information,1,,Service_Charge > Basic_Information,"<ol>
<li>1. Navigate to Location Settings for office 1604 and open the Service Charge page on the Basic Information tab</li>
<li>2. Click the percentage input for Audio Conferencing and clear the value</li>
<li>3. Type 100.00 and move focus away</li>
<li>4. Restore: return the field to its original value and save</li>
</ol>",,,"1. The tab loads
2. The field is empty
3. The field accepts the value: input.value shows ""100.00 %"", `aria-invalid` is absent, and Save becomes enabled
4. The field is restored",,,,Master,S1620,Test Case (Steps),Regression,,,
,Saved percentage value persists after page reload,,,,,Automated,Omeesha Mahanta,,,The field is restored to `24.00 %`,,,service-charge,,"The Service Charge Basic Information page is open for office 1604 and the Audio Conferencing percentage (service-charge-percentage-8) has its default value 24.00 %

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Basic_Information,1,,Service_Charge > Basic_Information,"<ol>
<li>1. Navigate to Location Settings for office 1604 and open the Service Charge page on the Basic Information tab</li>
<li>2. Click the percentage input for Audio Conferencing, clear it, and type 30.00</li>
<li>3. Click Save</li>
<li>4. Reload the page and re-open the Basic Information tab</li>
<li>5. Restore: click the field, clear it, type 24.00, click Save, and reload</li>
</ol>",,,"1. The tab loads
2. The field shows `30.00` and Save is enabled
3. Save completes without error
4. The Audio Conferencing percentage reads `30.00 %`
5. The field is restored to `24.00 %`",,,,Master,S1620,Test Case (Steps),Regression,,,
,Entering a value just below zero (negative boundary),,,,,Automated,Omeesha Mahanta,,,"After focus leaves, the app may restore the stored value and clear the invalid marking; Save remains disabled",,,service-charge,,"The Service Charge Basic Information page is open for office 1604

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Basic_Information,1,,Service_Charge > Basic_Information,"<ol>
<li>1. Navigate to Location Settings for office 1604 and open the Basic Information tab</li>
<li>2. Click the percentage input for Audio Conferencing and clear the value</li>
<li>3. Type -0.01 while the field remains focused</li>
<li>4. Press Tab to move focus away and observe the Save button</li>
</ol>",,,"1. The tab loads
2. The field is empty
3. The value remains in the field and the field is marked invalid while focused with `aria-invalid=""true""`
4. After focus leaves, the app may restore the stored value and clear the invalid marking; Save remains disabled",,,,Master,S1620,Test Case (Steps),Regression,,,
,Entering a value just above 100,,,,,Automated,Omeesha Mahanta,,,"After focus leaves, the app may restore the stored value and clear the invalid marking; Save remains disabled",,,service-charge,,"The Service Charge Basic Information page is open for office 1604

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Basic_Information,1,,Service_Charge > Basic_Information,"<ol>
<li>1. Navigate to Location Settings for office 1604 and open the Basic Information tab</li>
<li>2. Click the percentage input for Audio Conferencing and clear the value</li>
<li>3. Type 100.01 while the field remains focused</li>
<li>4. Press Tab to move focus away and observe the Save button</li>
</ol>",,,"1. The tab loads
2. The field is empty
3. The value remains in the field and the field is marked invalid while focused with `aria-invalid=""true""`
4. After focus leaves, the app may restore the stored value and clear the invalid marking; Save remains disabled",,,,Master,S1620,Test Case (Steps),Regression,,,
,Entering a value with three decimal places silently rounds to two,,,,,Automated,Omeesha Mahanta,,,"The value is silently rounded to ""24.00 %"" — the third decimal is discarded; `aria-invalid` is absent",,,service-charge,,"The Service Charge Basic Information page is open for office 1604

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Basic_Information,1,,Service_Charge > Basic_Information,"<ol>
<li>1. Navigate to Location Settings for office 1604 and open the Basic Information tab</li>
<li>2. Click the percentage input for Audio Conferencing and clear the value</li>
<li>3. Type 24.005 and move focus away</li>
</ol>",,,"1. The tab loads
2. The field is empty
3. The value is silently rounded to ""24.00 %"" — the third decimal is discarded; `aria-invalid` is absent",,,,Master,S1620,Test Case (Steps),Regression,,,
,Reverting an edited field to its original value keeps Save disabled,,,,,Automated,Omeesha Mahanta,,,Save returns to disabled — reverting to the original value must not enable Save,,,service-charge,,"The Service Charge Basic Information page is open for office 1604 with the zero-default field APP Downloaded (service-charge-percentage-0) at 0.00 %

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Basic_Information,1,,Service_Charge > Basic_Information,"<ol>
<li>1. Navigate to Location Settings for office 1604 and open the Basic Information tab</li>
<li>2. Click the APP Downloaded percentage input and clear the value</li>
<li>3. Type 0.00 and move focus away</li>
</ol>",,,"1. The tab loads and Save is disabled
2. Save may enable or remain disabled during the clear
3. Save returns to disabled — reverting to the original value must not enable Save",,,,Master,S1620,Test Case (Steps),Regression,,,
,Entering alphabetic text into a percentage field is flagged while focused,,,,,Automated,Omeesha Mahanta,,,"After focus moves away, the app may restore the stored value and clear the invalid flag; Save remains disabled throughout",,,service-charge,,"The Service Charge Basic Information page is open for office 1604

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Basic_Information,1,,Service_Charge > Basic_Information,"<ol>
<li>1. Navigate to Location Settings for office 1604 and open the Basic Information tab</li>
<li>2. Click the row-0 percentage field for App Quality Assurance and type abc</li>
<li>3. While the field is still focused, observe its invalid state</li>
<li>4. Press Tab to move focus away and observe the Save button</li>
</ol>",,,"1. The tab loads
2. The letters are accepted into the field
3. The field is flagged invalid while focused: `aria-invalid=""true""`, red border, and error icon are shown
4. After focus moves away, the app may restore the stored value and clear the invalid flag; Save remains disabled throughout",,,,Master,S1620,Test Case (Steps),Regression,,,
,Entering a malformed decimal value is flagged while focused,,,,,Automated,Omeesha Mahanta,,,"After focus leaves, the app may restore the stored value and clear the invalid marking; Save remains disabled",,,service-charge,,"The Service Charge Basic Information page is open for office 1604

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Basic_Information,1,,Service_Charge > Basic_Information,"<ol>
<li>1. Navigate to Location Settings for office 1604 and open the Basic Information tab</li>
<li>2. Click the percentage input for Audio Conferencing and type 1.2.3</li>
<li>3. While the field is still focused, observe its invalid state</li>
<li>4. Press Tab to move focus away and observe the Save button</li>
</ol>",,,"1. The tab loads
2. The string appears verbatim in the field
3. The string remains verbatim in the field and the field is marked invalid while focused with `aria-invalid=""true""`
4. After focus leaves, the app may restore the stored value and clear the invalid marking; Save remains disabled",,,,Master,S1620,Test Case (Steps),Regression,,,
