ID,Title,AI Automated Test,AI Model,AI Type,Attachments,Automation Type,Created By,Created On,Estimate,Expected Result,Forecast,Goals,Labels,Mission,Preconditions,Priority,References,Section,Section Depth,Section Description,Section Hierarchy,Steps,Steps,Steps (Additional Info),Steps (Expected Result),Steps (References),Steps (Shared step ID),Steps (Step),Suite,Suite ID,Template,Type,Updated By,Updated On,is_converted
,New Pricebook (Equipment) create page loads via the type route param,,,,,Automated,Omeesha Mahanta,,,The Equipment New Pricebook create page loads from its ?type=equipment route (this is the Equipment Pricing option of the + New menu),,,corporate-pricing,,"Authenticated on office 1604

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. Navigate to the New Pricebook create page with the Equipment type route param.</li>
<li>2. Verify the page title and heading</li>
</ol>",,,"1. The New Pricebook create page loads with the Equipment type parameter applied in the URL.
2. The Equipment New Pricebook create page loads from its ?type=equipment route (this is the Equipment Pricing option of the + New menu)",,,,Master,S1620,Test Case (Steps),Regression,,,
,Pricebook Name field is present and editable,,,,,Automated,Omeesha Mahanta,,,"The Pricebook Name field (label ""Pricebook Name"") is present and accepts input",,,corporate-pricing,,"On the Equipment New Pricebook page

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. Open the create page.</li>
<li>2. Enter a value into the Pricebook Name field</li>
</ol>",,,"1. The New Pricebook create page loads and displays the Pricebook Name field.
2. The Pricebook Name field (label ""Pricebook Name"") is present and accepts input",,,,Master,S1620,Test Case (Steps),Regression,,,
,Price Book Type shows Equipment and is read-only (route-param-fixed),,,,,Automated,Omeesha Mahanta,,,"Type shows ""Equipment"" and is disabled - it is fixed by the route parameter, not a user-selectable dropdown on this page (the Equipment/Labor choice is made on the previous screen)",,,corporate-pricing,,"On the Equipment New Pricebook page

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Labor / Equipment""",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. Open the create page.</li>
<li>2. Read the ""Labor / Equipment"" type control.</li>
<li>3. Inspect its enabled state</li>
</ol>",,,"1. The New Pricebook create page loads and displays the Price Book Type control.
2. The Type control renders and displays its current value.
3. Type shows ""Equipment"" and is disabled - it is fixed by the route parameter, not a user-selectable dropdown on this page (the Equipment/Labor choice is made on the previous screen)",,,,Master,S1620,Test Case (Steps),Regression,,,
,Price Year field is present and editable,,,,,Automated,Omeesha Mahanta,,,"The Price Year field (label ""Price Year"", placeholder ""e.g. 2026"") is present and accepts a valid year",,,corporate-pricing,,"On the Equipment New Pricebook page

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""2026""",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. Open the create page.</li>
<li>2. Enter ""2026"" into the Price Year field</li>
</ol>",,,"1. The New Pricebook create page loads and displays the Price Year field.
2. The Price Year field (label ""Price Year"", placeholder ""e.g. 2026"") is present and accepts a valid year",,,,Master,S1620,Test Case (Steps),Regression,,,
,Currency defaults to USD,,,,,Automated,Omeesha Mahanta,,,Currency defaults to USD on first load,,,corporate-pricing,,"On the Equipment New Pricebook page in a fresh load

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. Open the create page.</li>
<li>2. Read the Currency control's value</li>
</ol>",,,"1. The New Pricebook create page loads and displays the Currency control.
2. Currency defaults to USD on first load",,,,Master,S1620,Test Case (Steps),Regression,,,
,"Currency dropdown offers USD, CAD, MXN",,,,,Automated,Omeesha Mahanta,,,"The Currency dropdown lists USD, CAD, and MXN",,,corporate-pricing,,"On the Equipment New Pricebook page

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. Open the create page.</li>
<li>2. Open the Currency dropdown.</li>
<li>3. Read the option list</li>
</ol>",,,"1. The New Pricebook create page loads and displays the Currency control.
2. The Currency dropdown expands and displays its list of options.
3. The Currency dropdown lists USD, CAD, and MXN",,,,Master,S1620,Test Case (Steps),Regression,,,
,Tabs render - Pricing Strategy + Pricing Detail,,,,,Automated,Omeesha Mahanta,,,Both tabs render above the shared header,,,corporate-pricing,,"On the Equipment New Pricebook page

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. Open the create page.</li>
<li>2. Read the tab buttons</li>
</ol>",,,"1. The New Pricebook create page loads and displays its tab buttons.
2. Both tabs render above the shared header",,,,Master,S1620,Test Case (Steps),Regression,,,
,Single-character Pricebook Name keeps the form savable,,,,,Automated,Omeesha Mahanta,,,A 1-character name satisfies the Name requirement (Save enabled),,,corporate-pricing,,"On the Equipment New Pricebook page with a valid Year and one strategy already added (so Name is the only variable)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""A""",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. Set Year=2026 and add one strategy.</li>
<li>2. Enter a single character ""A"" as the Pricebook Name.</li>
<li>3. Observe the Save button</li>
</ol>",,,"1. The Price Year field holds 2026 and the strategy list shows one added strategy.
2. The Pricebook Name field accepts and displays the single character ""A"".
3. A 1-character name satisfies the Name requirement (Save enabled)",,,,Master,S1620,Test Case (Steps),Regression,,,
,Long Pricebook Name (250 chars) is accepted,,,,,Automated,Omeesha Mahanta,,,A long name is accepted and the name is not shortened; the form stays savable,,,corporate-pricing,,"On the Equipment New Pricebook page with a valid Year and one strategy added

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. Enter a 250-character Pricebook Name.</li>
<li>2. Observe the Save button</li>
</ol>",,,"1. The Pricebook Name field accepts the full 250-character name and does not shorten it.
2. A long name is accepted and the name is not shortened; the form stays savable",,,,Master,S1620,Test Case (Steps),Regression,,,
,Special characters in Pricebook Name are accepted,,,,,Automated,Omeesha Mahanta,,,Special characters are accepted in the Name field; the form stays savable,,,corporate-pricing,,"On the Equipment New Pricebook page with a valid Year and one strategy added

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Q""",Medium,,New_Pricebook,1,,Corporate_Pricing > New_Pricebook,"<ol>
<li>1. Enter a name containing these literal special characters: AT&T <Tag> #1 ""Q"" é.</li>
<li>2. Observe the Save button</li>
</ol>",,,"1. The Pricebook Name field accepts and displays the special characters exactly as typed.
2. Special characters are accepted in the Name field; the form stays savable",,,,Master,S1620,Test Case (Steps),Regression,,,
