ID,Title,AI Automated Test,AI Model,AI Type,Attachments,Automation Type,Created By,Created On,Estimate,Expected Result,Forecast,Goals,Labels,Mission,Preconditions,Priority,References,Section,Section Depth,Section Description,Section Hierarchy,Steps,Steps,Steps (Additional Info),Steps (Expected Result),Steps (References),Steps (Shared step ID),Steps (Step),Suite,Suite ID,Template,Type,Updated By,Updated On,is_converted
,The Product Groups page loads without auto-searching,,,,,Automated,Omeesha Mahanta,,,No rows are loaded until a search runs (unless a previous search is being restored — see the persistence case),,,product-groups,,"The automation account has access to office 1101

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Search_For_Product_Groups,1,,ItemSearch_Products > Search_For_Product_Groups,"<ol>
<li>1. On the Products page, select a result row and click Product Group in the toolbar</li>
<li>2. Wait until no loading placeholders remain</li>
<li>3. Read the grid</li>
</ol>",,,"1. The Product Groups page opens
2. The search panel, Add button and the 4-column grid header (Name, Description, Service Type, Status) are shown
3. No rows are loaded until a search runs (unless a previous search is being restored — see the persistence case)",,,,Master,S1620,Test Case (Steps),Regression,,,
,A search word returns matching groups,,,,,Automated,Omeesha Mahanta,,,"Every row's name contains ""Audio""",,,product-groups,,"The Product Groups page is open; the search box is empty (Reset if needed)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Search_For_Product_Groups,1,,ItemSearch_Products > Search_For_Product_Groups,"<ol>
<li>1. Type Audio into the search box and click Search</li>
<li>2. Read the visible rows</li>
</ol>",,,"1. A count label appears with dozens of groups found
2. Every row's name contains ""Audio""",,,,Master,S1620,Test Case (Steps),Regression,,,
,Searching with an empty box returns zero groups,,,,,Automated,Omeesha Mahanta,,,"Still zero — this is the settled response, not a loading gap",,,product-groups,,"The Product Groups page is open; the search box is empty

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Search_For_Product_Groups,1,,ItemSearch_Products > Search_For_Product_Groups,"<ol>
<li>1. Click Search with the box empty</li>
<li>2. Wait ~20 seconds and read again</li>
</ol>",,,"1. The count shows ""0 product groups found"" and no rows render
2. Still zero — this is the settled response, not a loading gap",,,,Master,S1620,Test Case (Steps),Regression,,,
,Pagination pages through at twenty rows,,,,,Automated,Omeesha Mahanta,,,Page 1 returns,,,product-groups,,"An Audio search has been executed (multiple pages available)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Go to next page""
Sample input 2: ""Go to first page""",Medium,,Search_For_Product_Groups,1,,ItemSearch_Products > Search_For_Product_Groups,"<ol>
<li>1. Read the pagination bar</li>
<li>2. Click ""Go to next page""</li>
<li>3. Click ""Go to first page""</li>
</ol>",,,"1. Rows-per-page shows 20; page 1 of several; first/previous disabled
2. Page 2 shows different rows; first/previous enable
3. Page 1 returns",,,,Master,S1620,Test Case (Steps),Regression,,,
,An executed group search survives leaving and returning,,,,,Automated,Omeesha Mahanta,,,"The box still holds `Audio`, the same count shows, and the rows are back",,,product-groups,,"The Product Groups page is open; the box is empty

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Search_For_Product_Groups,1,,ItemSearch_Products > Search_For_Product_Groups,"<ol>
<li>1. Type Audio, click Search, note the count</li>
<li>2. Navigate away entirely, then return and wait for hydration</li>
</ol>",,,"1. Results load
2. The box still holds `Audio`, the same count shows, and the rows are back",,,,Master,S1620,Test Case (Steps),Regression,,,
,Result rows show their status,,,,,Automated,Omeesha Mahanta,,,Each row carries a service type (e.g. `Equipment Rental`),,,product-groups,,"An Audio search has been executed with Active checked

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Search_For_Product_Groups,1,,ItemSearch_Products > Search_For_Product_Groups,"<ol>
<li>1. Read the Status column of the visible rows</li>
<li>2. Read the Service Type column</li>
</ol>",,,"1. Every row shows `Active`
2. Each row carries a service type (e.g. `Equipment Rental`)",,,,Master,S1620,Test Case (Steps),Regression,,,
,Reset clears the search and keeps the Active filter,,,,,Automated,Omeesha Mahanta,,,It remains checked,,,product-groups,,"An Audio search has been executed

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Search_For_Product_Groups,1,,ItemSearch_Products > Search_For_Product_Groups,"<ol>
<li>1. Click Reset</li>
<li>2. Read the Active checkbox</li>
</ol>",,,"1. The search box clears; the count returns to zero found; the grid empties
2. It remains checked",,,,Master,S1620,Test Case (Steps),Regression,,,
,The Enter key runs the group search,,,,,Automated,Omeesha Mahanta,,,The same count and the same first row come back,,,product-groups,,"The Product Groups page is open with a clean search (Reset)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Search_For_Product_Groups,1,,ItemSearch_Products > Search_For_Product_Groups,"<ol>
<li>1. Type ZZ E2E, pause a moment, press Enter</li>
<li>2. Note the count, Reset, type the same word and click Search instead</li>
</ol>",,,"1. The count label reports groups found and rows render — no click on Search was needed
2. The same count and the same first row come back",,,,Master,S1620,Test Case (Steps),Regression,,,
,The description column is searched too,,,,,Automated,Omeesha Mahanta,,,Each row's Description contains the phrase while its Name does not — the match came from the description,,,product-groups,,"Clean search; the automated groups exist (their descriptions start with ""Automated group create check"", their names do not contain that phrase)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Search_For_Product_Groups,1,,ItemSearch_Products > Search_For_Product_Groups,"<ol>
<li>1. Search Automated group create check</li>
<li>2. Read every visible row</li>
</ol>",,,"1. At least one group is found
2. Each row's Description contains the phrase while its Name does not — the match came from the description",,,,Master,S1620,Test Case (Steps),Regression,,,
,Search ignores case and surrounding spaces; a spaces-only search counts as empty,,,,,Automated,Omeesha Mahanta,,,"""0 product groups found"" and ""No results"" — treated as an empty search",,,product-groups,,"Clean search

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Search_For_Product_Groups,1,,ItemSearch_Products > Search_For_Product_Groups,"<ol>
<li>1. Search ZZ E2E and note the count</li>
<li>2. Search zz e2e</li>
<li>3. Search ZZ E2E (three spaces either side)</li>
<li>4. Search five spaces only</li>
</ol>",,,"1. Groups are found (22 at verification)
2. The same count
3. The same count; the box keeps the spaces as typed
4. ""0 product groups found"" and ""No results"" — treated as an empty search",,,,Master,S1620,Test Case (Steps),Regression,,,
