ID,Title,AI Automated Test,AI Model,AI Type,Attachments,Automation Type,Created By,Created On,Estimate,Expected Result,Forecast,Goals,Labels,Mission,Preconditions,Priority,References,Section,Section Depth,Section Description,Section Hierarchy,Steps,Steps,Steps (Additional Info),Steps (Expected Result),Steps (References),Steps (Shared step ID),Steps (Step),Suite,Suite ID,Template,Type,Updated By,Updated On,is_converted
,Override screen loads with Equipment selected by default,,,,,Automated,Omeesha Mahanta,,,The Override screen loads and the Equipment tab is selected by default,,,"corporate-pricing-pg-override,functional",,"Authenticated on office 1604

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Core,1,,Corporate_Pricing_Pg_Override > Core,"<ol>
<li>1. Navigate to the Product Group Override screen</li>
<li>2. Read the active tab</li>
</ol>",,,"1. The Product Group Override screen loads and is displayed.
2. The Override screen loads and the Equipment tab is selected by default",,,,Master,S1620,Test Case (Steps),Regression,,,
,Equipment + Labor tabs render and switching activates the selected tab,,,,,Automated,Omeesha Mahanta,,,Both tabs render; switching updates the active tab,,,"corporate-pricing-pg-override,functional",,"On the Override screen with a location selected

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Core,1,,Corporate_Pricing_Pg_Override > Core,"<ol>
<li>1. Click the Labor tab</li>
<li>2. Click the Equipment tab</li>
</ol>",,,"1. The Labor tab becomes active and its content is displayed.
2. Both tabs render; switching updates the active tab",,,,Master,S1620,Test Case (Steps),Regression,,,
,Grid is location-gated — empty before a location is selected,,,,,Automated,Omeesha Mahanta,,,"The ""Select a location"" card is visible on screen.",,,"corporate-pricing-pg-override,functional",,"Fresh Override screen load, no location chosen

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Select a location""",Medium,,Core,1,,Corporate_Pricing_Pg_Override > Core,"<ol>
<li>1. Open the Override screen without selecting a location</li>
<li>2. Read the grid</li>
<li>3. the ""Select a location"" card is visible</li>
</ol>",,,"1. The Override screen displays ""No results."" in the grid area.
2. Zero data rows are displayed in the grid.
3. The ""Select a location"" card is visible on screen.",,,,Master,S1620,Test Case (Steps),Regression,,,
,Selecting a location populates the grid with the anchor row,,,,,Automated,Omeesha Mahanta,,,"The ""House Video Monitor - Specialty"" row is present in the grid.",,,"corporate-pricing-pg-override,functional",,"On the Override screen

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Select a location""
Sample input 2: ""House Video Monitor - Specialty""",Medium,,Core,1,,Corporate_Pricing_Pg_Override > Core,"<ol>
<li>1. Open the ""Select a location"" picker, search 1604, check the row, click Select</li>
<li>2. Read the grid</li>
<li>3. the anchor ""House Video Monitor - Specialty"" is present</li>
</ol>",,,"1. The grid populates with rows for office 1604.
2. Rows are displayed in the grid.
3. The ""House Video Monitor - Specialty"" row is present in the grid.",,,,Master,S1620,Test Case (Steps),Regression,,,
,Grid renders all 10 column headers in order,,,,,Automated,Omeesha Mahanta,,,"All columns render, including the Updated By column",,,"corporate-pricing-pg-override,functional",,"On the Override screen with 1604 selected

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Core,1,,Corporate_Pricing_Pg_Override > Core,"<ol>
<li>1. Read the grid column headers</li>
</ol>",,,"1. All columns render, including the Updated By column",,,,Master,S1620,Test Case (Steps),Regression,,,
,Current Price column renders a value,,,,,Automated,Omeesha Mahanta,,,"The Current Price column displays a value (e.g. ""0.00""), not an empty cell",,,"corporate-pricing-pg-override,functional",,"On the Override screen with 1604 selected

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Core,1,,Corporate_Pricing_Pg_Override > Core,"<ol>
<li>1. Read the Current Price cell of the anchor row</li>
</ol>",,,"1. The Current Price column displays a value (e.g. ""0.00""), not an empty cell",,,,Master,S1620,Test Case (Steps),Regression,,,
,Active column renders as a Radix checkbox with readable aria-checked,,,,,Automated,Omeesha Mahanta,,,The Active column renders as a checkbox whose checked / unchecked state is readable,,,"corporate-pricing-pg-override,functional",,"On the Override screen with 1604 selected

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Core,1,,Corporate_Pricing_Pg_Override > Core,"<ol>
<li>1. Read the Active cell of the anchor row</li>
</ol>",,,1. The Active column renders as a checkbox whose checked / unchecked state is readable,,,,Master,S1620,Test Case (Steps),Regression,,,
,Labor tab shows the empty state for office 1606 with headers rendered,,,,,Automated,Omeesha Mahanta,,,The column headers are still displayed.,,,"corporate-pricing-pg-override,functional",,"On the Override screen with 1604 selected

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Core,1,,Corporate_Pricing_Pg_Override > Core,"<ol>
<li>1. Switch to the Labor tab</li>
<li>2. Read the grid</li>
<li>3. the column headers still render</li>
</ol>",,,"1. The Labor tab becomes the active tab.
2. Zero rows are displayed in the Labor grid.
3. The column headers are still displayed.",,,,Master,S1620,Test Case (Steps),Regression,,,
,Currency filter offers ALL/USD/CAD/MXN,,,,,Automated,Omeesha Mahanta,,,"The Currency filter lists ALL, USD, CAD, MXN (default ALL)",,,"corporate-pricing-pg-override,functional",,"On the Override screen with 1604 selected

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Core,1,,Corporate_Pricing_Pg_Override > Core,"<ol>
<li>1. Open the Currency filter</li>
<li>2. Read the option list</li>
</ol>",,,"1. The Currency filter dropdown opens and displays its list of options.
2. The Currency filter lists ALL, USD, CAD, MXN (default ALL)",,,,Master,S1620,Test Case (Steps),Regression,,,
,Active-only filter defaults OFF and toggles,,,,,Automated,Omeesha Mahanta,,,The Active-only checkbox is displayed unchecked.,,,"corporate-pricing-pg-override,functional",,"On the Override screen with 1604 selected

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Core,1,,Corporate_Pricing_Pg_Override > Core,"<ol>
<li>1. Read the Active-only checkbox</li>
<li>2. Toggle it on</li>
<li>3. toggle it off</li>
</ol>",,,"1. The Active-only checkbox is displayed unchecked.
2. The Active-only checkbox is displayed checked.
3. The Active-only checkbox is displayed unchecked.",,,,Master,S1620,Test Case (Steps),Regression,,,
,Rows-per-page offers 10/20/30/40/50,,,,,Automated,Omeesha Mahanta,,,The rows-per-page control offers 10/20/30/40/50 (default 20),,,"corporate-pricing-pg-override,functional",,"On the Override screen with 1604 selected

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Core,1,,Corporate_Pricing_Pg_Override > Core,"<ol>
<li>1. Open the rows-per-page control</li>
<li>2. Read the list</li>
</ol>",,,"1. The rows-per-page control opens and displays its list of values.
2. The rows-per-page control offers 10/20/30/40/50 (default 20)",,,,Master,S1620,Test Case (Steps),Regression,,,
,Client filter by Product Group Name narrows the grid,,,,,Automated,Omeesha Mahanta,,,The anchor row is present in the grid.,,,"corporate-pricing-pg-override,functional",,"On the Override screen with 1604 selected

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""House Video""
Sample input 2: ""Filter Product Groups Override...""",Medium,,Core,1,,Corporate_Pricing_Pg_Override > Core,"<ol>
<li>1. Type ""House Video"" into the ""Filter Product Groups Override..."" input</li>
<li>2. Read the grid</li>
<li>3. the anchor row is present</li>
</ol>",,,"1. The grid narrows to rows matching ""House Video"".
2. Rows are displayed, at or below the unfiltered count.
3. The anchor row is present in the grid.",,,,Master,S1620,Test Case (Steps),Regression,,,
,Client filter by Product Group ID narrows to the matching row,,,,,Automated,Omeesha Mahanta,,,At least one row is displayed.,,,"corporate-pricing-pg-override,functional",,"On the Override screen with 1604 selected

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""2605""",Medium,,Core,1,,Corporate_Pricing_Pg_Override > Core,"<ol>
<li>1. Type the Product Group ID ""2605"" into the filter</li>
<li>2. Read the grid</li>
<li>3. rows > 0</li>
</ol>",,,"1. The grid narrows to rows matching ""2605"".
2. The anchor row for product group 2605 is present in the grid.
3. At least one row is displayed.",,,,Master,S1620,Test Case (Steps),Regression,,,
,Client filter is scoped to ID and Name only,,,,,Automated,Omeesha Mahanta,,,The filter is scoped to Product Group ID and Name; a Currency value yields no matches (it does not match the Currency column),,,"corporate-pricing-pg-override,functional",,"On the Override screen with 1604 selected

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""USD""",Medium,,Core,1,,Corporate_Pricing_Pg_Override > Core,"<ol>
<li>1. Type a Currency value ""USD"" (present in every row's Currency column, no Product Group ID/Name)</li>
<li>2. Clear the filter</li>
</ol>",,,"1. The value ""USD"" is entered into the filter input and the grid re-renders.
2. The filter is scoped to Product Group ID and Name; a Currency value yields no matches (it does not match the Currency column)",,,,Master,S1620,Test Case (Steps),Regression,,,
,No-match filter empties the grid; clearing restores rows,,,,,Automated,Omeesha Mahanta,,,A no-match filter renders an empty grid; clearing restores the rows,,,"corporate-pricing-pg-override,functional",,"On the Override screen with 1604 selected

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Core,1,,Corporate_Pricing_Pg_Override > Core,"<ol>
<li>1. Type a non-matching term</li>
<li>2. Clear the filter</li>
</ol>",,,"1. The non-matching term is entered into the filter input and the grid updates.
2. A no-match filter renders an empty grid; clearing restores the rows",,,,Master,S1620,Test Case (Steps),Regression,,,
,Filter tolerates whitespace and special characters without crashing,,,,,Automated,Omeesha Mahanta,,,The filter accepts whitespace / special characters without erroring; the app stays responsive,,,"corporate-pricing-pg-override,functional",,"On the Override screen with 1604 selected

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Core,1,,Corporate_Pricing_Pg_Override > Core,"<ol>
<li>1. Type whitespace-only and special characters into the filter</li>
<li>2. Clear the filter</li>
</ol>",,,"1. The whitespace and special characters are entered into the filter input without error.
2. The filter accepts whitespace / special characters without erroring; the app stays responsive",,,,Master,S1620,Test Case (Steps),Regression,,,
,Clicking the Override Price cell reveals an editable numeric input,,,,,Automated,Omeesha Mahanta,,,The Override Price cell is click-to-edit - clicking reveals an editable numeric input pre-filled with the current value,,,"corporate-pricing-pg-override,functional",,"On the Override screen with 1604 selected

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Core,1,,Corporate_Pricing_Pg_Override > Core,"<ol>
<li>1. Click the Override Price cell of the anchor row</li>
<li>2. Read the editor value, then press Escape (no change)</li>
</ol>",,,"1. The Override Price cell switches to edit mode and displays a numeric input.
2. The Override Price cell is click-to-edit - clicking reveals an editable numeric input pre-filled with the current value",,,,Master,S1620,Test Case (Steps),Regression,,,
