ID,Title,AI Automated Test,AI Model,AI Type,Attachments,Automation Type,Created By,Created On,Estimate,Expected Result,Forecast,Goals,Labels,Mission,Preconditions,Priority,References,Section,Section Depth,Section Description,Section Hierarchy,Steps,Steps,Steps (Additional Info),Steps (Expected Result),Steps (References),Steps (Shared step ID),Steps (Step),Suite,Suite ID,Template,Type,Updated By,Updated On,is_converted
,Labor tab renders a populated grid with real data on office 9460 (NM-2271),,,,,Automated,Omeesha Mahanta,,,"The Labor tab renders a populated grid with real data: rows are visible, the items-found total is in the triple digits, and the known anchor row is present",,,"corporate-pricing-pg-override,functional",,"On the Override screen with office 9460 selected; Labor tab active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""items found""
Sample input 2: ""Banners Design""",Medium,,Labor_Grid,1,,Corporate_Pricing_Pg_Override > Labor_Grid,"<ol>
<li>1. Select office 9460 via the Change Local Office picker</li>
<li>2. Read the visible row count</li>
<li>3. Read the ""items found"" total</li>
<li>4. Find the row ""Banners Design""</li>
</ol>",,,"1. Office 9460 is selected and the Labor grid populates.
2. Rows are displayed in the Labor grid.
3. The ""items found"" total is displayed in the triple digits.
4. The Labor tab renders a populated grid with real data: rows are visible, the items-found total is in the triple digits, and the known anchor row is present",,,,Master,S1620,Test Case (Steps),Regression,,,
,Labor grid text filter narrows to matching rows and clearing restores the page (NM-2271),,,,,Automated,Omeesha Mahanta,,,The visible row count increases back above the narrowed count.,,,"corporate-pricing-pg-override,functional",,"On the Override screen with office 9460 selected; Labor tab active; no filter applied

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Banners""
Sample input 2: ""Banners Design""",Medium,,Labor_Grid,1,,Corporate_Pricing_Pg_Override > Labor_Grid,"<ol>
<li>1. Read the visible row count (full page)</li>
<li>2. Type ""Banners"" into the filter box</li>
<li>3. the ""Banners Design"" row is visible</li>
<li>4. Clear the filter</li>
</ol>",,,"1. The visible row count on the full page is displayed.
2. The grid narrows to rows matching ""Banners"" with a row count below the full page and above 0.
3. The ""Banners Design"" row is visible in the grid.
4. The visible row count increases back above the narrowed count.",,,,Master,S1620,Test Case (Steps),Regression,,,
,Labor grid column sort orders Product Group Name ascending and descending (NM-2271),,,,,Automated,Omeesha Mahanta,,,The Labor grid sorts via the same header dropdown mechanism as Equipment. The oracle is self-verifying monotonic order - resilient to data drift on the shared bed,,,"corporate-pricing-pg-override,functional",,"On the Override screen with office 9460 selected; Labor tab active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Product Group Name""",Medium,,Labor_Grid,1,,Corporate_Pricing_Pg_Override > Labor_Grid,"<ol>
<li>1. Open the ""Product Group Name"" header dropdown</li>
<li>2. Open the header dropdown</li>
</ol>",,,"1. The header dropdown menu opens and displays sort options.
2. The Labor grid sorts via the same header dropdown mechanism as Equipment. The oracle is self-verifying monotonic order - resilient to data drift on the shared bed",,,,Master,S1620,Test Case (Steps),Regression,,,
,Labor Override Price save-cycle persists after reload and restores (NM-2271),,,,,Automated,Omeesha Mahanta,,,Override Price for row 655 displays 161.,,,"corporate-pricing-pg-override,functional",,"Office 1105 Labor row 655 ""General - Ops"" at its 160.00 baseline

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Labor_Grid,1,,Corporate_Pricing_Pg_Override > Labor_Grid,"<ol>
<li>1. Baseline: restore row 655 to Override Price 160.00 / inactive (bounded-retry restore)</li>
<li>2. Edit Override Price to 161</li>
<li>3. Save</li>
<li>4. Reload + re-select office 1105 + Labor tab</li>
</ol>",,,"1. Override Price for row 655 is confirmed at 160.00 and the row is inactive.
2. The new value commits to the Override Price cell and the Save button becomes enabled.
3. The save dialog is confirmed and a success toast appears.
4. Override Price for row 655 displays 161.",,,,Master,S1620,Test Case (Steps),Regression,,,
,Labor Max Discount % save-cycle persists after reload and restores (NM-2271),,,,,Automated,Omeesha Mahanta,,,Max Discount % for row 655 displays 10 after reload.,,,"corporate-pricing-pg-override,functional",,"Office 1105 Labor row 655 at baseline (Max Discount unset ""-"")

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Labor_Grid,1,,Corporate_Pricing_Pg_Override > Labor_Grid,"<ol>
<li>1. Baseline restore</li>
<li>2. Save + confirm</li>
</ol>",,,"1. Max Discount % for row 655 accepts the value 10 and the Save button becomes enabled.
2. Max Discount % for row 655 displays 10 after reload.",,,,Master,S1620,Test Case (Steps),Regression,,,
,Labor Active toggle save-cycle persists after reload and restores (NM-2271),,,,,Automated,Omeesha Mahanta,,,The toggled Active state is displayed after reload.,,,"corporate-pricing-pg-override,functional",,"Office 1105 Labor row 655 at baseline (inactive)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Labor_Grid,1,,Corporate_Pricing_Pg_Override > Labor_Grid,"<ol>
<li>1. Baseline restore</li>
<li>2. Save + confirm</li>
</ol>",,,"1. The Active checkbox toggles to the opposite state and the Save button becomes enabled.
2. The toggled Active state is displayed after reload.",,,,Master,S1620,Test Case (Steps),Regression,,,
,Navigating away from a dirty grid raises the unsaved-changes dialog; Stay keeps the page and the edit (NM-2271),,,,,Automated,Omeesha Mahanta,,,The Save button remains enabled.,,,"corporate-pricing-pg-override,functional",,"Office 1105 Labor tab loaded; grid clean

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Stay""",Medium,,Labor_Grid,1,,Corporate_Pricing_Pg_Override > Labor_Grid,"<ol>
<li>1. Edit row 655 Override Price to a value differing from the saved one</li>
<li>2. Click the in-app Home link</li>
<li>3. Click ""Stay""</li>
<li>4. the URL still points at the Override screen</li>
<li>5. the staged edit is intact</li>
<li>6. Save is still enabled</li>
</ol>",,,"1. The new value commits to the cell and the Save button becomes enabled.
2. The ""Unsaved changes"" dialog appears with the title, body text, and Stay and Discard buttons.
3. The dialog closes.
4. The URL continues to show the Override screen.
5. The staged edit is still visible in the grid.
6. The Save button remains enabled.",,,,Master,S1620,Test Case (Steps),Regression,,,
,Discard in the unsaved-changes dialog leaves the page and drops the edit (NM-2271),,,,,Automated,Omeesha Mahanta,,,Discard navigates away and the dropped edit never persists - proven by re-reading the value after a full reload,,,"corporate-pricing-pg-override,functional",,"Office 1105 Labor tab loaded; grid clean

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Labor_Grid,1,,Corporate_Pricing_Pg_Override > Labor_Grid,"<ol>
<li>1. Edit row 655 Override Price</li>
<li>2. Click the in-app Home link</li>
<li>3. Assert navigation to the home page</li>
<li>4. Re-open the Override screen + re-select 1105 + Labor tab</li>
</ol>",,,"1. The new value commits to the Override Price cell and the Save button becomes enabled.
2. An unsaved-changes dialog opens with a Discard option.
3. The application navigates to the home page.
4. Discard navigates away and the dropped edit never persists - proven by re-reading the value after a full reload",,,,Master,S1620,Test Case (Steps),Regression,,,
,Page navigation changes the visible rows and enables or disables the nav buttons at each end (NM-2271),,,,,Automated,Omeesha Mahanta,,,The visible row count is between 1 and the current rows-per-page setting.,,,"corporate-pricing-pg-override,functional",,"Office 9460 Labor tab loaded (multi-page data set); page 1; default rows-per-page

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Go to first page""
Sample input 2: ""Go to previous page""
Sample input 3: ""Go to next page""
Sample input 4: ""Go to last page""",Medium,,Labor_Grid,1,,Corporate_Pricing_Pg_Override > Labor_Grid,"<ol>
<li>1. On page 1: ""Go to first page"" + ""Go to previous page"" disabled; ""Go to next page"" + ""Go to last page"" enabled</li>
<li>2. read the first row name</li>
<li>3. Click ""Go to next page""</li>
<li>4. Click ""Go to last page""</li>
<li>5. the visible row count is above 0 and no more than the rows-per-page setting</li>
</ol>",,,"1. ""Go to first page"" and ""Go to previous page"" are disabled; ""Go to next page"" and ""Go to last page"" are enabled.
2. The first row's Product Group Name is displayed.
3. The first row displays a different Product Group Name and ""Go to previous page"" becomes enabled.
4. ""Go to next page"" and ""Go to last page"" are disabled.
5. The visible row count is between 1 and the current rows-per-page setting.",,,,Master,S1620,Test Case (Steps),Regression,,,
,Raising rows-per-page shows more rows without changing the total (NM-2271),,,,,Automated,Omeesha Mahanta,,,A larger page size shows more rows on the page while the underlying record total stays constant. Relative assertions only,,,"corporate-pricing-pg-override,functional",,"Office 9460 Labor tab loaded; default rows-per-page (20)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""items found""",Medium,,Labor_Grid,1,,Corporate_Pricing_Pg_Override > Labor_Grid,"<ol>
<li>1. Read the visible row count and the ""items found"" total</li>
<li>2. Change rows-per-page to 50</li>
<li>3. Assert the visible row count increased and the ""items found"" total is unchanged</li>
</ol>",,,"1. The visible row count and the ""items found"" total are displayed.
2. The grid re-renders to display up to 50 rows per page.
3. A larger page size shows more rows on the page while the underlying record total stays constant. Relative assertions only",,,,Master,S1620,Test Case (Steps),Regression,,,
