ID,Title,AI Automated Test,AI Model,AI Type,Attachments,Automation Type,Created By,Created On,Estimate,Expected Result,Forecast,Goals,Labels,Mission,Preconditions,Priority,References,Section,Section Depth,Section Description,Section Hierarchy,Steps,Steps,Steps (Additional Info),Steps (Expected Result),Steps (References),Steps (Shared step ID),Steps (Step),Suite,Suite ID,Template,Type,Updated By,Updated On,is_converted
,Verify Legal grid default structure,,,,,Automated,Omeesha Mahanta,,,Table with 3 columns and 1 row (US English) visible in Legal panel,,,locations,,"Office 1604 is open in Navigator. Legal tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Basic Information""
Sample input 2: ""Legal""
Sample input 3: ""Language Name""
Sample input 4: ""Service Charge Name""
Sample input 5: ""Terms and Conditions Name""",Medium,,Legal,1,,Locations > Legal,"<ol>
<li>1. Navigate to Setup > Location > 1604 > ""Basic Information"" tab</li>
<li>2. Click ""Legal"" sub-tab</li>
<li>3. Verify table has 3 column headers: ""Language Name"", ""Service Charge Name"", ""Terms and Conditions Name""</li>
<li>4. Count rows in table body</li>
</ol>",,,"1. The Basic Information tab for location 1604 is displayed.
2. The Legal sub-tab becomes active and the Legal panel is displayed.
3. The table displays exactly 3 column headers: Language Name, Service Charge Name, and Terms and Conditions Name.
4. Table with 3 columns and 1 row (US English) visible in Legal panel",,,,Master,S1620,Test Case (Steps),Regression,,,
,Verify Legal grid default field values,,,,,Automated,Omeesha Mahanta,,,"US English row shows: Language Name = ""US English"", Service Charge Name = ""Resort Service Charge"", Terms and Conditions Name = ""LDW""",,,locations,,"Office 1604 is open in Navigator. Legal tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Legal""",Medium,,Legal,1,,Locations > Legal,"<ol>
<li>1. Navigate to ""Legal"" tab</li>
<li>2. Verify US English row cell 1</li>
<li>3. Verify US English row cell 2</li>
<li>4. Verify US English row cell 3</li>
</ol>",,,"1. The Legal tab is displayed with the Legal panel visible.
2. Cell 1 (Language Name) in the US English row displays ""US English"".
3. Cell 2 (Service Charge Name) in the US English row displays ""Resort Service Charge"".
4. US English row shows: Language Name = ""US English"", Service Charge Name = ""Resort Service Charge"", Terms and Conditions Name = ""LDW""",,,,Master,S1620,Test Case (Steps),Regression,,,
,Verify Language Name cell is read-only,,,,,Automated,Omeesha Mahanta,,,"Language Name column is read-only static text, no editing possible",,,locations,,"Office 1604 is open in Navigator. Legal tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Legal""
Sample input 2: ""US English""",Medium,,Legal,1,,Locations > Legal,"<ol>
<li>1. Navigate to ""Legal"" tab</li>
<li>2. Verify Language Name cell (""US English"")</li>
<li>3. Verify no interactive element exists in first column cell</li>
</ol>",,,"1. The Legal tab is displayed with the Legal panel visible.
2. The Language Name cell displays ""US English"" as static text.
3. Language Name column is read-only static text, no editing possible",,,,Master,S1620,Test Case (Steps),Regression,,,
,Verify Service Charge Name dropdown opens and shows options,,,,,Automated,Omeesha Mahanta,,,"Dropdown opens with 114 service charge options; currently selected option ""Resort Service Charge"" is visually indicated; Escape closes dropdown without changing value",,,locations,,"Office 1604 is open in Navigator. Legal tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Legal""
Sample input 2: ""Service Charge Name""",Medium,,Legal,1,,Locations > Legal,"<ol>
<li>1. Navigate to ""Legal"" tab</li>
<li>2. Click ""Service Charge Name"" dropdown in US English row</li>
<li>3. Verify options are visible</li>
<li>4. Verify current selection state</li>
<li>5. Press Escape</li>
</ol>",,,"1. The Legal tab is displayed with the Legal panel visible.
2. The Service Charge Name dropdown opens and displays the list of options.
3. All option entries in the dropdown list are visible on screen.
4. The currently selected option, ""Resort Service Charge"", is visually indicated.
5. Dropdown opens with 114 service charge options; currently selected option ""Resort Service Charge"" is visually indicated; Escape closes dropdown without changing value",,,,Master,S1620,Test Case (Steps),Regression,,,
,Verify Terms and Conditions Name dropdown opens and shows options,,,,,Automated,Omeesha Mahanta,,,"Dropdown opens with 50 T&C options; currently selected ""LDW"" is visually indicated; Escape closes without changing value",,,locations,,"Office 1604 is open in Navigator. Legal tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Legal""
Sample input 2: ""Terms and Conditions Name""",Medium,,Legal,1,,Locations > Legal,"<ol>
<li>1. Navigate to ""Legal"" tab</li>
<li>2. Click ""Terms and Conditions Name"" dropdown in US English row</li>
<li>3. Verify options are visible</li>
<li>4. Verify current selection state</li>
<li>5. Press Escape</li>
</ol>",,,"1. The Legal tab is displayed with the Legal panel visible.
2. The Terms and Conditions Name dropdown opens and displays the list of options.
3. All option entries in the dropdown list are visible on screen.
4. The currently selected option, ""LDW"", is visually indicated.
5. Dropdown opens with 50 T&C options; currently selected ""LDW"" is visually indicated; Escape closes without changing value",,,,Master,S1620,Test Case (Steps),Regression,,,
,Verify no search/filter exists in dropdowns,,,,,Automated,Omeesha Mahanta,,,Neither dropdown has a search/filter input -- all options are rendered in a flat list,,,locations,,"Office 1604 is open in Navigator. Legal tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Legal""
Sample input 2: ""Service Charge Name""
Sample input 3: ""Terms and Conditions Name""",Medium,,Legal,1,,Locations > Legal,"<ol>
<li>1. Navigate to ""Legal"" tab</li>
<li>2. Click ""Service Charge Name"" dropdown</li>
<li>3. Verify no search input or filter field exists in the dropdown</li>
<li>4. Press Escape</li>
<li>5. Click ""Terms and Conditions Name"" dropdown</li>
<li>6. Verify no search input or filter field exists</li>
<li>7. Press Escape</li>
</ol>",,,"1. The Legal tab is displayed with the Legal panel visible.
2. The Service Charge Name dropdown opens and displays the list of options.
3. No search input or filter field is present in the dropdown.
4. The dropdown closes and the Service Charge Name value remains unchanged.
5. The Terms and Conditions Name dropdown opens and displays the list of options.
6. No search input or filter field is present in the dropdown.
7. Neither dropdown has a search/filter input -- all options are rendered in a flat list",,,,Master,S1620,Test Case (Steps),Regression,,,
,Left-panel Save button disabled by default (no changes),,,,,Automated,Omeesha Mahanta,,,Left-panel Save button is disabled when no changes have been made to any field on the page,,,locations,,"Office 1604 is open in Navigator. Legal tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Legal""",Medium,,Legal,1,,Locations > Legal,"<ol>
<li>1. Navigate to Setup > Location > 1604 (fresh page load)</li>
<li>2. Click ""Legal"" tab</li>
<li>3. Make no changes</li>
<li>4. Verify left-panel ""Save"" button</li>
</ol>",,,"1. The location 1604 page loads and is displayed in Navigator.
2. The Legal tab becomes active and the Legal panel is displayed.
3. All fields on the page remain at their original values.
4. Left-panel Save button is disabled when no changes have been made to any field on the page",,,,Master,S1620,Test Case (Steps),Regression,,,
,Changing Service Charge Name enables left-panel Save button,,,,,Automated,Omeesha Mahanta,,,Changing Service Charge Name enables the shared left-panel Save button,,,locations,,"Office 1604 is open in Navigator. Legal tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Legal""
Sample input 2: ""Service Charge Name""
Sample input 3: ""Administrative Fee""",Medium,,Legal,1,,Locations > Legal,"<ol>
<li>1. Navigate to ""Legal"" tab (fresh page load)</li>
<li>2. Verify left-panel ""Save"" button</li>
<li>3. Click ""Service Charge Name"" dropdown</li>
<li>4. Select a different option from the dropdown (e.g., ""Administrative Fee"")</li>
<li>5. Verify left-panel ""Save"" button</li>
</ol>",,,"1. The Legal tab is displayed with the Legal panel visible.
2. The left-panel Save button is disabled.
3. The Service Charge Name dropdown opens and displays the list of options.
4. The Service Charge Name field updates to display ""Administrative Fee"".
5. Changing Service Charge Name enables the shared left-panel Save button",,,,Master,S1620,Test Case (Steps),Regression,,,
,Changing Terms and Conditions Name enables left-panel Save button,,,,,Automated,Omeesha Mahanta,,,Changing T&C Name enables the shared left-panel Save button,,,locations,,"Office 1604 is open in Navigator. Legal tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Legal""
Sample input 2: ""Terms and Conditions Name""
Sample input 3: ""Encore Terms and Conditions""",Medium,,Legal,1,,Locations > Legal,"<ol>
<li>1. Navigate to ""Legal"" tab (fresh page load)</li>
<li>2. Verify left-panel ""Save"" button</li>
<li>3. Click ""Terms and Conditions Name"" dropdown</li>
<li>4. Select a different option from the dropdown (e.g., ""Encore Terms and Conditions"")</li>
<li>5. Verify left-panel ""Save"" button</li>
</ol>",,,"1. The Legal tab is displayed with the Legal panel visible.
2. The left-panel Save button is disabled.
3. The Terms and Conditions Name dropdown opens and displays the list of options.
4. The Terms and Conditions Name field updates to display ""Encore Terms and Conditions"".
5. Changing T&C Name enables the shared left-panel Save button",,,,Master,S1620,Test Case (Steps),Regression,,,
,Reverting dropdowns to original values does NOT re-disable Save,,,,,Automated,Omeesha Mahanta,,,"Reverting a dropdown to its original value does NOT re-disable the Save button. The form's change tracking does not treat a reverted value as a return to the original unchanged state, so Save stays enabled. A browser confirmation prompt also appears when navigating away",,,locations,,"Office 1604 is open in Navigator. Legal tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Legal""
Sample input 2: ""Service Charge Name""
Sample input 3: ""Resort Service Charge""
Sample input 4: ""Administrative Fee""",Medium,,Legal,1,,Locations > Legal,"<ol>
<li>1. Navigate to ""Legal"" tab (fresh page load)</li>
<li>2. Change ""Service Charge Name"" from ""Resort Service Charge"" to ""Administrative Fee""</li>
<li>3. Change ""Service Charge Name"" back to ""Resort Service Charge""</li>
<li>4. Verify left-panel ""Save"" button</li>
</ol>",,,"1. The Legal tab is displayed with the Legal panel visible.
2. The Service Charge Name field updates to display ""Administrative Fee"" and the Save button becomes enabled.
3. The Service Charge Name field updates to display ""Resort Service Charge"" again.
4. Reverting a dropdown to its original value does NOT re-disable the Save button. The form's change tracking does not treat a reverted value as a return to the original unchanged state, so Save stays enabled. A browser confirmation prompt also appears when navigating away",,,,Master,S1620,Test Case (Steps),Regression,,,
