ID,Title,AI Automated Test,AI Model,AI Type,Attachments,Automation Type,Created By,Created On,Estimate,Expected Result,Forecast,Goals,Labels,Mission,Preconditions,Priority,References,Section,Section Depth,Section Description,Section Hierarchy,Steps,Steps,Steps (Additional Info),Steps (Expected Result),Steps (References),Steps (Shared step ID),Steps (Step),Suite,Suite ID,Template,Type,Updated By,Updated On,is_converted
,Basic Information tab loads with all panels and documented default values,,,,,Automated,Omeesha Mahanta,,,"The grid (tblDiscountExemptions) contains roughly 77 rows sorted alphabetically from 'APP Downloaded' through 'ZSub Rental Specialty', each with a read-only Service Type cell and a clickable Exempt cell.; No 'Add New...' input row exists at the bottom of this grid (unlike the Section/Room grids).",,,"local-office,ect-settings,basic-information",,"Office 1604 (Parker Palm Springs) is open in Navigator, logged in as the automation user with full location-edit permissions. Local Office Settings is open with the Basic Information tab active (the default tab).",Medium,,Basic_Information,1,,Local_Office > Basic_Information,"<ol>
<li>1. Log in via Microsoft SSO and navigate to {BASE_URL}locations/1604/settings/local-office.</li>
<li>2. Locate the Default Date Offsets panel (secDateOffsets).</li>
<li>3. Locate the Misc Settings panel (secMiscSettings).</li>
<li>4. Locate the Section panel (secSections).</li>
<li>5. Locate the Room Configuration panel (secRoomConfig).</li>
<li>6. Locate the Default Logo panel (secDefaultLogo).</li>
<li>7. Locate the Discount Exemptions panel (secDiscountExemptions).</li>
</ol>",,,"1. Local Office Settings page loads with the Basic Information tab selected by default (aria-selected=true), with no extra click required.; The location heading '1604 - Parker Palm Springs' is visible.; The page-level Save button (btnSave) is visible and disabled.
2. All six labeled inputs are visible with values: Prep Date Offset (Relative to Start)='-1', Return Date Offset (Relative to End)='1', Set Date Offset (Relative to Start)='-1', Strike Date Offset (Relative to End)='1', Delivery Date Offset (Relative to Start)='0', Pickup Date Offset (Relative to End)='0', each suffixed 'Hrs'.; No LoadInDateOffset or LoadOutDateOffset field/label exists anywhere in the panel (confirm via a full-text search of the panel's textContent).
3. Use Fulfillment unchecked+enabled; Use Availability CHECKED+enabled; Use Equipments QC unchecked+DISABLED; Items Filled from Requests Return to Availability unchecked+enabled; Allow tentative and confirmed Status to have the same priority unchecked+enabled; Print Description (Default) CHECKED+enabled; Use ServiceType for Subrental Inventory Sources CHECKED+enabled.; Phone 1='760-883-1957'; Phone 2 is empty.; Default new job to 1 day (Event/Outside/Internal) all unchecked; Default Labor to Hourly unchecked.; Default Order Type combobox shows 'Event'.; PO Number and PO Number Label are both empty.; No Labor Hour multiplier field/label (e.g. 'Regular Hours', 'Multiplier', 'Holiday') exists anywhere in the rendered form.
4. Use Section checkbox is CHECKED; a 'Default' button is visible and enabled.; The Section grid (tblSections) contains 14 rows sorted alphabetically: AV Services, Flipcharts, Hybrid Meeting, Labor, Lighting, Power, Presenter Support, Projection, Rigging, Scenic, Staging, Test Section, Video, Whiteboard.; Flipcharts shows Inactive (no check icon in its Active cell); all other 13 rows show Active.
5. No 'Use Room Configuration' checkbox and no 'Default' button exist for this panel.; The Room grid (tblRoomConfig) contains 4 rows sorted alphabetically: Ballroom A, Room Edit Test, Room Toggle Test, Test Room, all Active.
6. Quotes and Rental Orders/DROs checkboxes are both CHECKED.; Company Logo combobox shows 'SAVLogoNew' with a rendered logo preview image (imgLogoPreview) below it.
7. The grid (tblDiscountExemptions) contains roughly 77 rows sorted alphabetically from 'APP Downloaded' through 'ZSub Rental Specialty', each with a read-only Service Type cell and a clickable Exempt cell.; No 'Add New...' input row exists at the bottom of this grid (unlike the Section/Room grids).",,,,Master,S1620,Test Case (Steps),Regression,,,
,"Grid editability baseline -- Section/Room editable, Discount Exemptions Service Type read-only",,,,,Automated,Omeesha Mahanta,,,No input/edit affordance appears; the cell remains static text.,,,"local-office,ect-settings,basic-information",,"Office 1604 (Parker Palm Springs) is open in Navigator, logged in as the automation user with full location-edit permissions. Local Office Settings is open with the Basic Information tab active (the default tab).",Medium,,Basic_Information,1,,Local_Office > Basic_Information,"<ol>
<li>1. Open the Basic Information tab (fresh load).</li>
<li>2. Within the Section grid, inspect the Section Name and Active columns for every data row.</li>
<li>3. Within the Room Configuration grid, inspect the Room Configuration Name and Active columns.</li>
<li>4. Within the Discount Exemptions grid, inspect the Service Type and Exempt columns for several rows (e.g. 'APP Downloaded', 'Lighting', 'Freight').</li>
<li>5. Attempt to double-click a Service Type cell in the Discount Exemptions grid (e.g. 'APP Downloaded').</li>
</ol>",,,"1. Panel loads as described in the happy-path scenario.
2. Every Section Name cell contains an editable text input.; Every Active cell contains a clickable, non-input toggle (a checkmark icon when Active, empty when Inactive).
3. Same editable-input-plus-clickable-toggle pattern as the Section grid is confirmed.
4. Service Type cells contain plain text with NO input element.; Exempt cells contain a clickable toggle (icon or empty) with no input element, confirming this grid is read-only except for the Exempt toggle.
5. No input/edit affordance appears; the cell remains static text.",,,,Master,S1620,Test Case (Steps),Regression,,,
,"Prep Date Offset -- own-field positivity pattern, non-numeric acceptance-as-invalid, maxlength, empty-is-valid",,,,,Automated,Omeesha Mahanta,,,"aria-invalid becomes 'false'; the red icon disappears; Save button returns to disabled (pristine), confirming a same-value restore cleanly re-disables Save for this simple field.",,,"local-office,ect-settings,basic-information",,"Office 1604 (Parker Palm Springs) is open in Navigator, logged in as the automation user with full location-edit permissions. Local Office Settings is open with the Basic Information tab active (the default tab).",Medium,,Basic_Information,1,,Local_Office > Basic_Information,"<ol>
<li>1. Open Basic Information tab (fresh load) and record Prep Date Offset (expected '-1').</li>
<li>2. Click the field, Ctrl+A, type the positive invalidValue from POSITIVITY_VIOLATIONS_START ('5'), press Tab.</li>
<li>3. Click the field, Ctrl+A, type non-numeric text 'abc', press Tab.</li>
<li>4. Click the field, Ctrl+A, type the 4-character over-limit string '1234' (MAXLEN_BOUNDARY.threeChar.overLimit) and inspect the raw value while still focused (before blurring).</li>
<li>5. Click the field, Ctrl+A, Backspace (clear to empty), press Tab.</li>
<li>6. Click the field, Ctrl+A, Backspace, type the valid default '-1', press Tab.</li>
</ol>",,,"1. Field is visible/enabled; maxLength attribute equals 3; no native pattern/required attribute is present.
2. Field keeps the literal typed value '5' (not rejected at keystroke level).; aria-invalid becomes 'true' and a red circle-alert icon appears.; Hovering the icon shows a tooltip reading exactly 'Prep Date Offset must be empty, negative or zero'.; Save button remains disabled.
3. Field keeps 'abc' as its literal value; aria-invalid remains 'true'; Save stays disabled.
4. The input's value is capped at 3 characters by the maxlength=3 attribute (at most '123' is present), confirming native maxlength truncation independent of the custom positivity validation.
5. Field value is empty; aria-invalid is 'false' (empty IS treated as valid for this field, contradicting a naive PREP_OFFSET_EMPTY-required assumption); Save button becomes enabled (dirty, since empty differs from default '-1').
6. aria-invalid becomes 'false'; the red icon disappears; Save button returns to disabled (pristine), confirming a same-value restore cleanly re-disables Save for this simple field.",,,,Master,S1620,Test Case (Steps),Regression,,,
,"Set Date Offset -- own-field positivity pattern, maxlength boundary (4-char), non-numeric",,,,,Automated,Omeesha Mahanta,,,aria-invalid is 'false'; Save button returns to disabled.,,,"local-office,ect-settings,basic-information",,"Office 1604 (Parker Palm Springs) is open in Navigator, logged in as the automation user with full location-edit permissions. Local Office Settings is open with the Basic Information tab active (the default tab).",Medium,,Basic_Information,1,,Local_Office > Basic_Information,"<ol>
<li>1. Open Basic Information tab (fresh load) and record Set Date Offset (expected '-1', maxLength=4).</li>
<li>2. Click the field, Ctrl+A, type the positive invalidValue from POSITIVITY_VIOLATIONS_START Set entry ('3'), press Tab.</li>
<li>3. Click the field, Ctrl+A, type non-numeric 'abc', press Tab.</li>
<li>4. Click the field, Ctrl+A, type the at-limit valid 4-character value '-999' (MAXLEN_BOUNDARY.fourChar.atLimit), press Tab.</li>
<li>5. Click the field, Ctrl+A, Backspace, type the valid default '-1', press Tab.</li>
</ol>",,,"1. Field is visible/enabled with the recorded default and maxLength.
2. Field keeps '3'; aria-invalid becomes 'true'; a tooltip analogous to Prep's wording appears (e.g. referencing 'Set Date Offset'); Save stays disabled.
3. Field keeps 'abc'; aria-invalid remains 'true'.
4. Full 4-character value '-999' is accepted (fits exactly within maxlength=4); aria-invalid is 'false' (valid pattern); Save becomes enabled (dirty, differs from default).
5. aria-invalid is 'false'; Save button returns to disabled.",,,,Master,S1620,Test Case (Steps),Regression,,,
,"Delivery Date Offset -- own-field positivity pattern, maxlength boundary (4-char), non-numeric",,,,,Automated,Omeesha Mahanta,,,aria-invalid is 'false'; Save button returns to disabled.,,,"local-office,ect-settings,basic-information",,"Office 1604 (Parker Palm Springs) is open in Navigator, logged in as the automation user with full location-edit permissions. Local Office Settings is open with the Basic Information tab active (the default tab).",Medium,,Basic_Information,1,,Local_Office > Basic_Information,"<ol>
<li>1. Open Basic Information tab (fresh load) and record Delivery Date Offset (expected '0', maxLength=4).</li>
<li>2. Click the field, Ctrl+A, type the positive invalidValue from POSITIVITY_VIOLATIONS_START Delivery entry ('2'), press Tab.</li>
<li>3. Click the field, Ctrl+A, type non-numeric 'abc', press Tab.</li>
<li>4. Click the field, Ctrl+A, type a 4-character over-limit numeric string ('-1234') and inspect the raw value while focused.</li>
<li>5. Click the field, Ctrl+A, Backspace, type the valid default '0', press Tab.</li>
</ol>",,,"1. Field is visible/enabled with the recorded default and maxLength.
2. Field keeps '2'; aria-invalid becomes 'true'; Save stays disabled.
3. Field keeps 'abc'; aria-invalid remains 'true'.
4. Value is capped at 4 characters by maxlength=4.
5. aria-invalid is 'false'; Save button returns to disabled.",,,,Master,S1620,Test Case (Steps),Regression,,,
,"Return Date Offset -- own-field positivity pattern (reverse polarity), maxlength, non-numeric",,,,,Automated,Omeesha Mahanta,,,aria-invalid is 'false'; Save button returns to disabled.,,,"local-office,ect-settings,basic-information",,"Office 1604 (Parker Palm Springs) is open in Navigator, logged in as the automation user with full location-edit permissions. Local Office Settings is open with the Basic Information tab active (the default tab).",Medium,,Basic_Information,1,,Local_Office > Basic_Information,"<ol>
<li>1. Open Basic Information tab (fresh load) and record Return Date Offset (expected '1', maxLength=3).</li>
<li>2. Click the field, Ctrl+A, type the negative invalidValue from POSITIVITY_VIOLATIONS_END Return entry ('-3'), press Tab.</li>
<li>3. Click the field, Ctrl+A, type non-numeric text from NON_NUMERIC_TEST_FIELDS ('abc'), press Tab.</li>
<li>4. Click the field, Ctrl+A, type a 4-character over-limit numeric string ('1234') and inspect the raw value while focused.</li>
<li>5. Click the field, Ctrl+A, Backspace, type the valid default '1', press Tab.</li>
</ol>",,,"1. Field is visible/enabled with the recorded default and maxLength.
2. Field keeps '-3'; aria-invalid becomes 'true' (Return only accepts empty or positive values, the reverse polarity of Prep/Set/Delivery); a tooltip referencing 'Return Date Offset' appears; Save stays disabled.
3. Field keeps 'abc'; aria-invalid remains 'true'.
4. Value is capped at 3 characters by maxlength=3.
5. aria-invalid is 'false'; Save button returns to disabled.",,,,Master,S1620,Test Case (Steps),Regression,,,
,"Strike Date Offset -- own-field positivity pattern, maxlength, non-numeric",,,,,Automated,Omeesha Mahanta,,,aria-invalid is 'false'; Save button returns to disabled.,,,"local-office,ect-settings,basic-information",,"Office 1604 (Parker Palm Springs) is open in Navigator, logged in as the automation user with full location-edit permissions. Local Office Settings is open with the Basic Information tab active (the default tab).",Medium,,Basic_Information,1,,Local_Office > Basic_Information,"<ol>
<li>1. Open Basic Information tab (fresh load) and record Strike Date Offset (expected '1', maxLength=3).</li>
<li>2. Click the field, Ctrl+A, type the negative invalidValue from POSITIVITY_VIOLATIONS_END Strike entry ('-2'), press Tab.</li>
<li>3. Click the field, Ctrl+A, type non-numeric 'abc', press Tab.</li>
<li>4. Click the field, Ctrl+A, Backspace, type the valid default '1', press Tab.</li>
</ol>",,,"1. Field is visible/enabled with the recorded default and maxLength.
2. Field keeps '-2'; aria-invalid becomes 'true'; Save stays disabled.
3. Field keeps 'abc'; aria-invalid remains 'true'.
4. aria-invalid is 'false'; Save button returns to disabled.",,,,Master,S1620,Test Case (Steps),Regression,,,
,"Pickup Date Offset -- own-field positivity pattern, maxlength, non-numeric",,,,,Automated,Omeesha Mahanta,,,aria-invalid is 'false'; Save button returns to disabled.,,,"local-office,ect-settings,basic-information",,"Office 1604 (Parker Palm Springs) is open in Navigator, logged in as the automation user with full location-edit permissions. Local Office Settings is open with the Basic Information tab active (the default tab).",Medium,,Basic_Information,1,,Local_Office > Basic_Information,"<ol>
<li>1. Open Basic Information tab (fresh load) and record Pickup Date Offset (expected '0', maxLength=3).</li>
<li>2. Click the field, Ctrl+A, type the negative invalidValue from POSITIVITY_VIOLATIONS_END Pickup entry ('-1'), press Tab.</li>
<li>3. Click the field, Ctrl+A, type non-numeric 'xyz', press Tab.</li>
<li>4. Click the field, Ctrl+A, Backspace, type the valid default '0', press Tab.</li>
</ol>",,,"1. Field is visible/enabled with the recorded default and maxLength.
2. Field keeps '-1'; aria-invalid becomes 'true'; Save stays disabled.
3. Field keeps 'xyz'; aria-invalid remains 'true'.
4. aria-invalid is 'false'; Save button returns to disabled.",,,,Master,S1620,Test Case (Steps),Regression,,,
,"Cross-field Validate() -- Delivery must be >= Prep (NM-1264, the one confirmed-live cross-field rule) with recovery",,,,,Automated,Omeesha Mahanta,,,"Delivery returns to '0'; aria-invalid is 'false'; Save button returns to disabled, confirming full round-trip recovery.",,,"local-office,ect-settings,basic-information",,"Office 1604 (Parker Palm Springs) is open in Navigator, logged in as the automation user with full location-edit permissions. Local Office Settings is open with the Basic Information tab active (the default tab).",Medium,,Basic_Information,1,,Local_Office > Basic_Information,"<ol>
<li>1. Open Basic Information tab (fresh load). Confirm Prep='-1' and Delivery='0' (default: Delivery already >= Prep, no error).</li>
<li>2. Click Delivery, Ctrl+A, type the MULTI_FIELD_RECOVERY.triggerValue '-5' (making Delivery &lt; Prep), press Tab.</li>
<li>3. Click Delivery, Ctrl+A, type the MULTI_FIELD_RECOVERY.recoveryValue '-1' (now Delivery == Prep), press Tab.</li>
<li>4. Click Delivery, Ctrl+A, type the MULTI_FIELD_RECOVERY.defaultValue '0', press Tab.</li>
</ol>",,,"1. Both fields show aria-invalid='false'; Save is disabled.
2. Delivery keeps '-5'; Delivery's aria-invalid becomes 'true'; a red icon appears on Delivery only.; Prep's aria-invalid remains 'false' (Prep itself is not flagged).; Hovering Delivery's icon shows a tooltip reading exactly 'Delivery Date Offset (Relative to Start) must be greater than or equal to Prep Date Offset (Relative to Start).'; Save button remains disabled.
3. Delivery's aria-invalid becomes 'false'; the icon disappears; Save becomes enabled (dirty, since '-1' differs from the default '0').
4. Delivery returns to '0'; aria-invalid is 'false'; Save button returns to disabled, confirming full round-trip recovery.",,,,Master,S1620,Test Case (Steps),Regression,,,
,"Cross-field Validate() probe -- Set/Prep, Set/Delivery, Strike/Return, Pickup/Return are NOT enforced live (documented spec discrepancy)",,,,,Automated,Omeesha Mahanta,,,"Pickup returns to '0'; all six offset fields show their original default values; Save button is disabled, confirming a full clean revert.",,,"local-office,ect-settings,basic-information",,"Office 1604 (Parker Palm Springs) is open in Navigator, logged in as the automation user with full location-edit permissions. Local Office Settings is open with the Basic Information tab active (the default tab).",Medium,,Basic_Information,1,,Local_Office > Basic_Information,"<ol>
<li>1. Open Basic Information tab (fresh load). Note the shipped default data already has Set='-1' and Delivery='0' (i.e. Set &lt; Delivery) with zero validation errors shown on load.</li>
<li>2. Click Set Date Offset, Ctrl+A, type '-5' (now Set &lt; Prep='-1'), press Tab.</li>
<li>3. Restore Set to '-1' and Tab.</li>
<li>4. Click Strike Date Offset, Ctrl+A, type '5' (now Strike > Return='1'), press Tab.</li>
<li>5. Restore Strike to '1' and Tab.</li>
<li>6. Click Pickup Date Offset, Ctrl+A, type '5' (now Pickup > Return='1'), press Tab.</li>
<li>7. Restore Pickup to '0' and Tab.</li>
</ol>",,,"1. Set and Delivery both show aria-invalid='false' on a completely fresh, unedited load - documented as evidence the 'Set must be >= Delivery' sub-rule described in the module spec is not enforced live.
2. Document actual observed behavior: Set's aria-invalid stays 'false' (no cross-field error against Prep), confirming 'Set must be >= Prep' is NOT enforced live even though Set's OWN positivity pattern still applies independently. Treat this as an observation/discrepancy against the spec, not an assumed bug, and do not fail the test on this basis.
3. Set returns to '-1'.
4. Document actual observed behavior: Strike's aria-invalid stays 'false' (no cross-field error against Return), confirming 'Strike must be <= Return' is NOT enforced live.
5. Strike returns to '1'.
6. Document actual observed behavior: Pickup's aria-invalid stays 'false' (no cross-field error against Return), confirming 'Pickup must be <= Return' is NOT enforced live.
7. Pickup returns to '0'; all six offset fields show their original default values; Save button is disabled, confirming a full clean revert.",,,,Master,S1620,Test Case (Steps),Regression,,,
