ID,Title,AI Automated Test,AI Model,AI Type,Attachments,Automation Type,Created By,Created On,Estimate,Expected Result,Forecast,Goals,Labels,Mission,Preconditions,Priority,References,Section,Section Depth,Section Description,Section Hierarchy,Steps,Steps,Steps (Additional Info),Steps (Expected Result),Steps (References),Steps (Shared step ID),Steps (Step),Suite,Suite ID,Template,Type,Updated By,Updated On,is_converted
,Tab loads with shared-setup table and Add button,,,,,Automated,Omeesha Mahanta,,,The Add button is visible in the last row and is enabled.,,,locations,,"Office 1604 is open in Navigator. Shared Setup Locations tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Shared Setup Locations""",Medium,,Shared_Setup_Locations,1,,Locations > Shared_Setup_Locations,"<ol>
<li>1. Navigate to Setup > Location > 1604 and click the ""Shared Setup Locations"" tab. Verify the tab activates and the panel is visible.</li>
<li>2. Verify the Shared Setup Locations table is visible.</li>
<li>3. Verify the ""Add"" button is visible in the last table row and is enabled</li>
</ol>",,,"1. The Shared Setup Locations tab becomes active and its panel is displayed.
2. The Shared Setup Locations table is visible on the panel.
3. The Add button is visible in the last row and is enabled.",,,,Master,S1620,Test Case (Steps),Regression,,,
,Column headers are correct,,,,,Automated,Omeesha Mahanta,,,"The five column headers appear in the correct order: Local Office, Local Office Name, Primary Office, Shares Inventory, and one empty actions column.",,,locations,,"Office 1604 is open in Navigator. Shared Setup Locations tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Shared Setup Locations""
Sample input 2: ""Local Office""
Sample input 3: ""Local Office Name""
Sample input 4: ""Primary Office""
Sample input 5: ""Shares Inventory""",Medium,,Shared_Setup_Locations,1,,Locations > Shared_Setup_Locations,"<ol>
<li>1. Navigate to the ""Shared Setup Locations"" tab and verify it loads.</li>
<li>2. Inspect the column headers from left to right and verify the order is: ""Local Office"", ""Local Office Name"", ""Primary Office"", ""Shares Inventory"", and one empty actions column</li>
</ol>",,,"1. The Shared Setup Locations tab loads and its content is displayed.
2. The five column headers appear in the correct order: Local Office, Local Office Name, Primary Office, Shares Inventory, and one empty actions column.",,,,Master,S1620,Test Case (Steps),Regression,,,
,Self-location row shows correct data and default checkbox states,,,,,Automated,Omeesha Mahanta,,,The Delete button is disabled for the self-location row.,,,locations,,"Office 1604 is open in Navigator. Shared Setup Locations tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Shared Setup Locations""
Sample input 2: ""1604""
Sample input 3: ""Parker Palm Springs""
Sample input 4: ""Primary Office""
Sample input 5: ""Shares Inventory""",Medium,,Shared_Setup_Locations,1,,Locations > Shared_Setup_Locations,"<ol>
<li>1. Navigate to the ""Shared Setup Locations"" tab and verify it loads.</li>
<li>2. Locate the first data row and verify the cells show ""1604"" and ""Parker Palm Springs"".</li>
<li>3. Verify the ""Primary Office"" checkbox is checked and disabled.</li>
<li>4. Verify the ""Shares Inventory"" checkbox is unchecked and editable.</li>
<li>5. Verify the ""Delete"" button is disabled</li>
</ol>",,,"1. The Shared Setup Locations tab loads and its content is displayed.
2. The first data row displays ""1604"" and ""Parker Palm Springs"" in its cells.
3. The Primary Office checkbox is checked and disabled.
4. The Shares Inventory checkbox is unchecked and enabled for editing.
5. The Delete button is disabled for the self-location row.",,,,Master,S1620,Test Case (Steps),Regression,,,
,Primary Office is read-only (disabled) for self-location,,,,,Automated,Omeesha Mahanta,,,The Primary Office checkbox is still checked; clicking it had no effect.,,,locations,,"Office 1604 is open in Navigator. Shared Setup Locations tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Shared Setup Locations""
Sample input 2: ""Primary Office""",Medium,,Shared_Setup_Locations,1,,Locations > Shared_Setup_Locations,"<ol>
<li>1. Navigate to the ""Shared Setup Locations"" tab and verify it loads.</li>
<li>2. Attempt to click the ""Primary Office"" checkbox in the row for office 1604 and verify no interaction occurs because the checkbox is disabled.</li>
<li>3. Verify the checkbox state is unchanged and still checked</li>
</ol>",,,"1. The Shared Setup Locations tab loads and its content is displayed.
2. The click has no effect because the Primary Office checkbox is disabled for the self-location row.
3. The Primary Office checkbox is still checked; clicking it had no effect.",,,,Master,S1620,Test Case (Steps),Regression,,,
,Delete button is disabled for self-location,,,,,Automated,Omeesha Mahanta,,,Clicking Delete produces no action; the row remains in the table.,,,locations,,"Office 1604 is open in Navigator. Shared Setup Locations tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Shared Setup Locations""",Medium,,Shared_Setup_Locations,1,,Locations > Shared_Setup_Locations,"<ol>
<li>1. Navigate to the ""Shared Setup Locations"" tab and verify it loads.</li>
<li>2. Inspect the ""Delete"" button for row 1604 and verify it is disabled.</li>
<li>3. Attempt to click ""Delete"" and verify no action occurs</li>
</ol>",,,"1. The Shared Setup Locations tab loads and its content is displayed.
2. The Delete button for row 1604 is disabled.
3. Clicking Delete produces no action; the row remains in the table.",,,,Master,S1620,Test Case (Steps),Regression,,,
,Toggling Shares Inventory ON enables left-panel Save,,,,,Automated,Omeesha Mahanta,,,The left-panel Save button is enabled.,,,locations,,"Shares Inventory is unchecked for 1604

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Shared Setup Locations""
Sample input 2: ""Shares Inventory""",Medium,,Shared_Setup_Locations,1,,Locations > Shared_Setup_Locations,"<ol>
<li>1. Navigate to the ""Shared Setup Locations"" tab and verify it loads with the left-panel ""Save"" button disabled.</li>
<li>2. Click the ""Shares Inventory"" checkbox in the row for office 1604 and verify it becomes checked.</li>
<li>3. Observe the left-panel ""Save"" button and verify it becomes enabled</li>
</ol>",,,"1. The tab loads and the left-panel Save button is disabled.
2. The Shares Inventory checkbox for office 1604 becomes checked.
3. The left-panel Save button is enabled.",,,,Master,S1620,Test Case (Steps),Regression,,,
,Reverting Shares Inventory to original state disables Save,,,,,Automated,Omeesha Mahanta,,,"Reverting to original state removes unsaved changes, Save disables",,,locations,,"Shares Inventory is unchecked for 1604

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Shared Setup Locations""
Sample input 2: ""Shares Inventory""",Medium,,Shared_Setup_Locations,1,,Locations > Shared_Setup_Locations,"<ol>
<li>1. Navigate to the ""Shared Setup Locations"" tab and verify it loads.</li>
<li>2. Click ""Shares Inventory"" and verify it becomes checked with ""Save"" enabled.</li>
<li>3. Click ""Shares Inventory"" again and verify it becomes unchecked, reverting to the original state.</li>
<li>4. Observe the ""Save"" button state and verify it is disabled again</li>
</ol>",,,"1. The Shared Setup Locations tab loads and its content is displayed.
2. Shares Inventory becomes checked and the left-panel Save button becomes enabled.
3. Shares Inventory becomes unchecked again, matching its original state.
4. Reverting to original state removes unsaved changes, Save disables",,,,Master,S1620,Test Case (Steps),Regression,,,
,Shares Inventory save persists after reload,,,,,Automated,Omeesha Mahanta,,,The Shares Inventory checkbox for row 1604 is still checked.,,,locations,,"Shares Inventory is unchecked for 1604

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Shared Setup Locations""
Sample input 2: ""Shares Inventory""
Sample input 3: ""Save Changes""",Medium,,Shared_Setup_Locations,1,,Locations > Shared_Setup_Locations,"<ol>
<li>1. Navigate to the ""Shared Setup Locations"" tab and verify it loads.</li>
<li>2. Click ""Shares Inventory"" and verify it becomes checked.</li>
<li>3. Click the left-panel ""Save"" and verify the ""Save Changes"" dialog appears with ""Save"" and ""Cancel"" buttons.</li>
<li>4. Click ""Save"" in the dialog and verify the data is saved and the dialog closes.</li>
<li>5. Reload the page and navigate back to the ""Shared Setup Locations"" tab.</li>
<li>6. Verify the ""Shares Inventory"" checkbox for row 1604 is still checked</li>
</ol>",,,"1. The Shared Setup Locations tab loads and its content is displayed.
2. The Shares Inventory checkbox becomes checked.
3. The Save Changes dialog appears with Save and Cancel buttons.
4. The data is saved and the Save Changes dialog closes.
5. The page reloads and the Shared Setup Locations tab is displayed again.
6. The Shares Inventory checkbox for row 1604 is still checked.",,,,Master,S1620,Test Case (Steps),Regression,,,
,Add button opens Change Local Office dialog,,,,,Automated,Omeesha Mahanta,,,"Add opens ""Change Local Office"" dialog with search, results table, Select/Cancel buttons. Cancel closes without changes",,,locations,,"Office 1604 is open in Navigator. Shared Setup Locations tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Shared Setup Locations""
Sample input 2: ""Change Local Office""
Sample input 3: ""Search by Location Name, Number""
Sample input 4: ""Select""",Medium,,Shared_Setup_Locations,1,,Locations > Shared_Setup_Locations,"<ol>
<li>1. Navigate to the ""Shared Setup Locations"" tab and verify it loads.</li>
<li>2. Click ""Add"" in the last table row and verify the ""Change Local Office"" dialog opens.</li>
<li>3. Verify the dialog heading reads ""Change Local Office"".</li>
<li>4. Verify the search input with placeholder ""Search by Location Name, Number"" is present.</li>
<li>5. Verify the results table has 3 columns (checkbox, Local Office, Local Office Name) and is visible with rows.</li>
<li>6. Verify the ""Select"" button is disabled because no row is selected.</li>
<li>7. Verify the ""Cancel"" button is enabled.</li>
<li>8. Click ""Cancel"" and verify the dialog closes with no changes to the main table</li>
</ol>",,,"1. The Shared Setup Locations tab loads and its content is displayed.
2. The Change Local Office dialog opens.
3. The dialog heading reads ""Change Local Office"".
4. The search input with placeholder ""Search by Location Name, Number"" is present in the dialog.
5. The results table shows 3 columns (checkbox, Local Office, Local Office Name) and is visible with rows.
6. The Select button is disabled while no row is selected.
7. The Cancel button is enabled.
8. Add opens ""Change Local Office"" dialog with search, results table, Select/Cancel buttons. Cancel closes without changes",,,,Master,S1620,Test Case (Steps),Regression,,,
,Dialog search filters results by location name,,,,,Automated,Omeesha Mahanta,,,The search dialog closes.,,,locations,,"Office 1604 is open in Navigator. Shared Setup Locations tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Shared Setup Locations""
Sample input 2: ""Miami""
Sample input 3: ""Miami Marriott Biscayne Bay""",Medium,,Shared_Setup_Locations,1,,Locations > Shared_Setup_Locations,"<ol>
<li>1. Navigate to the ""Shared Setup Locations"" tab, click ""Add"", and verify the dialog opens with a large number of rows.</li>
<li>2. Type ""Miami"" in the search input and verify the results filter to rows containing ""Miami"" in the location name.</li>
<li>3. Verify the filtered rows show matching names such as ""Miami Marriott Biscayne Bay"".</li>
<li>4. Click ""Cancel"" to close</li>
</ol>",,,"1. The Change Local Office dialog opens showing a large number of rows.
2. The results filter to rows whose location name contains ""Miami"".
3. The filtered rows display matching names such as ""Miami Marriott Biscayne Bay"".
4. The search dialog closes.",,,,Master,S1620,Test Case (Steps),Regression,,,
