ID,Title,AI Automated Test,AI Model,AI Type,Attachments,Automation Type,Created By,Created On,Estimate,Expected Result,Forecast,Goals,Labels,Mission,Preconditions,Priority,References,Section,Section Depth,Section Description,Section Hierarchy,Steps,Steps,Steps (Additional Info),Steps (Expected Result),Steps (References),Steps (Shared step ID),Steps (Step),Suite,Suite ID,Template,Type,Updated By,Updated On,is_converted
,Component loads and calls the Pricebook list endpoint exactly once,,,,,Automated,Omeesha Mahanta,,,"When the page opens, the grid populates once with the default pricebook list and does not reload on its own while idle. The default view reflects the default filters: Active Only on, Is Internal off, Is Labor off, first page of results",,,corporate-pricing,,"Authenticated; navigating to the Corporate Pricing Search page fresh

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Search,1,,Corporate_Pricing > Search,"<ol>
<li>1. Open the Corporate Pricing Search page for office 1604.</li>
<li>2. Wait for the results grid to populate.</li>
<li>3. Watch the grid while the page sits idle</li>
</ol>",,,"1. The Corporate Pricing Search page loads and is displayed for office 1604
2. The results grid populates with the default pricebook list
3. When the page opens, the grid populates once with the default pricebook list and does not reload on its own while idle. The default view reflects the default filters: Active Only on, Is Internal off, Is Labor off, first page of results",,,,Master,S1620,Test Case (Steps),Regression,,,
,Grid shows all 8 named columns; live renders 9 (8↔9 split raised),,,,,Automated,Omeesha Mahanta,,,"All expected columns are present - ""Price Book"", ""Price Book Strategy"", ""Price Year"", ""Is GSO"", ""Is Internal"", ""Is Labor"", ""Is Active"", ""Is Productions"", and ""Currency"". The grid shows nine columns in total",,,corporate-pricing,,"On the Search page after initial load

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Search,1,,Corporate_Pricing > Search,"<ol>
<li>1. Read the grid header row.</li>
<li>2. Confirm each expected column is present.</li>
<li>3. Count the columns shown</li>
</ol>",,,"1. The grid header row is visible with a title displayed for each column
2. Each expected column is present in the grid header row
3. All expected columns are present - ""Price Book"", ""Price Book Strategy"", ""Price Year"", ""Is GSO"", ""Is Internal"", ""Is Labor"", ""Is Active"", ""Is Productions"", and ""Currency"". The grid shows nine columns in total",,,,Master,S1620,Test Case (Steps),Regression,,,
,Filter baseline / default state,,,,,Automated,Omeesha Mahanta,,,"All filters are at their defaults: Pricebook and Pricing Strategy empty, Location ""All Locations"", Currency ""All Currencies"", Is Internal and Is Labor unchecked, and Active Only checked. The item-count footer reads in the normal ""N items found"" format",,,corporate-pricing,,"Fresh page load (no interaction)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""All Locations""
Sample input 2: ""All Currencies""
Sample input 3: ""Active Only is checked""",Medium,,Search,1,,Corporate_Pricing > Search,"<ol>
<li>1. Observe the 7 filters without interacting.</li>
<li>2. Verify Pricebook + Pricing Strategy inputs are empty.</li>
<li>3. Verify Location shows ""All Locations"" and Currency shows ""All Currencies"".</li>
<li>4. Verify Is Internal + Is Labor checkboxes are unchecked.</li>
<li>5. Verify ""Active Only is checked"" (default).</li>
<li>6. Verify the item-count footer matches the N items found pattern</li>
</ol>",,,"1. All seven filters (Pricebook, Pricing Strategy, Location, Currency, Is Internal, Is Labor, Active Only) are visible on the page
2. The Pricebook and Pricing Strategy input fields are empty
3. The Location field shows ""All Locations"" and the Currency field shows ""All Currencies""
4. The Is Internal and Is Labor checkboxes are unchecked
5. The Active Only checkbox is checked by default
6. All filters are at their defaults: Pricebook and Pricing Strategy empty, Location ""All Locations"", Currency ""All Currencies"", Is Internal and Is Labor unchecked, and Active Only checked. The item-count footer reads in the normal ""N items found"" format",,,,Master,S1620,Test Case (Steps),Regression,,,
,Boolean columns render Unicode ✔ / empty,,,,,Automated,Omeesha Mahanta,,,Boolean columns show a check mark for true and an empty cell for false. At least one check mark is present among the displayed rows; every boolean cell is either a check mark or empty (no other text),,,corporate-pricing,,"On the Search page with results loaded

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Search,1,,Corporate_Pricing > Search,"<ol>
<li>1. Read the boolean columns (Is GSO, Is Internal, Is Labor, Is Active, Is Productions) across the rendered rows.</li>
<li>2. Confirm true cells show a check mark and false cells are empty</li>
</ol>",,,"1. The five boolean columns each display a value for every rendered row
2. Boolean columns show a check mark for true and an empty cell for false. At least one check mark is present among the displayed rows; every boolean cell is either a check mark or empty (no other text)",,,,Master,S1620,Test Case (Steps),Regression,,,
,"Pricebook filter stages on type, then Search narrows server-side",,,,,Automated,Omeesha Mahanta,,,"Typing stages the filter (the grid does not change immediately). Clicking Search applies the pricebook-name filter, and the grid narrows to rows whose Price Book name contains the typed value. Observed example - typing ""2021-PB6"" narrows the grid to ""1 items found"" (the 2021-PB6 row). Clearing the filter and clicking Search restores the broader list",,,corporate-pricing,,"On the Search page with results loaded

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Pricebook""
Sample input 2: ""Search""",Medium,,Search,1,,Corporate_Pricing > Search,"<ol>
<li>1. Type part of a pricebook name into the ""Pricebook"" filter.</li>
<li>2. Observe the grid (it does NOT change yet - the filter is staged).</li>
<li>3. Click ""Search"".</li>
<li>4. Observe the grid narrow to the matching rows</li>
</ol>",,,"1. The Pricebook filter field accepts and displays the typed text
2. The grid remains unchanged while the typed value stays staged in the filter
3. The grid reloads and narrows to rows matching the typed Pricebook filter
4. Typing stages the filter (the grid does not change immediately). Clicking Search applies the pricebook-name filter, and the grid narrows to rows whose Price Book name contains the typed value. Observed example - typing ""2021-PB6"" narrows the grid to ""1 items found"" (the 2021-PB6 row). Clearing the filter and clicking Search restores the broader list",,,,Master,S1620,Test Case (Steps),Regression,,,
,Pricing Strategy is a text filter (not a dropdown); stages then Search applies,,,,,Automated,Omeesha Mahanta,,,Pricing Strategy is a free-text filter. Typing stages the filter; clicking Search applies it and narrows the grid to matching strategy names; clearing the field and clicking Search restores the list,,,corporate-pricing,,"On the Search page with results loaded

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Pricing Strategy""
Sample input 2: ""Enter strategy""",Medium,,Search,1,,Corporate_Pricing > Search,"<ol>
<li>1. Confirm ""Pricing Strategy"" is a free-text box (placeholder ""Enter strategy""), not a dropdown.</li>
<li>2. Type part of a strategy name.</li>
<li>3. Observe the grid is unchanged (staged).</li>
<li>4. Click Search and observe the grid narrow.</li>
<li>5. Clear the field and click Search to restore the list</li>
</ol>",,,"1. The Pricing Strategy field is a free-text box showing the placeholder ""Enter strategy"", not a dropdown
2. The Pricing Strategy field accepts and displays the typed text
3. The grid remains unchanged while the strategy filter stays staged
4. The grid reloads and narrows to rows matching the staged Pricing Strategy filter
5. Pricing Strategy is a free-text filter. Typing stages the filter; clicking Search applies it and narrows the grid to matching strategy names; clearing the field and clicking Search restores the list",,,,Master,S1620,Test Case (Steps),Regression,,,
,Currency dropdown options + select stages then Search applies,,,,,Automated,Omeesha Mahanta,,,"The Currency dropdown lists exactly [All Currencies, USD, CAD, MXN]. Selecting a value stages it (no immediate change); clicking Search applies the currency filter and the grid reflects the chosen currency; resetting to ""All Currencies"" and clicking Search restores the full set",,,corporate-pricing,,"On the Search page with results loaded

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Currency""
Sample input 2: ""All Currencies""",Medium,,Search,1,,Corporate_Pricing > Search,"<ol>
<li>1. Open the ""Currency"" dropdown.</li>
<li>2. Verify the options: All Currencies, USD, CAD, MXN.</li>
<li>3. Select a currency (e.g. USD).</li>
<li>4. Observe the grid is unchanged (staged).</li>
<li>5. Click Search and observe the grid reload its results.</li>
<li>6. Clear back to ""All Currencies"" and click Search to restore</li>
</ol>",,,"1. The Currency dropdown opens and displays its list of options
2. The Currency dropdown lists exactly All Currencies, USD, CAD, and MXN
3. The selected currency (USD) is displayed in the Currency field
4. The grid remains unchanged while the selected currency stays staged
5. The grid reloads and updates to reflect the selected currency filter
6. The Currency dropdown lists exactly [All Currencies, USD, CAD, MXN]. Selecting a value stages it (no immediate change); clicking Search applies the currency filter and the grid reflects the chosen currency; resetting to ""All Currencies"" and clicking Search restores the full set",,,,Master,S1620,Test Case (Steps),Regression,,,
,Location dropdown default + searchable options present,,,,,Automated,Omeesha Mahanta,,,"Location defaults to ""All Locations"" and opens a searchable popover listing the location options (more than 200). The narrowing behavior for each individual location is covered separately",,,corporate-pricing,,"On the Search page with results loaded

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""All Locations""
Sample input 2: ""Clear selection""",Medium,,Search,1,,Corporate_Pricing > Search,"<ol>
<li>1. Verify the Location filter default shows ""All Locations"".</li>
<li>2. Open the dropdown.</li>
<li>3. Verify it renders many location options (a searchable popover; first entry ""Clear selection"", then rows showing each office number and name).</li>
<li>4. Press Escape to close</li>
</ol>",,,"1. The Location filter shows ""All Locations"" by default
2. The Location dropdown opens and displays a searchable popover
3. The popover lists ""Clear selection"" first, followed by rows showing each office number and name
4. Location defaults to ""All Locations"" and opens a searchable popover listing the location options (more than 200). The narrowing behavior for each individual location is covered separately",,,,Master,S1620,Test Case (Steps),Regression,,,
,Is Internal stages then Search narrows to internal pricebooks,,,,,Automated,Omeesha Mahanta,,,Ticking Is Internal stages the filter (the checkbox shows as checked; the grid stays unchanged). Clicking Search applies the internal-only filter and narrows the grid to internal rows. Unticking and clicking Search restores the list,,,corporate-pricing,,"On the Search page with results loaded

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Is Internal""",Medium,,Search,1,,Corporate_Pricing > Search,"<ol>
<li>1. Tick the ""Is Internal"" checkbox.</li>
<li>2. Observe the grid is unchanged (the filter is staged, not yet applied).</li>
<li>3. Click Search.</li>
<li>4. Observe that the grid narrows to internal pricebooks.</li>
<li>5. Untick the checkbox and click Search to restore the list</li>
</ol>",,,"1. The Is Internal checkbox becomes checked
2. The grid remains unchanged while the Is Internal filter stays staged
3. Clicking Search applies the staged Is Internal filter and reloads the grid
4. The grid narrows to display only internal pricebooks
5. Ticking Is Internal stages the filter (the checkbox shows as checked; the grid stays unchanged). Clicking Search applies the internal-only filter and narrows the grid to internal rows. Unticking and clicking Search restores the list",,,,Master,S1620,Test Case (Steps),Regression,,,
,Is Labor stages then Search submits the labor filter,,,,,Automated,Omeesha Mahanta,,,"Is Labor stages while ticked, then applies on Search; the grid narrows to labor rows; unticking and clicking Search restores the list",,,corporate-pricing,,"On the Search page with results loaded

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Is Labor""",Medium,,Search,1,,Corporate_Pricing > Search,"<ol>
<li>1. Tick ""Is Labor"".</li>
<li>2. Observe the filter is staged (the grid is unchanged).</li>
<li>3. Click Search and observe that the grid narrows to labor rows.</li>
<li>4. Untick the checkbox and click Search to restore the list</li>
</ol>",,,"1. The Is Labor checkbox becomes checked
2. The grid remains unchanged while the Is Labor filter stays staged
3. Clicking Search applies the Is Labor filter and the grid updates to show only labor rows
4. Is Labor stages while ticked, then applies on Search; the grid narrows to labor rows; unticking and clicking Search restores the list",,,,Master,S1620,Test Case (Steps),Regression,,,
