ID,Title,AI Automated Test,AI Model,AI Type,Attachments,Automation Type,Created By,Created On,Estimate,Expected Result,Forecast,Goals,Labels,Mission,Preconditions,Priority,References,Section,Section Depth,Section Description,Section Hierarchy,Steps,Steps,Steps (Additional Info),Steps (Expected Result),Steps (References),Steps (Shared step ID),Steps (Step),Suite,Suite ID,Template,Type,Updated By,Updated On,is_converted
,Metadata columns accept typed input,,,,,Automated,Omeesha Mahanta,,,The typed value appears in the cell,,,service-charge-text,,"The Service Charge Text page is open for office 1604

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Core,1,,Service_Charge_Text > Core,"<ol>
<li>1. Type a new value into the Service Charge Name cell of the first row</li>
<li>2. Type a new value into the Service Charge Display Name cell of the same row</li>
<li>3. Type a new value into the Report Column Name cell of the same row</li>
</ol>",,,"1. The typed value appears in the cell
2. The typed value appears in the cell
3. The typed value appears in the cell",,,,Master,S1620,Test Case (Steps),Regression,,,
,Save stays disabled while a required field is empty,,,,,Automated,Omeesha Mahanta,,,Save remains disabled,,,service-charge-text,,"The Service Charge Text page is open for office 1604

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Core,1,,Service_Charge_Text > Core,"<ol>
<li>1. Add a new row</li>
<li>2. Leave the Service Charge Name empty and move focus away</li>
</ol>",,,"1. A new empty row is added to the grid
2. Save remains disabled",,,,Master,S1620,Test Case (Steps),Regression,,,
,Save enables when a new row is complete and unique,,,,,Automated,Omeesha Mahanta,,,Save becomes enabled,,,service-charge-text,,"The Service Charge Text page is open for office 1604

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Core,1,,Service_Charge_Text > Core,"<ol>
<li>1. Add a new row</li>
<li>2. Enter a Service Charge Name that is not already used</li>
<li>3. Enter a Service Charge Display Name and a Report Column Name</li>
<li>4. Move focus away from the last field</li>
</ol>",,,"1. A new empty row is added to the grid
2. The value appears in the cell
3. Both values appear in their cells
4. Save becomes enabled",,,,Master,S1620,Test Case (Steps),Regression,,,
,Duplicate Service Charge Name disables Save,,,,,Automated,Omeesha Mahanta,,,Save becomes disabled,,,service-charge-text,,"The Service Charge Text page is open for office 1604 and at least one row already has a Service Charge Name

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Core,1,,Service_Charge_Text > Core,"<ol>
<li>1. Add a new row and complete every required field with unique values</li>
<li>2. Change the new row's Service Charge Name to a name already used by another row in the same language</li>
</ol>",,,"1. Save becomes enabled
2. Save becomes disabled",,,,Master,S1620,Test Case (Steps),Regression,,,
,Duplicate Service Charge Name is announced to the user,,,,,Automated,Omeesha Mahanta,,,"The field is marked invalid (`aria-invalid=""true""`), a red circular alert icon appears inside the cell, and hovering the icon reveals the tooltip text ""Duplicate Service Charge Name for this language."" Save remains disabled",,,service-charge-text,,"The Service Charge Text page is open for office 1604

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Core,1,,Service_Charge_Text > Core,"<ol>
<li>1. Add a new row and complete every required field with unique values</li>
<li>2. Change the new row's Service Charge Name to a name already used in the same language</li>
<li>3. Look for a message explaining why the entry was rejected</li>
</ol>",,,"1. Save becomes enabled
2. Save becomes disabled
3. The field is marked invalid (`aria-invalid=""true""`), a red circular alert icon appears inside the cell, and hovering the icon reveals the tooltip text ""Duplicate Service Charge Name for this language."" Save remains disabled",,,,Master,S1620,Test Case (Steps),Regression,,,
,Service Charge Name accepts a long value,,,,,Automated,Omeesha Mahanta,,,The full value is accepted and retained,,,service-charge-text,,"The Service Charge Text page is open for office 1604

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Core,1,,Service_Charge_Text > Core,"<ol>
<li>1. Enter a 300 character value into a Service Charge Name cell</li>
</ol>",,,1. The full value is accepted and retained,,,,Master,S1620,Test Case (Steps),Regression,,,
,A long Service Charge Name stays readable in the grid,,,,,Automated,Omeesha Mahanta,,,The stored value is the full 300 character string that was entered — no characters are discarded,,,service-charge-text,,"The Service Charge Text page is open for office 1604

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Core,1,,Service_Charge_Text > Core,"<ol>
<li>1. Enter a 300 character value into a Service Charge Name cell</li>
<li>2. Read the stored value of the field</li>
</ol>",,,"1. The full value is accepted
2. The stored value is the full 300 character string that was entered — no characters are discarded",,,,Master,S1620,Test Case (Steps),Regression,,,
,A name of only spaces is treated as empty,,,,,Automated,Omeesha Mahanta,,,Save remains disabled,,,service-charge-text,,"The Service Charge Text page is open for office 1604

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Core,1,,Service_Charge_Text > Core,"<ol>
<li>1. Add a new row and complete every field except Service Charge Name</li>
<li>2. Enter only space characters into Service Charge Name and move focus away</li>
</ol>",,,"1. Save remains disabled
2. Save remains disabled",,,,Master,S1620,Test Case (Steps),Regression,,,
,Special characters are accepted and preserved,,,,,Automated,Omeesha Mahanta,,,The value is still displayed exactly as typed,,,service-charge-text,,"The Service Charge Text page is open for office 1604

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Core,1,,Service_Charge_Text > Core,"<ol>
<li>1. Enter a Service Charge Name containing punctuation and accented characters</li>
<li>2. Move focus to another field</li>
</ol>",,,"1. The value appears exactly as typed
2. The value is still displayed exactly as typed",,,,Master,S1620,Test Case (Steps),Regression,,,
,Reverting an edited value returns Save to disabled,,,,,Automated,Omeesha Mahanta,,,Save returns to disabled,,,service-charge-text,,"The Service Charge Text page is open for office 1604

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Core,1,,Service_Charge_Text > Core,"<ol>
<li>1. Change a Service Charge Name to a different unique value</li>
<li>2. Change the same field back to its original value</li>
</ol>",,,"1. Save becomes enabled
2. Save returns to disabled",,,,Master,S1620,Test Case (Steps),Regression,,,
