ID,Title,AI Automated Test,AI Model,AI Type,Attachments,Automation Type,Created By,Created On,Estimate,Expected Result,Forecast,Goals,Labels,Mission,Preconditions,Priority,References,Section,Section Depth,Section Description,Section Hierarchy,Steps,Steps,Steps (Additional Info),Steps (Expected Result),Steps (References),Steps (Shared step ID),Steps (Step),Suite,Suite ID,Template,Type,Updated By,Updated On,is_converted
,"Each Import variant opens the shared ""Import"" Year(s)+Currency dialog",,,,,Automated,Omeesha Mahanta,,,"Every Import variant opens the same ""Import"" Year(s)+Currency precondition dialog with Continue disabled until both fields are set",,,corporate-pricing,,"On the Search screen with the grid loaded

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Import_All,1,,Corporate_Pricing > Import_All,"<ol>
<li>1. For each of the 4 Import variants: open Import and click the variant</li>
<li>2. Confirm the dialog prompts to select 1-3 years and a currency, offers Cancel/Continue/Close, and Continue is disabled before any field is set</li>
<li>3. Cancel the dialog</li>
</ol>",,,"1. The same Import Year(s)+Currency precondition dialog opens for each of the 4 variants clicked.
2. The dialog prompts for 1-3 years and a currency, offers Cancel, Continue and Close, and Continue is disabled before any field is set.
3. Every Import variant opens the same ""Import"" Year(s)+Currency precondition dialog with Continue disabled until both fields are set",,,,Master,S1620,Test Case (Steps),Regression,,,
,Continue stays disabled with only Year(s) set,,,,,Automated,Omeesha Mahanta,,,Setting only Year(s) does not enable Continue,,,corporate-pricing,,"On the Search screen with the grid loaded

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Import_All,1,,Corporate_Pricing > Import_All,"<ol>
<li>1. Open Import</li>
<li>2. Select a year only</li>
</ol>",,,"1. The Import Year(s)+Currency precondition dialog opens with Continue disabled.
2. Setting only Year(s) does not enable Continue",,,,Master,S1620,Test Case (Steps),Regression,,,
,Continue stays disabled with only Currency set,,,,,Automated,Omeesha Mahanta,,,Setting only Currency does not enable Continue,,,corporate-pricing,,"On the Search screen with the grid loaded

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Import_All,1,,Corporate_Pricing > Import_All,"<ol>
<li>1. Open Import</li>
<li>2. Select a currency only</li>
</ol>",,,"1. The Import Year(s)+Currency precondition dialog opens with Continue disabled.
2. Setting only Currency does not enable Continue",,,,Master,S1620,Test Case (Steps),Regression,,,
,Continue enables when BOTH Year(s) and Currency are set,,,,,Automated,Omeesha Mahanta,,,Continue enables only once both Year(s) and Currency are set,,,corporate-pricing,,"On the Search screen with the grid loaded

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Import_All,1,,Corporate_Pricing > Import_All,"<ol>
<li>1. Open Import</li>
<li>2. Select a year and a currency</li>
</ol>",,,"1. The Import Year(s)+Currency precondition dialog opens with Continue disabled.
2. Continue enables only once both Year(s) and Currency are set",,,,Master,S1620,Test Case (Steps),Regression,,,
,"Year(s) boundary — 1 accepted, 3 accepted, a 4th refused",,,,,Automated,Omeesha Mahanta,,,The Year(s) selector holds at three selections; the fourth year is not added.,,,corporate-pricing,,"On the Search screen with the grid loaded

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Import_All,1,,Corporate_Pricing > Import_All,"<ol>
<li>1. Open the precondition dialog and select a single year</li>
<li>2. cancel</li>
<li>3. Reopen and select three years</li>
<li>4. Attempt to add a fourth year (the option is present and clicked)</li>
<li>5. the fourth is refused</li>
</ol>",,,"1. The precondition dialog opens and one year is accepted in the Year(s) selector.
2. The dialog closes without proceeding to the upload step.
3. The dialog reopens and three years are shown as selected in the Year(s) selector.
4. After clicking a fourth year option, the Year(s) selector still shows exactly three years selected.
5. The Year(s) selector holds at three selections; the fourth year is not added.",,,,Master,S1620,Test Case (Steps),Regression,,,
,"Currency options present — USD, CAD, MXN",,,,,Automated,Omeesha Mahanta,,,"The Currency selector offers USD, CAD and MXN",,,corporate-pricing,,"On the Search screen with the grid loaded

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Import_All,1,,Corporate_Pricing > Import_All,"<ol>
<li>1. Open the precondition dialog and open the Currency selector</li>
<li>2. Read the options</li>
</ol>",,,"1. The precondition dialog opens and the Currency selector expands to show its options.
2. The Currency selector offers USD, CAD and MXN",,,,Master,S1620,Test Case (Steps),Regression,,,
,Cancel on the precondition dialog aborts — no upload dialog opens,,,,,Automated,Omeesha Mahanta,,,Cancelling the precondition dialog aborts the flow before the upload dialog opens,,,corporate-pricing,,"On the Search screen with the grid loaded

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Import_All,1,,Corporate_Pricing > Import_All,"<ol>
<li>1. Open the precondition dialog, set a year and a currency</li>
<li>2. Click Cancel</li>
</ol>",,,"1. The precondition dialog opens with the selected year and currency set and Continue enabled.
2. Cancelling the precondition dialog aborts the flow before the upload dialog opens",,,,Master,S1620,Test Case (Steps),Regression,,,
,"An unchanged file diffs to ""no changes"" and offers nothing to publish",,,,,Automated,Omeesha Mahanta,,,An unchanged file is detected as no-change; nothing is staged and nothing can be published,,,corporate-pricing,,"On the Search screen with the grid loaded

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Import_All,1,,Corporate_Pricing > Import_All,"<ol>
<li>1. Build a file whose values match the current server pricebook exactly</li>
<li>2. Open Import</li>
<li>3. Choose the unchanged file</li>
</ol>",,,"1. The generated file's values match the current server pricebook exactly.
2. The Import Year(s)+Currency precondition dialog opens.
3. An unchanged file is detected as no-change; nothing is staged and nothing can be published",,,,Master,S1620,Test Case (Steps),Regression,,,
,"An empty file is rejected as ""no matching pricebooks"" and runs no import",,,,,Automated,Omeesha Mahanta,,,No import is staged and nothing can be published.,,,corporate-pricing,,"On the Search screen with the grid loaded

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Import_All,1,,Corporate_Pricing > Import_All,"<ol>
<li>1. Open the Import All upload dialog for a variant</li>
<li>2. Choose an empty CSV file</li>
<li>3. nothing is staged</li>
</ol>",,,"1. The Import All upload dialog opens for the selected variant.
2. The app reports that no server pricebooks match the uploaded empty file.
3. No import is staged and nothing can be published.",,,,Master,S1620,Test Case (Steps),Regression,,,
,"A malformed CSV is rejected as ""no matching pricebooks"" and runs no import",,,,,Automated,Omeesha Mahanta,,,No import is staged and nothing can be published.,,,corporate-pricing,,"On the Search screen with the grid loaded

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Import_All,1,,Corporate_Pricing > Import_All,"<ol>
<li>1. Open the Import All upload dialog for a variant</li>
<li>2. Choose a malformed CSV (garbage rows, no valid header)</li>
<li>3. nothing is staged</li>
</ol>",,,"1. The Import All upload dialog opens for the selected variant.
2. The app reports that no server pricebooks match the uploaded malformed file.
3. No import is staged and nothing can be published.",,,,Master,S1620,Test Case (Steps),Regression,,,
