ID,Title,AI Automated Test,AI Model,AI Type,Attachments,Automation Type,Created By,Created On,Estimate,Expected Result,Forecast,Goals,Labels,Mission,Preconditions,Priority,References,Section,Section Depth,Section Description,Section Hierarchy,Steps,Steps,Steps (Additional Info),Steps (Expected Result),Steps (References),Steps (Shared step ID),Steps (Step),Suite,Suite ID,Template,Type,Updated By,Updated On,is_converted
,Pricing Detail tab activates and the product-group grid renders,,,,,Automated,Omeesha Mahanta,,,The Pricing Detail tab activates and its product-group grid renders with rows; the grid loads its data when the tab is activated,,,corporate-pricing,,"On the Pricebook Details page for the test pricebook (office 1604), with the page freshly loaded on the Pricing Strategy tab (before the Pricing Detail tab is opened)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Pricing Detail""",Medium,,Detail,1,,Corporate_Pricing > Detail,"<ol>
<li>1. Open the Pricebook Details page for the test pricebook (office 1604).</li>
<li>2. Click the ""Pricing Detail"" tab.</li>
<li>3. Verify the grid contains product-group rows</li>
</ol>",,,"1. The Pricebook Details page loads with the Pricing Strategy tab active
2. The ""Pricing Detail"" tab becomes active and its panel is displayed
3. The Pricing Detail tab activates and its product-group grid renders with rows; the grid loads its data when the tab is activated",,,,Master,S1620,Test Case (Steps),Regression,,,
,Verify the Pricing Detail grid shows its five columns,,,,,Automated,Omeesha Mahanta,,,"The grid shows five columns in order: ID, Product Group Name, Price, New Price, Max Discount. ""Price"" displays the base price, ""New Price"" captures the override price, and ""Max Discount"" captures the override discount",,,corporate-pricing,,"On the Pricebook Details page with the Pricing Detail tab active and the product-group grid loaded

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Detail,1,,Corporate_Pricing > Detail,"<ol>
<li>1. Open the Pricing Detail tab.</li>
<li>2. Read the grid column headers</li>
</ol>",,,"1. The Pricing Detail tab opens and the product-group grid is displayed
2. The grid shows five columns in order: ID, Product Group Name, Price, New Price, Max Discount. ""Price"" displays the base price, ""New Price"" captures the override price, and ""Max Discount"" captures the override discount",,,,Master,S1620,Test Case (Steps),Regression,,,
,The Available Product Groups source list loads,,,,,Automated,Omeesha Mahanta,,,The Available Product Groups source list loads with product groups available for browsing and selection,,,corporate-pricing,,"On the Pricebook Details page with the Pricing Detail tab active and the Available Product Groups source list rendered alongside the grid

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Detail,1,,Corporate_Pricing > Detail,"<ol>
<li>1. Open the Pricing Detail tab.</li>
<li>2. Inspect the Available Product Groups list</li>
</ol>",,,"1. The Pricing Detail tab opens and the product-group grid is displayed
2. The Available Product Groups source list loads with product groups available for browsing and selection",,,,Master,S1620,Test Case (Steps),Regression,,,
,The source list provides a Search (ID or Name) filter,,,,,Automated,Omeesha Mahanta,,,"The source list exposes a ""Search ID or Name..."" filter so the user can browse and select product groups",,,corporate-pricing,,"On the Pricebook Details page with the Pricing Detail tab active and the Available Product Groups source list rendered

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Detail,1,,Corporate_Pricing > Detail,"<ol>
<li>1. Open the Pricing Detail tab.</li>
<li>2. Look for a search/filter input over the Available Product Groups list</li>
</ol>",,,"1. The Pricing Detail tab opens and the product-group grid is displayed
2. The source list exposes a ""Search ID or Name..."" filter so the user can browse and select product groups",,,,Master,S1620,Test Case (Steps),Regression,,,
,Pricing details load on tab activation,,,,,Automated,Omeesha Mahanta,,,"When the Pricing Detail tab is activated, the current pricing details load into the grid",,,corporate-pricing,,"On the Pricebook Details page in management mode (an existing pricebook), with the page loaded and the Pricing Detail tab not yet opened

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Detail,1,,Corporate_Pricing > Detail,"<ol>
<li>1. Open a pricebook in management mode and click the Pricing Detail tab.</li>
<li>2. Observe the grid</li>
</ol>",,,"1. The pricebook opens in management mode and the Pricing Detail tab becomes active
2. When the Pricing Detail tab is activated, the current pricing details load into the grid",,,,Master,S1620,Test Case (Steps),Regression,,,
,Base Price (Price column) is read-only,,,,,Automated,Omeesha Mahanta,,,The Base Price cell is read-only (no input) - it is displayed for reference only,,,corporate-pricing,,"On the Pricebook Details page with the Pricing Detail tab active, the grid loaded, and a known product-group row (""Balloon Light Decor"") located

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Detail,1,,Corporate_Pricing > Detail,"<ol>
<li>1. Open the Pricing Detail tab and locate a known product-group row.</li>
<li>2. Inspect its Price (Base Price) cell</li>
</ol>",,,"1. The Pricing Detail tab opens and the ""Balloon Light Decor"" row is visible in the grid
2. The Base Price cell is read-only (no input) - it is displayed for reference only",,,,Master,S1620,Test Case (Steps),Regression,,,
,New Price and Max Discount cells are editable,,,,,Automated,Omeesha Mahanta,,,The New Price (override price) and Max Discount (override discount) cells are editable input fields,,,corporate-pricing,,"On the Pricebook Details page with the Pricing Detail tab active, the grid loaded, and a known product-group row (""Balloon Light Decor"") located

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Detail,1,,Corporate_Pricing > Detail,"<ol>
<li>1. Open the Pricing Detail tab and locate a known product-group row.</li>
<li>2. Inspect its New Price and Max Discount cells</li>
</ol>",,,"1. The Pricing Detail tab opens and the ""Balloon Light Decor"" row is visible in the grid
2. The New Price (override price) and Max Discount (override discount) cells are editable input fields",,,,Master,S1620,Test Case (Steps),Regression,,,
,Single-clicking a source product group does not add a grid row,,,,,Automated,Omeesha Mahanta,,,In management mode a single-click selects/displays the group without adding it to the grid. No row is added,,,corporate-pricing,,"On the Pricebook Details page with the Pricing Detail tab active, the grid loaded, and the Available Product Groups source list rendered

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Detail,1,,Corporate_Pricing > Detail,"<ol>
<li>1. Open the Pricing Detail tab and note the current grid row count.</li>
<li>2. Single-click a product group in the Available list.</li>
<li>3. Re-read the grid row count</li>
</ol>",,,"1. The Pricing Detail tab opens and the grid's current row count is visible for reference
2. The clicked product group becomes highlighted as selected in the Available list
3. In management mode a single-click selects/displays the group without adding it to the grid. No row is added",,,,Master,S1620,Test Case (Steps),Regression,,,
,Double-click a source-list product group does NOT add a grid row,,,,,Automated,Omeesha Mahanta,,,Double-click does NOT add a product group in management mode - new product groups cannot be added when editing an existing pricebook,,,corporate-pricing,,"On the Pricebook Details page with the Pricing Detail tab active, the grid loaded, and the Available Product Groups source list rendered

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Detail,1,,Corporate_Pricing > Detail,"<ol>
<li>1. Open the Pricing Detail tab and note the current grid row count.</li>
<li>2. Double-click a product group in the Available list.</li>
<li>3. Re-read the grid row count</li>
</ol>",,,"1. The Pricing Detail tab opens and the grid's current row count is visible for reference
2. The double-clicked product group is highlighted in the Available list
3. Double-click does NOT add a product group in management mode - new product groups cannot be added when editing an existing pricebook",,,,Master,S1620,Test Case (Steps),Regression,,,
,Drag a source-list product group onto the grid does NOT add,,,,,Automated,Omeesha Mahanta,,,Drag-and-drop does NOT add a product group in management mode,,,corporate-pricing,,"On the Pricebook Details page with the Pricing Detail tab active, the grid loaded, and the Available Product Groups source list rendered

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Detail,1,,Corporate_Pricing > Detail,"<ol>
<li>1. Open the Pricing Detail tab and note the current grid row count.</li>
<li>2. Drag a product group from the Available list and drop it onto the grid.</li>
<li>3. Re-read the grid row count</li>
</ol>",,,"1. The Pricing Detail tab opens and the grid's current row count is visible for reference
2. The product group is dragged from the Available list and dropped onto the grid area
3. Drag-and-drop does NOT add a product group in management mode",,,,Master,S1620,Test Case (Steps),Regression,,,
