ID,Title,AI Automated Test,AI Model,AI Type,Attachments,Automation Type,Created By,Created On,Estimate,Expected Result,Forecast,Goals,Labels,Mission,Preconditions,Priority,References,Section,Section Depth,Section Description,Section Hierarchy,Steps,Steps,Steps (Additional Info),Steps (Expected Result),Steps (References),Steps (Shared step ID),Steps (Step),Suite,Suite ID,Template,Type,Updated By,Updated On,is_converted
,Page loads with both tabs present and the Locations tab active by default,,,,,Automated,Omeesha Mahanta,,,"The ""Discount Optimization"" tab is selected and its content panel is shown by default.",,,discount-optimization,,"Authenticated; navigating to the Discount Optimization Settings page for office 1604

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Locations,1,,Discount_Optimization > Locations,"<ol>
<li>1. Navigate to the Discount Optimization Settings page for office 1604.</li>
<li>2. Wait for the tab bar to appear.</li>
<li>3. Observe which tab is active without clicking anything</li>
</ol>",,,"1. The page loads and the Discount Optimization Settings heading is visible.
2. Both tabs are visible: ""Discount Optimization"" and ""Special Rate Exemptions by Service Type"".
3. The ""Discount Optimization"" tab is selected and its content panel is shown by default.",,,,Master,S1620,Test Case (Steps),Regression,,,
,Locations grid renders rows and all four column headers after the slow first paint,,,,,Automated,Omeesha Mahanta,,,The grid shows more than zero rows; the exact count is not asserted because it reflects live data.,,,discount-optimization,,"On the Discount Optimization Settings page, Locations tab active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Locations,1,,Discount_Optimization > Locations,"<ol>
<li>1. Wait for the grid row count to become non-zero (do not use a fixed timeout or networkidle).</li>
<li>2. Read the column header row.</li>
<li>3. Confirm the row count is greater than zero</li>
</ol>",,,"1. The grid transitions from its ""0 locations found"" initial state to showing a non-zero number of rows.
2. Four column headers are visible: ""ID"", ""Location Name"", ""Allow Special Rate"", and ""Special Rate Start Date"".
3. The grid shows more than zero rows; the exact count is not asserted because it reflects live data.",,,,Master,S1620,Test Case (Steps),Regression,,,
,Locations grid rows show ID and Location Name values,,,,,Automated,Omeesha Mahanta,,,The Location Name cell contains a non-empty text name.,,,discount-optimization,,"Grid has completed its first paint (row count non-zero)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Locations,1,,Discount_Optimization > Locations,"<ol>
<li>1. Read the first visible row's ID cell.</li>
<li>2. Read the first visible row's Location Name cell</li>
</ol>",,,"1. The ID cell contains a non-empty numeric or alphanumeric location number.
2. The Location Name cell contains a non-empty text name.",,,,Master,S1620,Test Case (Steps),Regression,,,
,Office 1604 (Parker Palm Springs) is present in its own locations list,,,,,Automated,Omeesha Mahanta,,,Office 1604 appears as a row in the grid — the host office is included in its own list.,,,discount-optimization,,"Grid has completed its first paint

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""1604""",Medium,,Locations,1,,Discount_Optimization > Locations,"<ol>
<li>1. Search for ""1604"" in the search box.</li>
<li>2. Confirm that the row for office 1604 (Parker Palm Springs) is present</li>
</ol>",,,"1. The grid filters to rows matching ""1604"".
2. Office 1604 appears as a row in the grid — the host office is included in its own list.",,,,Master,S1620,Test Case (Steps),Regression,,,
,Search filters the grid; clearing restores all rows; no-match shows empty state,,,,,Automated,Omeesha Mahanta,,,The grid restores to the full row set.,,,discount-optimization,,"Grid has completed its first paint

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""2050""
Sample input 2: ""ZZZZNOTAPLACE""",Medium,,Locations,1,,Discount_Optimization > Locations,"<ol>
<li>1. Note the row count before searching.</li>
<li>2. Type a known location number (e.g. ""2050"") into the search box.</li>
<li>3. Clear the search box.</li>
<li>4. Type a string that matches no location (e.g. ""ZZZZNOTAPLACE"").</li>
<li>5. Clear the search box again</li>
</ol>",,,"1. The grid shows a non-zero number of rows.
2. The grid filters immediately and shows only rows matching ""2050"". The filtered count is less than the unfiltered count.
3. The grid restores to its full unfiltered row set (non-zero count matching the pre-search level).
4. The grid shows the empty state — a message indicating zero locations found.
5. The grid restores to the full row set.",,,,Master,S1620,Test Case (Steps),Regression,,,
,Search is case-insensitive on location name,,,,,Automated,Omeesha Mahanta,,,Grid restores to the full row set.,,,discount-optimization,,"Grid has completed its first paint

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""abbey""",Medium,,Locations,1,,Discount_Optimization > Locations,"<ol>
<li>1. Type a location name fragment in lowercase (e.g. ""abbey"").</li>
<li>2. Clear the search box</li>
</ol>",,,"1. The grid filters to rows whose Location Name contains ""abbey"", regardless of case. Every visible row in the filtered results must contain the search term — not just the first row.
2. Grid restores to the full row set.",,,,Master,S1620,Test Case (Steps),Regression,,,
,ID column header sort menu — Sort descending changes first visible row,,,,,Automated,Omeesha Mahanta,,,No sort-state attribute is present — this grid signals sort state through row reorder only. The absence of such an attribute does not mean sorting is disabled.,,,discount-optimization,,"Grid has completed its first paint

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""ID""
Sample input 2: ""Sort ascending""
Sample input 3: ""Sort descending""",Medium,,Locations,1,,Discount_Optimization > Locations,"<ol>
<li>1. Locate the ""ID"" column header cell.</li>
<li>2. Click the options menu button inside the ""ID"" column header.</li>
<li>3. Click ""Sort ascending"".</li>
<li>4. Note the first visible row's Location Name value as the ascending baseline.</li>
<li>5. Re-open the header menu and click ""Sort descending"".</li>
<li>6. Inspect the header cell for any accessible sort-state attribute</li>
</ol>",,,"1. The header cell is visible.
2. A two-item menu opens with ""Sort ascending"" and ""Sort descending"" options.
3. The menu closes and the grid re-renders with rows in ascending ID order.
4. A baseline name is captured.
5. The menu closes; the first visible row's Location Name changes — the grid is now in descending ID order.
6. No sort-state attribute is present — this grid signals sort state through row reorder only. The absence of such an attribute does not mean sorting is disabled.",,,,Master,S1620,Test Case (Steps),Regression,,,
,Location Name column header sort menu opens and Sort descending reorders the grid,,,,,Automated,Omeesha Mahanta,,,No sort-state attribute is present — this grid does not signal sort state via an accessible attribute; its absence does not mean sorting is disabled.,,,discount-optimization,,"Grid has completed its first paint

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Location Name""
Sample input 2: ""Sort descending""",Medium,,Locations,1,,Discount_Optimization > Locations,"<ol>
<li>1. Locate the ""Location Name"" column header cell.</li>
<li>2. Click the options menu button inside the ""Location Name"" column header.</li>
<li>3. Note the first visible row's Location Name before sorting.</li>
<li>4. Click ""Sort descending"".</li>
<li>5. Inspect the header cell for any accessible sort-state attribute</li>
</ol>",,,"1. The header cell is visible.
2. A two-item menu opens with ""Sort ascending"" and ""Sort descending"" visible.
3. A baseline name is captured.
4. The menu closes; the grid re-renders. The first visible row's Location Name differs from the baseline — the grid is sorted in descending name order.
5. No sort-state attribute is present — this grid does not signal sort state via an accessible attribute; its absence does not mean sorting is disabled.",,,,Master,S1620,Test Case (Steps),Regression,,,
,Allow Special Rate column sort — Sort descending reorders the toggle value sequence,,,,,Automated,Omeesha Mahanta,,,No sort-state indicator is present — this grid signals sort state through row reorder only. The absence of such an indicator does not mean sorting is disabled.,,,discount-optimization,,"Grid has completed its first paint

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Allow Special Rate""",Medium,,Locations,1,,Discount_Optimization > Locations,"<ol>
<li>1. Locate the ""Allow Special Rate"" column header cell.</li>
<li>2. Click the options menu button inside the ""Allow Special Rate"" column header.</li>
<li>3. Inspect the menu items.</li>
<li>4. Dismiss the menu (Escape).</li>
<li>5. Inspect the header cell for any sort-state indicator</li>
</ol>",,,"1. The header cell is visible.
2. A menu opens.
3. ""Sort ascending"" and ""Sort descending"" are both present and visible.
4. The menu closes without changing row order.
5. No sort-state indicator is present — this grid signals sort state through row reorder only. The absence of such an indicator does not mean sorting is disabled.",,,,Master,S1620,Test Case (Steps),Regression,,,
,Special Rate Start Date column sort — Sort descending reorders the date sequence,,,,,Automated,Omeesha Mahanta,,,No sort-state indicator is present — this grid signals sort state through row reorder only. The absence of such an indicator does not mean sorting is disabled.,,,discount-optimization,,"Grid has completed its first paint

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Special Rate Start Date""",Medium,,Locations,1,,Discount_Optimization > Locations,"<ol>
<li>1. Locate the ""Special Rate Start Date"" column header cell.</li>
<li>2. Click the options menu button inside the ""Special Rate Start Date"" column header.</li>
<li>3. Inspect the menu items.</li>
<li>4. Dismiss the menu (Escape).</li>
<li>5. Inspect the header cell for any sort-state indicator</li>
</ol>",,,"1. The header cell is visible.
2. A menu opens.
3. ""Sort ascending"" and ""Sort descending"" are both present and visible.
4. The menu closes without changing row order.
5. No sort-state indicator is present — this grid signals sort state through row reorder only. The absence of such an indicator does not mean sorting is disabled.",,,,Master,S1620,Test Case (Steps),Regression,,,
