ID,Title,AI Automated Test,AI Model,AI Type,Attachments,Automation Type,Created By,Created On,Estimate,Expected Result,Forecast,Goals,Labels,Mission,Preconditions,Priority,References,Section,Section Depth,Section Description,Section Hierarchy,Steps,Steps,Steps (Additional Info),Steps (Expected Result),Steps (References),Steps (Shared step ID),Steps (Step),Suite,Suite ID,Template,Type,Updated By,Updated On,is_converted
,Navigate to Auto Add-On Tab,,,,,Automated,Omeesha Mahanta,,,The Auto Add-On panel displays with all checkbox items visible. No errors. The page stays on the Auto Add-On panel,,,locations,,"User is on Location Settings page for location 1604. Any sub-tab may be active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Auto Add-On""",Medium,,Auto_Addon,1,,Locations > Auto_Addon,"<ol>
<li>1. Click the ""Auto Add-On"" tab and verify the tab becomes selected, the Auto Add-On panel is visible, the Auto Add-On form is present, and the checkbox list renders</li>
</ol>",,,1. The Auto Add-On panel displays with all checkbox items visible. No errors. The page stays on the Auto Add-On panel,,,,Master,S1620,Test Case (Steps),Regression,,,
,Default State of Checkbox Items (location 1604),,,,,Automated,Omeesha Mahanta,,,"5 items in order: Encore Music (checked), Wireless Presenter (checked), Express Content Design Session (unchecked), Wordly (checked), Labor (checked). Save disabled",,,locations,,"Fresh page load of location 1604 settings. ""Auto Add-On"" tab clicked

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Auto Add-On""
Sample input 2: ""Encore Music""
Sample input 3: ""Wireless Presenter""
Sample input 4: ""Express Content Design Session""
Sample input 5: ""Wordly""
Sample input 6: ""Labor""",Medium,,Auto_Addon,1,,Locations > Auto_Addon,"<ol>
<li>1. Navigate fresh to location 1604 settings, click the ""Auto Add-On"" tab, and verify 5 checkbox items are visible.</li>
<li>2. Observe the ""Encore Music"" checkbox and verify it is checked.</li>
<li>3. Observe the ""Wireless Presenter"" checkbox and verify it is checked.</li>
<li>4. Observe the ""Express Content Design Session"" checkbox and verify it is unchecked.</li>
<li>5. Observe the ""Wordly"" checkbox and verify it is checked.</li>
<li>6. Observe the ""Labor"" checkbox and verify it is checked.</li>
<li>7. Observe the ""Save"" button and verify it is disabled</li>
</ol>",,,"1. The Auto Add-On panel displays 5 checkbox items: Encore Music, Wireless Presenter, Express Content Design Session, Wordly, and Labor.
2. The Encore Music checkbox is checked.
3. The Wireless Presenter checkbox is checked.
4. The Express Content Design Session checkbox is unchecked.
5. The Wordly checkbox is checked.
6. The Labor checkbox is checked.
7. 5 items in order: Encore Music (checked), Wireless Presenter (checked), Express Content Design Session (unchecked), Wordly (checked), Labor (checked). Save disabled",,,,Master,S1620,Test Case (Steps),Regression,,,
,Toggle Checked Item to Unchecked -- Save Enables,,,,,Automated,Omeesha Mahanta,,,Unchecking a checked item immediately enables Save,,,locations,,"""Auto Add-On"" tab active. ""Encore Music"" is checked (default). ""Save"" is disabled

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Encore Music""",Medium,,Auto_Addon,1,,Locations > Auto_Addon,"<ol>
<li>1. Click the ""Encore Music"" checkbox and verify it becomes unchecked.</li>
<li>2. Observe the ""Save"" button and verify it is enabled</li>
</ol>",,,"1. The Encore Music checkbox becomes unchecked.
2. Unchecking a checked item immediately enables Save",,,,Master,S1620,Test Case (Steps),Regression,,,
,Toggle Unchecked Item to Checked -- Save Enables,,,,,Automated,Omeesha Mahanta,,,Checking an unchecked item immediately enables Save,,,locations,,"""Auto Add-On"" tab active. ""Express Content Design Session"" is unchecked (default). ""Save"" is disabled

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Express Content Design Session""",Medium,,Auto_Addon,1,,Locations > Auto_Addon,"<ol>
<li>1. Click the ""Express Content Design Session"" checkbox and verify it becomes checked.</li>
<li>2. Observe the ""Save"" button and verify it is enabled</li>
</ol>",,,"1. The Express Content Design Session checkbox becomes checked.
2. Checking an unchecked item immediately enables Save",,,,Master,S1620,Test Case (Steps),Regression,,,
,Revert Toggle Re-Disables Save (Smart Form Diff),,,,,Automated,Omeesha Mahanta,,,"Reverting a toggle to its original saved value re-disables Save. The form compares against the saved state, not just whether a change event fired",,,locations,,"""Auto Add-On"" tab active. ""Express Content Design Session"" is unchecked (default). ""Save"" is disabled

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Express Content Design Session""",Medium,,Auto_Addon,1,,Locations > Auto_Addon,"<ol>
<li>1. Click ""Express Content Design Session"" to check it and verify Save enables.</li>
<li>2. Click ""Express Content Design Session"" again to uncheck it (back to original) and verify Save becomes disabled again</li>
</ol>",,,"1. The Express Content Design Session checkbox becomes checked and the Save button becomes enabled.
2. Reverting a toggle to its original saved value re-disables Save. The form compares against the saved state, not just whether a change event fired",,,,Master,S1620,Test Case (Steps),Regression,,,
,Save Dialog Appears on Save Click,,,,,Automated,Omeesha Mahanta,,,Save Changes dialog appears with exact text and buttons,,,locations,,"""Auto Add-On"" tab active. A checkbox has been toggled (Save enabled)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Express Content Design Session""
Sample input 2: ""Save Changes""
Sample input 3: ""Are you sure you want to save the changes?""",Medium,,Auto_Addon,1,,Locations > Auto_Addon,"<ol>
<li>1. Click ""Express Content Design Session"" to check it and verify Save enables.</li>
<li>2. Click the ""Save"" button and verify the ""Save Changes"" dialog appears.</li>
<li>3. Observe the dialog heading and verify it reads ""Save Changes"".</li>
<li>4. Observe the dialog body and verify it reads ""Are you sure you want to save the changes?""</li>
<li>5. Observe the dialog buttons and verify ""Cancel"" and ""Ok"" are both present</li>
</ol>",,,"1. The Express Content Design Session checkbox becomes checked and the Save button becomes enabled.
2. The Save Changes dialog is displayed.
3. The dialog heading reads ""Save Changes"".
4. The dialog body reads ""Are you sure you want to save the changes?""
5. Save Changes dialog appears with exact text and buttons",,,,Master,S1620,Test Case (Steps),Regression,,,
,Save Dialog Cancel -- Dismisses Without Saving,,,,,Automated,Omeesha Mahanta,,,Cancel closes dialog without saving. Pending change is preserved. Save remains enabled,,,locations,,"Save Changes dialog is open (Express Content Design Session toggled, Save clicked)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Express Content Design Session""",Medium,,Auto_Addon,1,,Locations > Auto_Addon,"<ol>
<li>1. Click ""Express Content Design Session"" to check it, then click ""Save"" and verify the dialog opens.</li>
<li>2. Click ""Cancel"" and verify the dialog dismisses.</li>
<li>3. Observe ""Express Content Design Session"" and verify it still shows checked.</li>
<li>4. Observe the ""Save"" button and verify it is still enabled</li>
</ol>",,,"1. The Express Content Design Session checkbox becomes checked and the Save Changes dialog opens.
2. The Save Changes dialog closes.
3. The Express Content Design Session checkbox still shows checked.
4. Cancel closes dialog without saving. Pending change is preserved. Save remains enabled",,,,Master,S1620,Test Case (Steps),Regression,,,
,Save Dialog Ok -- Saves Successfully with Toast,,,,,Automated,Omeesha Mahanta,,,"Save succeeds. Toast ""Local information updated"" is shown. Save re-disables after successful save",,,locations,,"""Auto Add-On"" tab active. ""Express Content Design Session"" is unchecked (default)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Express Content Design Session""
Sample input 2: ""Local information updated""",Medium,,Auto_Addon,1,,Locations > Auto_Addon,"<ol>
<li>1. Click ""Express Content Design Session"" to check it.</li>
<li>2. Click ""Save"" and verify the dialog appears.</li>
<li>3. Click ""Ok"" and verify the dialog closes, a toast ""Local information updated"" appears, and Save becomes disabled</li>
</ol>",,,"1. The Express Content Design Session checkbox becomes checked.
2. The Save Changes dialog is displayed.
3. Save succeeds. Toast ""Local information updated"" is shown. Save re-disables after successful save",,,,Master,S1620,Test Case (Steps),Regression,,,
,Toggle Persists After Page Reload,,,,,Automated,Omeesha Mahanta,,,Toggled value persists after full page reload - server state was updated,,,locations,,"""Auto Add-On"" tab. ""Express Content Design Session"" is unchecked (default saved state)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Express Content Design Session""
Sample input 2: ""Local information updated""
Sample input 3: ""Auto Add-On""",Medium,,Auto_Addon,1,,Locations > Auto_Addon,"<ol>
<li>1. Click ""Express Content Design Session"" to check it.</li>
<li>2. Click ""Save"", then click ""Ok"" and verify the toast ""Local information updated"" appears.</li>
<li>3. Navigate away then back to the location 1604 settings page.</li>
<li>4. Click the ""Auto Add-On"" tab and verify it loads fresh.</li>
<li>5. Observe ""Express Content Design Session"" and verify it is checked</li>
</ol>",,,"1. The Express Content Design Session checkbox becomes checked.
2. A toast reading ""Local information updated"" is displayed.
3. The Location Settings page for location 1604 is displayed.
4. The Auto Add-On panel loads fresh with the updated saved values.
5. Toggled value persists after full page reload - server state was updated",,,,Master,S1620,Test Case (Steps),Regression,,,
,Save Button Disabled on Fresh Load (No Changes),,,,,Automated,Omeesha Mahanta,,,Save button is disabled on fresh load with no pending changes,,,locations,,"None

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Auto Add-On""",Medium,,Auto_Addon,1,,Locations > Auto_Addon,"<ol>
<li>1. Navigate fresh to location 1604 settings and click the ""Auto Add-On"" tab.</li>
<li>2. Do NOT interact with any checkbox.</li>
<li>3. Observe the ""Save"" button and verify it is disabled</li>
</ol>",,,"1. The Auto Add-On panel is displayed with the default checkbox values loaded.
2. The checkbox states remain unchanged with no pending edits.
3. Save button is disabled on fresh load with no pending changes",,,,Master,S1620,Test Case (Steps),Regression,,,
