ID,Title,AI Automated Test,AI Model,AI Type,Attachments,Automation Type,Created By,Created On,Estimate,Expected Result,Forecast,Goals,Labels,Mission,Preconditions,Priority,References,Section,Section Depth,Section Description,Section Hierarchy,Steps,Steps,Steps (Additional Info),Steps (Expected Result),Steps (References),Steps (Shared step ID),Steps (Step),Suite,Suite ID,Template,Type,Updated By,Updated On,is_converted
,Selecting a row reveals the View Product Code button and its segment arrow,,,,,Automated,Omeesha Mahanta,,,"View Product Code is shown and enabled, with a small arrow beside it",,,view-product-code,,"A default search has been executed on the Products page for office 1101

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Product_Code,1,,ItemSearch_Products > Product_Code,"<ol>
<li>1. Read the toolbar above the grid before any row is selected</li>
<li>2. Click any result row</li>
<li>3. Read the toolbar above the grid</li>
</ol>",,,"1. No View Product Code button is present
2. The row highlights as selected
3. View Product Code is shown and enabled, with a small arrow beside it",,,,Master,S1620,Test Case (Steps),Regression,,,
,View Product Code opens the details dialog on the Item tab,,,,,Automated,Omeesha Mahanta,,,The dialog closes and the grid is unchanged,,,view-product-code,,"A result row is selected

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Product_Code,1,,ItemSearch_Products > Product_Code,"<ol>
<li>1. Click View Product Code</li>
<li>2. Read the tab strip</li>
<li>3. Read the Item tab</li>
<li>4. Read the footer</li>
<li>5. Click Close</li>
</ol>",,,"1. A dialog titled ""Product Code Details"" opens
2. Three tabs: Item (active), Product Code History, Translations
3. The hierarchy sections (Category, Sub Category, Class, Sub Class, Item) show the values of the selected product; the name and description boxes hold the text of the product; a Product Code ID is displayed
4. Save is disabled; Close is enabled
5. The dialog closes and the grid is unchanged",,,,Master,S1620,Test Case (Steps),Regression,,,
,The History tab shows the audit grid,,,,,Automated,Omeesha Mahanta,,,"The tab has its own Grid Options button, separate from the one above the page grid",,,view-product-code,,"The details dialog is open (View Product Code)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Product_Code,1,,ItemSearch_Products > Product_Code,"<ol>
<li>1. Click the Product Code History tab</li>
<li>2. Read the grid header</li>
<li>3. Read the tab chrome</li>
</ol>",,,"1. The tab activates
2. 15 columns, including Action, Parent Name, Product Name, Product Type, Modified By and Modified Date
3. The tab has its own Grid Options button, separate from the one above the page grid",,,,Master,S1620,Test Case (Steps),Regression,,,
,The Translations tab lists four editable languages,,,,,Automated,Omeesha Mahanta,,,The dialog closes with nothing saved,,,view-product-code,,"The details dialog is open (View Product Code)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Product_Code,1,,ItemSearch_Products > Product_Code,"<ol>
<li>1. Click the Translations tab</li>
<li>2. Read the rows</li>
<li>3. Read each row</li>
<li>4. Click Close</li>
</ol>",,,"1. The tab activates with ""Translations for Item""
2. Four languages: English (Canada), US English, Spanish (Mexico), French (Canada)
3. Every language row carries an editable Name box and an editable Description box
4. The dialog closes with nothing saved",,,,Master,S1620,Test Case (Steps),Regression,,,
,The View segment menu rescopes the dialog,,,,,Automated,Omeesha Mahanta,,,The grid is unchanged,,,view-product-code,,"A result row is selected; no dialog open

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Product_Code,1,,ItemSearch_Products > Product_Code,"<ol>
<li>1. Click the arrow beside View Product Code</li>
<li>2. Click Sub Class</li>
<li>3. Close the dialog, reopen the menu, click Class</li>
<li>4. Close the dialog, reopen the menu, click Sub Category</li>
<li>5. Close the dialog, reopen the menu, click Category</li>
<li>6. Close the dialog, reopen the menu, click Item</li>
<li>7. Close the dialog</li>
</ol>",,,"1. A menu lists Item, Sub Class, Class, Sub Category, Category, in that order
2. The details dialog opens and its first tab is named ""Sub Class""
3. The dialog opens with its first tab named ""Class""
4. The dialog opens with its first tab named ""Sub Category""
5. The dialog opens with its first tab named ""Category""
6. The dialog opens with its first tab named ""Item""
7. The grid is unchanged",,,,Master,S1620,Test Case (Steps),Regression,,,
,Closing the dialog with a Name edit discards it silently,,,,,Automated,Omeesha Mahanta,,,The Name shows the original value; the edit was discarded,,,view-product-code,,"A result row is selected

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Product_Code,1,,ItemSearch_Products > Product_Code,"<ol>
<li>1. Open View Product Code and add one character to the Name box</li>
<li>2. Click Close</li>
<li>3. Reopen View Product Code</li>
</ol>",,,"1. The value changes in the box and Save enables
2. The dialog closes immediately, no warning prompt appears
3. The Name shows the original value; the edit was discarded",,,,Master,S1620,Test Case (Steps),Regression,,,
,The dialog shows the values of the selected row,,,,,Automated,Omeesha Mahanta,,,The dialog closes,,,view-product-code,,"A search that returns the automation item has been executed

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Product_Code,1,,ItemSearch_Products > Product_Code,"<ol>
<li>1. Read the Category, Sub Category, Class, Sub Class, Item and Product Code ID cells of the row of the automation item</li>
<li>2. Click the row, then View Product Code</li>
<li>3. Read the Category name, the Sub-Category Name, Class Name and Sub-Class Name dropdowns and the Name box</li>
<li>4. Read the Product Code ID under the Item section</li>
<li>5. Click Close</li>
</ol>",,,"1. The cells hold the chain and the identifier of the item
2. The dialog opens on the Item tab
3. Each equals the matching cell of the row
4. It equals the Product Code ID cell of the row
5. The dialog closes",,,,Master,S1620,Test Case (Steps),Regression,,,
,Every close path discards a dirty form silently,,,,,Automated,Omeesha Mahanta,,,Both show their original values,,,view-product-code,,"A result row is selected; the automation item is used

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Close""",Medium,,Product_Code,1,,ItemSearch_Products > Product_Code,"<ol>
<li>1. Open View Product Code, add one character to the Name box and, on the Translations tab, one character to the US English Name box</li>
<li>2. Click the small ""Close"" button in the top right corner of the dialog</li>
<li>3. Reopen View Product Code and read the Name box and the US English Name box</li>
<li>4. Make the same two edits again and press Escape</li>
<li>5. Reopen the dialog and read both boxes</li>
<li>6. Make the same two edits again and click on the page outside the dialog</li>
<li>7. Reload the page</li>
<li>8. Select the row again, reopen the dialog and read both boxes</li>
</ol>",,,"1. Save is enabled
2. The dialog closes with no prompt
3. Both show their original values
4. The dialog closes with no prompt
5. Both show their original values
6. The dialog stays open with the edits still in place
7. The dialog is gone; the search word and the grid are still in place
8. Both show their original values",,,,Master,S1620,Test Case (Steps),Regression,,,
,A dirty Item-tab edit survives a round trip through the other tabs,,,,,Automated,Omeesha Mahanta,,,The dialog closes with nothing saved,,,view-product-code,,"A result row is selected; the automation item is used

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Product_Code,1,,ItemSearch_Products > Product_Code,"<ol>
<li>1. Open View Product Code and add one character to the Name box</li>
<li>2. Click the Product Code History tab, then the Translations tab, then the Item tab</li>
<li>3. Read the Name box</li>
<li>4. Click Close</li>
</ol>",,,"1. Save is enabled
2. Each tab activates in turn
3. It still holds the edited value and Save is still enabled
4. The dialog closes with nothing saved",,,,Master,S1620,Test Case (Steps),Regression,,,
,Each segment shows the sections from Category down to its own level,,,,,Automated,Omeesha Mahanta,,,The dialog closes,,,view-product-code,,"The automation item row is selected; no dialog open

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Product_Code,1,,ItemSearch_Products > Product_Code,"<ol>
<li>1. Open the segment menu and click Item</li>
<li>2. Close, reopen the menu and click Sub Class</li>
<li>3. Close, reopen the menu and click Class</li>
<li>4. Close, reopen the menu and click Sub Category</li>
<li>5. Close, reopen the menu and click Category</li>
<li>6. Click Close</li>
</ol>",,,"1. The dialog shows five sections in this order: Category, Sub Category, Class, Sub Class, Item
2. The dialog shows four sections: Category, Sub Category, Class, Sub Class, and no Item section
3. Three sections: Category, Sub Category, Class
4. Two sections: Category, Sub Category
5. One section: Category
6. The dialog closes",,,,Master,S1620,Test Case (Steps),Regression,,,
