ID,Title,AI Automated Test,AI Model,AI Type,Attachments,Automation Type,Created By,Created On,Estimate,Expected Result,Forecast,Goals,Labels,Mission,Preconditions,Priority,References,Section,Section Depth,Section Description,Section Hierarchy,Steps,Steps,Steps (Additional Info),Steps (Expected Result),Steps (References),Steps (Shared step ID),Steps (Step),Suite,Suite ID,Template,Type,Updated By,Updated On,is_converted
,Verify tab two-card layout,,,,,Automated,Omeesha Mahanta,,,Two distinct cards visible with correct section headers,,,locations,,"Office 1604 is open in Navigator. Account and Address tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Account and Address""
Sample input 2: ""Venue/Branch Account""
Sample input 3: ""Master Bill To Address""",Medium,,Account_Address,1,,Locations > Account_Address,"<ol>
<li>1. Navigate to Setup > Location > 1604 and open the ""Account and Address"" tab.</li>
<li>2. Verify two side-by-side cards are visible: the left card is ""Venue/Branch Account"" and the right card is ""Master Bill To Address""</li>
</ol>",,,"1. The Account and Address tab opens and its content is displayed.
2. Two distinct cards visible with correct section headers",,,,Master,S1620,Test Case (Steps),Regression,,,
,Verify Venue Name field is disabled,,,,,Automated,Omeesha Mahanta,,,Name field is always disabled; cannot be typed in directly,,,locations,,"Office 1604 is open in Navigator. Account and Address tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Account and Address""
Sample input 2: ""Name""
Sample input 3: ""Parker Palm Springs""",Medium,,Account_Address,1,,Locations > Account_Address,"<ol>
<li>1. Open the ""Account and Address"" tab.</li>
<li>2. Locate the ""Name"" row in the Venue/Branch Account section. Confirm the field is visible.</li>
<li>3. Verify the field is disabled (not editable) and shows the value ""Parker Palm Springs""</li>
</ol>",,,"1. The Account and Address tab opens and its content is displayed.
2. The Name row is visible in the Venue/Branch Account section.
3. Name field is always disabled; cannot be typed in directly",,,,Master,S1620,Test Case (Steps),Regression,,,
,Name button opens Account List dialog,,,,,Automated,Omeesha Mahanta,,,Account List dialog opens with search filters and result table,,,locations,,"Office 1604 is open in Navigator. Account and Address tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Account and Address""
Sample input 2: ""Name""
Sample input 3: ""Account List""
Sample input 4: ""Search""
Sample input 5: ""Reset""",Medium,,Account_Address,1,,Locations > Account_Address,"<ol>
<li>1. Open the ""Account and Address"" tab.</li>
<li>2. Click the ""Name"" button in the Venue/Branch Account section. Confirm the dialog opens.</li>
<li>3. Verify the dialog title reads ""Account List"" and shows search filters for Account Number, Account Name, Address, City, State, and Country, along with ""Search"" and ""Reset"" buttons and a results table</li>
</ol>",,,"1. The Account and Address tab opens and its content is displayed.
2. The Account List dialog opens.
3. Account List dialog opens with search filters and result table",,,,Master,S1620,Test Case (Steps),Regression,,,
,Account List - search returns results,,,,,Automated,Omeesha Mahanta,,,Searching by account name returns matching account records,,,locations,,"Office 1604 is open in Navigator. Account and Address tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Name""
Sample input 2: ""Parker""
Sample input 3: ""Account Name""
Sample input 4: ""Search""
Sample input 5: ""AC000107 Parker Palm Springs""

Note: Blocked — the Account List search returns no results for any search term, including the office's own existing account; the search comes back empty every time. Pending an application fix",Medium,,Account_Address,1,,Locations > Account_Address,"<ol>
<li>1. Click the ""Name"" button to open the Account List dialog.</li>
<li>2. Type ""Parker"" in the ""Account Name"" field.</li>
<li>3. Click ""Search"". Confirm the results table updates.</li>
<li>4. Verify a row showing ""AC000107 Parker Palm Springs"" is visible in the results</li>
</ol>",,,"1. The Account List dialog opens.
2. ""Parker"" is entered in the Account Name field.
3. The results table updates with matching records.
4. Searching by account name returns matching account records",,,,Master,S1620,Test Case (Steps),Regression,,,
,Account List - Select button disabled until row checked,,,,,Automated,Omeesha Mahanta,,,Select button only enables after a row is checked via row checkbox,,,locations,,"Office 1604 is open in Navigator. Account and Address tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Parker""
Sample input 2: ""Search""
Sample input 3: ""Select""

Note: Blocked — the Account List search returns no results for any search term, including the office's own existing account; the search comes back empty every time. Pending an application fix",Medium,,Account_Address,1,,Locations > Account_Address,"<ol>
<li>1. Open the Account List dialog, search for ""Parker"", and click ""Search"". Confirm 1 result is shown.</li>
<li>2. Verify the ""Select"" button is disabled.</li>
<li>3. Click the row checkbox in the first cell. Confirm the checkbox is checked.</li>
<li>4. Verify the ""Select"" button is now enabled</li>
</ol>",,,"1. One matching result is displayed in the results table.
2. The Select button is disabled.
3. The row checkbox becomes checked.
4. Select button only enables after a row is checked via row checkbox",,,,Master,S1620,Test Case (Steps),Regression,,,
,Account List - Cancel closes without changes,,,,,Automated,Omeesha Mahanta,,,Cancel dismisses dialog without updating the Name field,,,locations,,"Office 1604 is open in Navigator. Account and Address tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Select""
Sample input 2: ""Name""
Sample input 3: ""Parker Palm Springs""

Note: Blocked — the Account List search returns no results for any search term, including the office's own existing account; the search comes back empty every time. Pending an application fix",Medium,,Account_Address,1,,Locations > Account_Address,"<ol>
<li>1. Open the Account List dialog and search for results.</li>
<li>2. Check a row. Confirm ""Select"" becomes enabled.</li>
<li>3. Click ""Cancel"". Confirm the dialog closes.</li>
<li>4. Verify the ""Name"" field still shows ""Parker Palm Springs"" (unchanged)</li>
</ol>",,,"1. The Account List dialog opens and matching results are displayed.
2. The Select button becomes enabled.
3. The Account List dialog closes.
4. Cancel dismisses dialog without updating the Name field",,,,Master,S1620,Test Case (Steps),Regression,,,
,Account List - Reset clears search fields,,,,,Automated,Omeesha Mahanta,,,Reset clears all filter inputs and results table,,,locations,,"Office 1604 is open in Navigator. Account and Address tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Parker""
Sample input 2: ""Account Name""
Sample input 3: ""Search""
Sample input 4: ""Reset""
Sample input 5: ""No results.""

Note: Blocked — the Account List search returns no results for any search term, including the office's own existing account; the search comes back empty every time. Pending an application fix",Medium,,Account_Address,1,,Locations > Account_Address,"<ol>
<li>1. Open the Account List dialog.</li>
<li>2. Enter ""Parker"" in ""Account Name"" and click ""Search"". Confirm results load.</li>
<li>3. Click ""Reset"".</li>
<li>4. Verify all search fields are now empty and the table shows ""No results.""</li>
</ol>",,,"1. The Account List dialog opens.
2. Matching results load in the results table.
3. The search filters and results table clear immediately.
4. Reset clears all filter inputs and results table",,,,Master,S1620,Test Case (Steps),Regression,,,
,Venue Address button opens Select Customer Address dialog,,,,,Automated,Omeesha Mahanta,,,Select Customer Address dialog opens with 7 address records (Total Addresses: 7 in footer),,,locations,,"Office 1604 is open in Navigator. Account and Address tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Account and Address""
Sample input 2: ""Address""
Sample input 3: ""Select Customer Address""
Sample input 4: ""Select""
Sample input 5: ""Close""
Sample input 6: ""Total Addresses: 7""",Medium,,Account_Address,1,,Locations > Account_Address,"<ol>
<li>1. Open the ""Account and Address"" tab.</li>
<li>2. Click the ""Address"" button in the Venue/Branch Account section (the first Address button). Confirm the dialog opens.</li>
<li>3. Verify the dialog title reads ""Select Customer Address"" and shows a search bar, sortable columns (Address 1/2/3, City, State, Zip Code, Country), 7 address rows, and ""Select"", ""Cancel"", ""Save"", and ""Close"" buttons; ""Total Addresses: 7"" should appear in the footer</li>
</ol>",,,"1. The Account and Address tab opens and its content is displayed.
2. The Select Customer Address dialog opens.
3. Select Customer Address dialog opens with 7 address records (Total Addresses: 7 in footer)",,,,Master,S1620,Test Case (Steps),Regression,,,
,Address dialog - Select button disabled until row checked,,,,,Automated,Omeesha Mahanta,,,Select button only enables when a row checkbox is checked,,,locations,,"Office 1604 is open in Navigator. Account and Address tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Select Customer Address""
Sample input 2: ""Select""",Medium,,Account_Address,1,,Locations > Account_Address,"<ol>
<li>1. Open the ""Select Customer Address"" dialog.</li>
<li>2. Verify the ""Select"" button is disabled.</li>
<li>3. Click the row checkbox in the first cell. Confirm the checkbox is checked.</li>
<li>4. Verify the ""Select"" button is now enabled</li>
</ol>",,,"1. The Select Customer Address dialog opens.
2. The Select button is disabled.
3. The row checkbox becomes checked.
4. Select button only enables when a row checkbox is checked",,,,Master,S1620,Test Case (Steps),Regression,,,
,Address dialog - Search bar filters results as you type,,,,,Automated,Omeesha Mahanta,,,"Search bar filters the visible rows instantly as you type; ""Beverly"" matches 1 of 7 addresses",,,locations,,"Office 1604 is open in Navigator. Account and Address tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Select Customer Address""
Sample input 2: ""Beverly""",Medium,,Account_Address,1,,Locations > Account_Address,"<ol>
<li>1. Open the ""Select Customer Address"" dialog. Confirm 7 rows are visible (Total Addresses: 7).</li>
<li>2. Type ""Beverly"" in the search bar.</li>
<li>3. Verify the rows are filtered to 1 matching row containing ""Beverly"" (8899 Beverly Blvd Ste 412). The footer row should still be visible</li>
</ol>",,,"1. Seven address rows are displayed with ""Total Addresses: 7"" shown in the footer.
2. ""Beverly"" is entered in the search bar.
3. Search bar filters the visible rows instantly as you type; ""Beverly"" matches 1 of 7 addresses",,,,Master,S1620,Test Case (Steps),Regression,,,
