ID,Title,AI Automated Test,AI Model,AI Type,Attachments,Automation Type,Created By,Created On,Estimate,Expected Result,Forecast,Goals,Labels,Mission,Preconditions,Priority,References,Section,Section Depth,Section Description,Section Hierarchy,Steps,Steps,Steps (Additional Info),Steps (Expected Result),Steps (References),Steps (Shared step ID),Steps (Step),Suite,Suite ID,Template,Type,Updated By,Updated On,is_converted
,Loc Pricing Import - a real upload flips a pricebook Primary↔Alternate and the change reflects in a fresh export,,,,,Automated,Omeesha Mahanta,,,"The import returns HTTP 200 with a success: true body and a ""Successfully processed"" message; and the re-downloaded export shows the flipped pricebook row now Alternate, with all 11 columns of that row equal to the uploaded values",,,corporate-pricing,,"On the Search screen (office 1604). The throwaway location 5897's current pricebook rows are captured first so they can be restored afterward

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Loc Pricing Import""",Medium,,Loc_Pricing_Import,1,,Corporate_Pricing > Loc_Pricing_Import,"<ol>
<li>1. Open ""Loc Pricing Import"" and upload a minimal single-location CSV containing only office 5897's rows, with one pricebook's Alternate flag flipped from Primary to Alternate.</li>
<li>2. Capture the import request's HTTP status and raw response body, not just the dialog.</li>
<li>3. Re-download the Loc Pricing Export and read office 5897's rows</li>
</ol>",,,"1. The dialog accepts the CSV file and submits it for import.
2. The import request's HTTP status code and response body are visible in the network capture.
3. The import returns HTTP 200 with a success: true body and a ""Successfully processed"" message; and the re-downloaded export shows the flipped pricebook row now Alternate, with all 11 columns of that row equal to the uploaded values",,,,Master,S1620,Test Case (Steps),Regression,,,
,"Loc Pricing Import - a partial file replaces the location set; an omitted row is removed, not merged",,,,,Automated,Omeesha Mahanta,,,"The import REPLACES office 5897's set with exactly the two file rows - the flipped row is now Alternate, the unchanged in-file row is identical, and the row OMITTED from the file is REMOVED (office 5897 now has two rows, not three). Locations absent from the file are untouched",,,corporate-pricing,,"On the Search screen (office 1604). Office 5897's three rows set to baseline first

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Loc_Pricing_Import,1,,Corporate_Pricing > Loc_Pricing_Import,"<ol>
<li>1. Upload a CSV containing only a SUBSET of office 5897's rows (two of the three) - one flipped Primary</li>
<li>2. Re-download the export and read office 5897's rows</li>
</ol>",,,"1. The dialog accepts the file and the import completes successfully.
2. The import REPLACES office 5897's set with exactly the two file rows - the flipped row is now Alternate, the unchanged in-file row is identical, and the row OMITTED from the file is REMOVED (office 5897 now has two rows, not three). Locations absent from the file are untouched",,,,Master,S1620,Test Case (Steps),Regression,,,
,Loc Pricing Import - an empty file is rejected in the browser with a clear message and no import runs,,,,,Automated,Omeesha Mahanta,,,"The dialog shows ""The selected file does not contain any valid location pricing rows to import."", the Upload button stays disabled, and no import request is sent (nothing is committed)",,,corporate-pricing,,"On the Search screen (office 1604)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Loc Pricing Import""",Medium,,Loc_Pricing_Import,1,,Corporate_Pricing > Loc_Pricing_Import,"<ol>
<li>1. Open ""Loc Pricing Import"" and attach a zero-byte CSV.</li>
<li>2. Observe the dialog and whether any import request fires</li>
</ol>",,,"1. The Loc Pricing Import dialog opens and the file is attached for upload.
2. The dialog shows ""The selected file does not contain any valid location pricing rows to import."", the Upload button stays disabled, and no import request is sent (nothing is committed)",,,,Master,S1620,Test Case (Steps),Regression,,,
,Loc Pricing Import - a non-CSV file is rejected by file type and no import runs,,,,,Automated,Omeesha Mahanta,,,"The dialog shows ""Unsupported file type. Allowed:.csv"", Upload stays disabled, and no import request fires (nothing is committed)",,,corporate-pricing,,"On the Search screen (office 1604)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Loc Pricing Import""",Medium,,Loc_Pricing_Import,1,,Corporate_Pricing > Loc_Pricing_Import,"<ol>
<li>1. Open ""Loc Pricing Import"" and attach a plain-text.txt file</li>
</ol>",,,"1. The dialog shows ""Unsupported file type. Allowed:.csv"", Upload stays disabled, and no import request fires (nothing is committed)",,,,Master,S1620,Test Case (Steps),Regression,,,
,Loc Pricing Import - a structurally malformed CSV surfaces an error and no import runs,,,,,Automated,Omeesha Mahanta,,,"An error is shown in the dialog, Upload stays disabled, and no import request fires (nothing is committed)",,,corporate-pricing,,"On the Search screen (office 1604)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Loc Pricing Import""",Medium,,Loc_Pricing_Import,1,,Corporate_Pricing > Loc_Pricing_Import,"<ol>
<li>1. Open ""Loc Pricing Import"" and attach a CSV whose columns do not match the location-pricing schema</li>
</ol>",,,"1. An error is shown in the dialog, Upload stays disabled, and no import request fires (nothing is committed)",,,,Master,S1620,Test Case (Steps),Regression,,,
,Loc Pricing Import - opening and dismissing the dialog (no file chosen) runs no import,,,,,Automated,Omeesha Mahanta,,,No import request is sent; the dialog closes; office 5897 is unchanged,,,corporate-pricing,,"On the Search screen (office 1604)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Loc Pricing Import""",Medium,,Loc_Pricing_Import,1,,Corporate_Pricing > Loc_Pricing_Import,"<ol>
<li>1. Open ""Loc Pricing Import"" and close/cancel the dialog WITHOUT choosing a file.</li>
<li>2. Confirm no import request fired and the dialog closed</li>
</ol>",,,"1. The Loc Pricing Import dialog opens and then closes without a file chosen.
2. No import request is sent; the dialog closes; office 5897 is unchanged",,,,Master,S1620,Test Case (Steps),Regression,,,
,Loc Pricing Import - an imported change persists on a fresh export and the search grid still renders,,,,,Automated,Omeesha Mahanta,,,"The search grid re-renders with rows (not left blank - guarding against the post-import blank-grid defect) AND the re-downloaded export still shows the imported value (the change is durable, not just an in-memory echo)",,,corporate-pricing,,"On the Search screen (office 1604). Office 5897's rows captured as baseline

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Loc_Pricing_Import,1,,Corporate_Pricing > Loc_Pricing_Import,"<ol>
<li>1. Import a valid single-location file (flip a pricebook to Alternate).</li>
<li>2. Reload the Search page.</li>
<li>3. Re-download the export</li>
</ol>",,,"1. The dialog accepts the file and the import completes successfully.
2. The Search page reloads and finishes loading successfully.
3. The search grid re-renders with rows (not left blank - guarding against the post-import blank-grid defect) AND the re-downloaded export still shows the imported value (the change is durable, not just an in-memory echo)",,,,Master,S1620,Test Case (Steps),Regression,,,
,Loc Pricing Import - full/large-file boundary (verified-live 500 replace-failure; not safely automatable),,,,,Manual,Omeesha Mahanta,,,"The full ~38,000-row import fails server-side. The upload stalls part-way through - the dialog progress bar stops near the middle and shows *""Import failed due to a server error. Please try again. If the problem continues, contact support.""* The underlying request returns HTTP 500 with a *""Failed to replace... document...""* body - a server-side replace failure, not a gateway timeout. Because the file is re-imported unchanged, no location's values change: office 5897's rows and the total exported row count are identical afterward",,,corporate-pricing,,"On the Search screen

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Loc_Pricing_Import,1,,Corporate_Pricing > Loc_Pricing_Import,"<ol>
<li>1. (Not automated) Import the full ~38k-row exported file</li>
</ol>",,,"1. The full ~38,000-row import fails server-side. The upload stalls part-way through - the dialog progress bar stops near the middle and shows *""Import failed due to a server error. Please try again. If the problem continues, contact support.""* The underlying request returns HTTP 500 with a *""Failed to replace... document...""* body - a server-side replace failure, not a gateway timeout. Because the file is re-imported unchanged, no location's values change: office 5897's rows and the total exported row count are identical afterward",,,,Master,S1620,Test Case (Steps),Regression,,,
,"Loc Pricing Import - a header-only CSV (headers, zero data rows) is rejected in the browser and no import runs",,,,,Automated,Omeesha Mahanta,,,"The dialog shows ""Please check the upload file format."", no import request is sent, and office 5897 is unchanged. This is a DISTINCT input from the zero-byte empty file (TC-CPR-LIM-003) - a header-only file is a separate rejection path with its own message",,,corporate-pricing,,"On the Search screen (office 1604)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sample input 1: ""Loc Pricing Import""",Medium,,Loc_Pricing_Import,1,,Corporate_Pricing > Loc_Pricing_Import,"<ol>
<li>1. Open ""Loc Pricing Import"" and attach a CSV that has the 11 header columns but no data rows.</li>
<li>2. Observe the dialog and whether any import request fires</li>
</ol>",,,"1. The Loc Pricing Import dialog opens and the file is attached for upload.
2. The dialog shows ""Please check the upload file format."", no import request is sent, and office 5897 is unchanged. This is a DISTINCT input from the zero-byte empty file (TC-CPR-LIM-003) - a header-only file is a separate rejection path with its own message",,,,Master,S1620,Test Case (Steps),Regression,,,
,Loc Pricing Import - only the Alternate flag is written; Internal/Labor/Production columns are not import-writable,,,,,Automated,Omeesha Mahanta,,,"The import returns HTTP 200 success, but the fresh export shows ONLY IsAlternate changed to 1 - IsInternal, IsLabor, and IsProduction stay 0. Of the flag columns, only IsAlternate is applied by the import",,,corporate-pricing,,"On the Search screen (office 1604). Office 5897 reset to its baseline first

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Loc_Pricing_Import,1,,Corporate_Pricing > Loc_Pricing_Import,"<ol>
<li>1. Upload a single-location file that sets ALL FOUR boolean flag columns (IsInternal, IsLabor, IsAlternate, IsProduction) to 1 on one pricebook row.</li>
<li>2. Re-download the export and read that row</li>
</ol>",,,"1. The dialog accepts the file and the import completes successfully.
2. The import returns HTTP 200 success, but the fresh export shows ONLY IsAlternate changed to 1 - IsInternal, IsLabor, and IsProduction stay 0. Of the flag columns, only IsAlternate is applied by the import",,,,Master,S1620,Test Case (Steps),Regression,,,
