ID,Title,AI Automated Test,AI Model,AI Type,Attachments,Automation Type,Created By,Created On,Estimate,Expected Result,Forecast,Goals,Labels,Mission,Preconditions,Priority,References,Section,Section Depth,Section Description,Section Hierarchy,Steps,Steps,Steps (Additional Info),Steps (Expected Result),Steps (References),Steps (Shared step ID),Steps (Step),Suite,Suite ID,Template,Type,Updated By,Updated On,is_converted
,Location Settings History tab opens its own panel with a rendered grid,,,,,Automated,Omeesha Mahanta,,,The attachments are present in the report; they are diagnostic (they record the exact translated labels) and do not gate the result.,,,"local-office,ect-settings,basic-information,location-settings-history",,"Office 1604 (Parker Palm Springs) is open in Navigator, logged in as the automation user with full location-edit permissions. Basic Information tab is active.

Test Data:
User: automation user (location-edit permission)
Location: office 1604 - Parker Palm Springs
Application: Navigator
Sample input 1: ""Location Settings History""
Sample input 2: ""No results.""",High,,Location_Settings_History,1,,Local_Office > Location_Settings_History,"<ol>
<li>1. Navigate to office 1604 in Navigator, open Local Office Settings, and read the tab strip labels.</li>
<li>2. Open the Location Settings History tab and wait for the grid to load.</li>
<li>3. Read the column header count, the data row count, and the empty-state flag.</li>
<li>4. Verify the grid's default sort on a fresh load.</li>
<li>5. Attach the observed column header list and the first row's values to the HTML report.</li>
</ol>",,,"1. The tab strip reads exactly ""Basic Information"", ""Location Settings History"", ""ECT Settings"" in that order.
2. The History tab reports aria-selected=""true""; the history tab-content panel is visible; the history table is visible.
3. The header row renders more than one column, and the grid shows either at least one data row or the ""No results."" empty state - never neither.
4. Exactly one column indicates a sort, and it is ""Modified On"" descending (newest first) - confirmed live, answering the requirement doc's open question about the default sort.
5. The attachments are present in the report; they are diagnostic (they record the exact translated labels) and do not gate the result.",,,,Master,S1620,Test Case (Steps),Regression,,,
,Switching away from and back to the History tab keeps the grid stable,,,,,Automated,Omeesha Mahanta,,,"The header list is identical to the baseline (no dropped, duplicated or reordered columns); the row count is identical; exactly one history table exists, so the panel did not render a second grid.",,,"local-office,ect-settings,basic-information,location-settings-history",,"Office 1604 (Parker Palm Springs) is open in Navigator, logged in as the automation user with full location-edit permissions. Location Settings History tab is loaded and active (TC-LOE-HIST-001 has run).

Test Data:
User: automation user (location-edit permission)
Location: office 1604 - Parker Palm Springs
Application: Navigator
Sample input 1: ""Basic Information""
Sample input 2: ""Location Settings History""",Medium,,Location_Settings_History,1,,Local_Office > Location_Settings_History,"<ol>
<li>1. Capture the History grid's column headers and data row count.</li>
<li>2. Click the Basic Information tab and wait for its form to render.</li>
<li>3. Click the Location Settings History tab again and wait for the grid to load.</li>
<li>4. Re-read the column headers, the data row count and the number of history tables in the panel.</li>
</ol>",,,"1. Both are captured as the baseline for the round-trip comparison.
2. Basic Information becomes the selected tab and its form is visible.
3. History becomes the selected tab again and the grid renders.
4. The header list is identical to the baseline (no dropped, duplicated or reordered columns); the row count is identical; exactly one history table exists, so the panel did not render a second grid.",,,,Master,S1620,Test Case (Steps),Regression,,,
,The History tab selection is not preserved across a hard reload,,,,,Automated,Omeesha Mahanta,,,The grid renders again with exactly the same column header count as before the reload.,,,"local-office,ect-settings,basic-information,location-settings-history",,"Office 1604 (Parker Palm Springs) is open in Navigator, logged in as the automation user with full location-edit permissions. Location Settings History tab is loaded and active (TC-LOE-HIST-001 has run).

Test Data:
User: automation user (location-edit permission)
Location: office 1604 - Parker Palm Springs
Application: Navigator
Sample input 1: ""{BASE_URL}locations/1604/settings/local-office""",Low,,Location_Settings_History,1,,Local_Office > Location_Settings_History,"<ol>
<li>1. With the History tab open, capture the column header count.</li>
<li>2. Perform a hard reload of the Local Office Settings URL.</li>
<li>3. Re-open the Location Settings History tab and wait for the grid to load.</li>
</ol>",,,"1. The header count is captured.
2. The page loads with the Basic Information tab selected and the History tab not selected - the tab choice is not deep-linked into the URL.
3. The grid renders again with exactly the same column header count as before the reload.",,,,Master,S1620,Test Case (Steps),Regression,,,
,The history grid contains no editable control and the panel offers no Save,,,,,Automated,Omeesha Mahanta,,,The predicate returns true.,,,"local-office,ect-settings,basic-information,location-settings-history",,"Office 1604 (Parker Palm Springs) is open in Navigator, logged in as the automation user with full location-edit permissions. Location Settings History tab is loaded and active (TC-LOE-HIST-001 has run).

Test Data:
User: automation user (location-edit permission)
Location: office 1604 - Parker Palm Springs
Application: Navigator
Sample input 1: ""input:not([type=hidden])""
Sample input 2: ""textarea""
Sample input 3: ""Save""",High,,Location_Settings_History,1,,Local_Office > Location_Settings_History,"<ol>
<li>1. Take a control census of the history panel and the history table.</li>
<li>2. Assert the census counts for editable controls inside the TABLE (not the panel).</li>
<li>3. Call the page object's read-only predicate for the history tab.</li>
</ol>",,,"1. The census is captured in a single pass.
2. Zero inputs, zero textareas and zero Save buttons. The count is deliberately scoped to the table: the paginator's page-number input is a sibling of the table inside the panel, and counting it would make a read-only tab look editable.
3. The predicate returns true.",,,,Master,S1620,Test Case (Steps),Regression,,,
,"No add, edit, delete or row-selection affordance exists in the history panel",,,,,Automated,Omeesha Mahanta,,,"Zero select elements and zero [contenteditable=""true""] elements inside the table.",,,"local-office,ect-settings,basic-information,location-settings-history",,"Office 1604 (Parker Palm Springs) is open in Navigator, logged in as the automation user with full location-edit permissions. Location Settings History tab is loaded and active (TC-LOE-HIST-001 has run).

Test Data:
User: automation user (location-edit permission)
Location: office 1604 - Parker Palm Springs
Application: Navigator
Sample input 1: ""Add / New / Edit / Delete / Remove / Save""
Sample input 2: ""input[type=checkbox]""
Sample input 3: ""[contenteditable=true]""",High,,Location_Settings_History,1,,Local_Office > Location_Settings_History,"<ol>
<li>1. Take a control census of the history panel.</li>
<li>2. Assert no action button exists, matching on accessible text rather than a substring selector.</li>
<li>3. Assert the grid has no row-selection column.</li>
<li>4. Assert the grid has no inline editor of any kind.</li>
</ol>",,,"1. The census is captured.
2. Zero buttons whose accessible text is Add, Add New, New, Edit, Delete, Remove or Save; the failure message names any that were found.
3. Zero native checkboxes, zero radio inputs and zero role=""checkbox"" elements inside the table.
4. Zero select elements and zero [contenteditable=""true""] elements inside the table.",,,,Master,S1620,Test Case (Steps),Regression,,,
,Clicking and double-clicking a data cell produces no editor and no selection,,,,,Automated,Omeesha Mahanta,,,"The row carries neither aria-selected=""true"" nor data-state=""selected"" - clicking does not select a history row.",,,"local-office,ect-settings,basic-information,location-settings-history",,"Office 1604 (Parker Palm Springs) is open in Navigator, logged in as the automation user with full location-edit permissions. Location Settings History tab is loaded and active (TC-LOE-HIST-001 has run).

Test Data:
User: automation user (location-edit permission)
Location: office 1604 - Parker Palm Springs
Application: Navigator
Sample input 1: first data row, first cell",High,,Location_Settings_History,1,,Local_Office > Location_Settings_History,"<ol>
<li>1. Confirm the grid has at least one data row (skip with a data-precondition message otherwise).</li>
<li>2. Single-click, then double-click, the first cell of the first data row and re-read it.</li>
<li>3. Re-check the row's selection state.</li>
</ol>",,,"1. A data row is available to probe.
2. No input, textarea or contenteditable element appears in the cell, and the cell's text is identical to its value before the clicks.
3. The row carries neither aria-selected=""true"" nor data-state=""selected"" - clicking does not select a history row.",,,,Master,S1620,Test Case (Steps),Regression,,,
,Right-clicking a history row opens no context menu,,,,,Automated,Omeesha Mahanta,,,The header count and the data row count are unchanged.,,,"local-office,ect-settings,basic-information,location-settings-history",,"Office 1604 (Parker Palm Springs) is open in Navigator, logged in as the automation user with full location-edit permissions. Location Settings History tab is loaded and active (TC-LOE-HIST-001 has run).

Test Data:
User: automation user (location-edit permission)
Location: office 1604 - Parker Palm Springs
Application: Navigator
Sample input 1: right-click on first data row",Medium,,Location_Settings_History,1,,Local_Office > Location_Settings_History,"<ol>
<li>1. Confirm the grid has at least one data row and capture the header count.</li>
<li>2. Right-click the first data row and watch for an application context menu.</li>
<li>3. Re-assert the grid state after the right-click.</li>
</ol>",,,"1. A data row is available and the header count is captured.
2. No [role=""menu""] appears - unlike the Basic Information Section and Room Configuration grids, which expose a right-click delete menu.
3. The header count and the data row count are unchanged.",,,,Master,S1620,Test Case (Steps),Regression,,,
,"Every column header renders translated text, uniquely and non-blank",,,,,Automated,Omeesha Mahanta,,,The attachment records the exact live labels for future comparison.,,,"local-office,ect-settings,basic-information,location-settings-history",,"Office 1604 (Parker Palm Springs) is open in Navigator, logged in as the automation user with full location-edit permissions. Location Settings History tab is loaded and active (TC-LOE-HIST-001 has run).

Test Data:
User: automation user (location-edit permission)
Location: office 1604 - Parker Palm Springs
Application: Navigator
Sample input 1: minimum expected column count (20)
Sample input 2: raw-field-key pattern
Sample input 3: i18n placeholder patterns",High,,Location_Settings_History,1,,Local_Office > Location_Settings_History,"<ol>
<li>1. Read every column header's text from the history grid.</li>
<li>2. Assert no header is blank after trimming.</li>
<li>3. Assert no header is a raw, untranslated field key (an unspaced camelCase/PascalCase run such as HolidayMultiplier or modUser).</li>
<li>4. Assert no header leaks an untranslated i18n placeholder or key path (""{{"", ""}}"", or a dotted key such as localOffice.history.notes).</li>
<li>5. Assert no header is duplicated.</li>
<li>6. Assert the full column set matches the confirmed live contract exactly, in order.</li>
<li>7. Attach the full observed header label list to the HTML report.</li>
</ol>",,,"1. The header row renders at least 20 columns - a conservative floor that still catches a collapsed header row rendering only the audit columns.
2. No header is an empty string.
3. No header matches the raw-field-key pattern; the failure message lists any that do. NM-854 requires every header to render through the i18n translation function.
4. No header contains an i18n placeholder; the failure message lists any that do.
5. The set of distinct header labels is the same size as the header list.
6. The header list equals all 42 confirmed labels in render order. Hardened from case-insensitive subset matching after the first live run recorded the exact translated labels, so a renamed, reordered, added or dropped column now fails with a precise diff.
7. The attachment records the exact live labels for future comparison.",,,,Master,S1620,Test Case (Steps),Regression,,,
,Identifier and date-offset columns are present in the history grid,,,,,Automated,Omeesha Mahanta,,,Every one of the seven fields resolves to exactly one column; the failure message names any field that is not captured in history.,,,"local-office,ect-settings,basic-information,location-settings-history",,"Office 1604 (Parker Palm Springs) is open in Navigator, logged in as the automation user with full location-edit permissions. Location Settings History tab is loaded and active (TC-LOE-HIST-001 has run).

Test Data:
User: automation user (location-edit permission)
Location: office 1604 - Parker Palm Springs
Application: Navigator
Sample input 1: Local Office ID, Prep Date Offset, Return Date Offset
Sample input 2: Set Date Offset, Strike Date Offset, Pickup Date Offset, Delivery Date Offset",High,,Location_Settings_History,1,,Local_Office > Location_Settings_History,"<ol>
<li>1. Resolve NM-854's seven identifier and date-offset fields against the live header row, case- and separator-insensitively.</li>
</ol>",,,1. Every one of the seven fields resolves to exactly one column; the failure message names any field that is not captured in history.,,,,Master,S1620,Test Case (Steps),Regression,,,
,Feature-toggle and boolean columns are present in the history grid,,,,,Automated,Omeesha Mahanta,,,"Every one of the sixteen fields resolves to exactly one column. The failure message names the absent fields by name, so a missing-field-capture regression identifies WHICH field was dropped rather than only reporting a short count.",,,"local-office,ect-settings,basic-information,location-settings-history",,"Office 1604 (Parker Palm Springs) is open in Navigator, logged in as the automation user with full location-edit permissions. Location Settings History tab is loaded and active (TC-LOE-HIST-001 has run).

Test Data:
User: automation user (location-edit permission)
Location: office 1604 - Parker Palm Springs
Application: Navigator
Sample input 1: Use Fulfillment, Use Availability, Use Equip QC, Print Description
Sample input 2: Use Subrent Service Type, Use Default Section, Use On Quote, Use On ROD RO
Sample input 3: PMS Account Enabled, Default Job One Day Event/Outside/Internal
Sample input 4: Default Labor To Hourly, Same Priority On Status Change, Request Items Return To Availability, Recalc Labor Hours",High,,Location_Settings_History,1,,Local_Office > Location_Settings_History,"<ol>
<li>1. Resolve NM-854's sixteen feature-toggle/boolean fields against the live header row.</li>
</ol>",,,"1. Every one of the sixteen fields resolves to exactly one column. The failure message names the absent fields by name, so a missing-field-capture regression identifies WHICH field was dropped rather than only reporting a short count.",,,,Master,S1620,Test Case (Steps),Regression,,,
