ID,Title,AI Automated Test,AI Model,AI Type,Attachments,Automation Type,Created By,Created On,Estimate,Expected Result,Forecast,Goals,Labels,Mission,Preconditions,Priority,References,Section,Section Depth,Section Description,Section Hierarchy,Steps,Steps,Steps (Additional Info),Steps (Expected Result),Steps (References),Steps (Shared step ID),Steps (Step),Suite,Suite ID,Template,Type,Updated By,Updated On,is_converted
,Override screen loads with Equipment selected by default,,,,,Automated,,,,The Override screen loads and the Equipment tab is selected by default,,,"corporate-pricing-pg-override,functional",,"Authenticated on office 1604

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Grid_Equipment_Labor,1,,Corporate_Pricing_Pg_Override > Grid_Equipment_Labor,"<ol>
<li>1. Navigate to the Product Group Override screen</li>
<li>2. Read the active tab</li>
</ol>",,,"1. The Product Group Override screen loads and is displayed.
2. The Override screen loads and the Equipment tab is selected by default",,,,Master,S1620,Test Case (Steps),Regression,,,
,Equipment + Labor tabs render and switching flips,,,,,Automated,,,,Both tabs render; switching updates the active tab,,,"corporate-pricing-pg-override,functional",,"On the Override screen with a location selected

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Grid_Equipment_Labor,1,,Corporate_Pricing_Pg_Override > Grid_Equipment_Labor,"<ol>
<li>1. Click the Labor tab</li>
<li>2. Click the Equipment tab</li>
</ol>",,,"1. The Labor tab becomes active and its content is displayed.
2. Both tabs render; switching updates the active tab",,,,Master,S1620,Test Case (Steps),Regression,,,
,Grid renders all column headers,,,,,Automated,,,,"All columns render, including the Updated By column",,,"corporate-pricing-pg-override,functional",,"On the Override screen with 1604 selected

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Grid_Equipment_Labor,1,,Corporate_Pricing_Pg_Override > Grid_Equipment_Labor,"<ol>
<li>1. Read the grid column headers</li>
</ol>",,,"1. All columns render, including the Updated By column",,,,Master,S1620,Test Case (Steps),Regression,,,
,Current Price column renders a value,,,,,Automated,,,,"The Current Price column displays a value (e.g. ""0.00""), not an empty cell",,,"corporate-pricing-pg-override,functional",,"On the Override screen with 1604 selected

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Grid_Equipment_Labor,1,,Corporate_Pricing_Pg_Override > Grid_Equipment_Labor,"<ol>
<li>1. Read the Current Price cell of the anchor row</li>
</ol>",,,"1. The Current Price column displays a value (e.g. ""0.00""), not an empty cell",,,,Master,S1620,Test Case (Steps),Regression,,,
,Active column renders as a checkbox with a readable checked state,,,,,Automated,,,,The Active column renders as a checkbox whose checked / unchecked state is readable,,,"corporate-pricing-pg-override,functional",,"On the Override screen with 1604 selected

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Grid_Equipment_Labor,1,,Corporate_Pricing_Pg_Override > Grid_Equipment_Labor,"<ol>
<li>1. Read the Active cell of the anchor row</li>
</ol>",,,1. The Active column renders as a checkbox whose checked / unchecked state is readable,,,,Master,S1620,Test Case (Steps),Regression,,,
,Labor tab shows the empty state for office 1604 with headers rendered,,,,,Automated,,,,Office 1604 has no Labor overrides - the Labor grid is empty (0 rows) but the structure (headers) still renders,,,"corporate-pricing-pg-override,functional",,"On the Override screen with 1604 selected

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Grid_Equipment_Labor,1,,Corporate_Pricing_Pg_Override > Grid_Equipment_Labor,"<ol>
<li>1. Switch to the Labor tab</li>
<li>2. Read the grid</li>
</ol>",,,"1. The Labor tab becomes active and its grid is displayed.
2. Office 1604 has no Labor overrides - the Labor grid is empty (0 rows) but the structure (headers) still renders",,,,Master,S1620,Test Case (Steps),Regression,,,
,Rows-per-page offers 10/20/30/40/50,,,,,Automated,,,,The rows-per-page control offers 10/20/30/40/50 (default 20),,,"corporate-pricing-pg-override,functional",,"On the Override screen with 1604 selected

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Grid_Equipment_Labor,1,,Corporate_Pricing_Pg_Override > Grid_Equipment_Labor,"<ol>
<li>1. Open the rows-per-page control</li>
<li>2. Read the list</li>
</ol>",,,"1. The rows-per-page control opens and displays its list of values.
2. The rows-per-page control offers 10/20/30/40/50 (default 20)",,,,Master,S1620,Test Case (Steps),Regression,,,
,Clicking the Override Price cell reveals an editable numeric input,,,,,Automated,,,,The Override Price cell is click-to-edit - clicking reveals an editable numeric input pre-filled with the current value,,,"corporate-pricing-pg-override,functional",,"On the Override screen with 1604 selected

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Grid_Equipment_Labor,1,,Corporate_Pricing_Pg_Override > Grid_Equipment_Labor,"<ol>
<li>1. Click the Override Price cell of the anchor row</li>
<li>2. Read the editor value, then press Escape (no change)</li>
</ol>",,,"1. The Override Price cell switches to edit mode and displays a numeric input.
2. The Override Price cell is click-to-edit - clicking reveals an editable numeric input pre-filled with the current value",,,,Master,S1620,Test Case (Steps),Regression,,,
,Editing the Override Price enables Save,,,,,Automated,,,,Committing a new Override Price dirties the form (Save enables),,,"corporate-pricing-pg-override,functional",,"On the Override screen with 1604 selected

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Grid_Equipment_Labor,1,,Corporate_Pricing_Pg_Override > Grid_Equipment_Labor,"<ol>
<li>1. Edit the Override Price to a new value and commit (Enter)</li>
<li>2. Observe the Save button</li>
</ol>",,,"1. The new value is committed and the Override Price editor closes.
2. Committing a new Override Price dirties the form (Save enables)",,,,Master,S1620,Test Case (Steps),Regression,,,
,Reverting the Override Price to its original value disables Save,,,,,Automated,,,,"Reverting to the saved value leaves the form with no net change, so the Save button becomes disabled again",,,"corporate-pricing-pg-override,functional",,"On the Override screen with 1604 selected

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Grid_Equipment_Labor,1,,Corporate_Pricing_Pg_Override > Grid_Equipment_Labor,"<ol>
<li>1. Edit the Override Price to a new value</li>
<li>2. Edit it back to the original saved value</li>
</ol>",,,"1. The new value commits and the Save button becomes enabled.
2. Reverting to the saved value leaves the form with no net change, so the Save button becomes disabled again",,,,Master,S1620,Test Case (Steps),Regression,,,
,Override Price accepts a decimal value,,,,,Automated,,,,The Override Price accepts a decimal value. (No commit - discarded on the next navigation.),,,"corporate-pricing-pg-override,functional",,"On the Override screen with 1604 selected

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Grid_Equipment_Labor,1,,Corporate_Pricing_Pg_Override > Grid_Equipment_Labor,"<ol>
<li>1. Edit the Override Price to a decimal (e.g. 123.45) and commit</li>
</ol>",,,1. The Override Price accepts a decimal value. (No commit - discarded on the next navigation.),,,,Master,S1620,Test Case (Steps),Regression,,,
