ID,Title,AI Automated Test,AI Model,AI Type,Attachments,Automation Type,Created By,Created On,Estimate,Expected Result,Forecast,Goals,Labels,Mission,Preconditions,Priority,References,Section,Section Depth,Section Description,Section Hierarchy,Steps,Steps,Steps (Additional Info),Steps (Expected Result),Steps (References),Steps (Shared step ID),Steps (Step),Suite,Suite ID,Template,Type,Updated By,Updated On,is_converted
,ECT Settings tab loads with all four sections and expected header,,,,,Automated,Omeesha Mahanta,,,"Heading reads ""SubRental Matrix""; the table's columns are exactly Lower Limit, Upper Limit, Subrental Percentage, Currency; the table body has at least one row.",,,"local-office,ect-settings,basic-information",,"Office 1604 (Parker Palm Springs) is open in Navigator, logged in as the automation user with full location-edit and labor-cost-edit permissions. Basic Information tab is active.

Test Data:
User: automation user (location-edit permission)
Location: office 1604 - Parker Palm Springs
Application: Navigator
Sample input 1: ""1604 - Parker Palm Springs""
Sample input 2: ""USD""",Medium,,Ect_Settings,1,,Local_Office > Ect_Settings,"<ol>
<li>1. Navigate to office 1604 in Navigator, open Local Office Settings, and open the ECT Settings tab (the tab's own load logic retries with a reload if the panel briefly shows ""No data available"" or ""No currencies for selected location"").</li>
<li>2. Verify the header area: the location name label, the ""Edit/View"" caption, the Commission structure link, and the currency dropdown.</li>
<li>3. Verify the Event Profit Target section.</li>
<li>4. Verify the Fixed Costs panel's display-only fields: Venue Fixed Costs, SG&amp;A %, Other Rate, No Labor Rate, Approval Threshold, Peak Labor Adjustment %, Non-Peak Labor Adjustment %.</li>
<li>5. Verify the Fixed Costs panel's editable fields (Benefits Multiplier, Historical Subrental %), its Save button, and its description text.</li>
<li>6. Verify the Labor Cost Assumptions section.</li>
<li>7. Verify the SubRental Matrix section.</li>
</ol>",,,"1. The ECT Settings tab becomes selected (aria-selected=""true"").
2. The location label reads ""1604 - Parker Palm Springs""; the Commission structure link is visible; the currency dropdown shows ""USD""; the header caption contains ""Edit/View"".
3. Heading reads ""Event Profit Target""; the table's columns are exactly Lower Limit, Upper Limit, Target, Currency; the table body has at least one row.
4. Every one of the seven display-only fields shows a non-blank value.
5. Both editable fields show non-blank values; the Fixed Costs Save button is disabled; at least 3 description paragraphs render below the fields.
6. Heading reads ""Labor Cost Assumptions""; its Save button is disabled; the table's columns are exactly Labor Class, Labor Cost; the table body has more than one row.
7. Heading reads ""SubRental Matrix""; the table's columns are exactly Lower Limit, Upper Limit, Subrental Percentage, Currency; the table body has at least one row.",,,,Master,S1620,Test Case (Steps),Regression,,,
,Event Profit Target and SubRental Matrix tables are fully read-only; Labor Class column is read-only,,,,,Automated,Omeesha Mahanta,,,The Labor Class column is read-only; the Labor Cost column is editable — only the Labor Cost column is editable in this grid.,,,"local-office,ect-settings,basic-information",,"Office 1604 is open in Navigator, logged in as the automation user with full location-edit and labor-cost-edit permissions. ECT Settings tab is loaded and active (TC-LOE-ECT-001 has run).

Test Data:
User: automation user (location-edit permission)
Location: office 1604 - Parker Palm Springs
Application: Navigator
Sample input 1: ""Event Profit Target""
Sample input 2: ""SubRental Matrix""
Sample input 3: ""Labor Class""",Medium,,Ect_Settings,1,,Local_Office > Ect_Settings,"<ol>
<li>1. Query the Event Profit Target table for any input or textarea element across every row and column.</li>
<li>2. Double-click a cell in the first row of the Event Profit Target table.</li>
<li>3. Query the SubRental Matrix table for any input or textarea element across every row and column.</li>
<li>4. Double-click a cell in the first row of the SubRental Matrix table.</li>
<li>5. In the Labor Cost Assumptions grid, verify the Labor Class column (first cell of each row) has no input element, and the Labor Cost column (second cell) does.</li>
</ol>",,,"1. Zero editable elements are found; the table is fully read-only.
2. The table remains fully read-only afterward; no edit affordance appears.
3. Zero editable elements are found; the table is fully read-only.
4. The table remains fully read-only afterward.
5. The Labor Class column is read-only; the Labor Cost column is editable — only the Labor Cost column is editable in this grid.",,,,Master,S1620,Test Case (Steps),Regression,,,
,Benefits Multiplier required-field rejection when cleared,,,,,Automated,Omeesha Mahanta,,,"Benefits Multiplier is restored to its default value ""20.0%"" (nothing was saved, so a fresh reload resets the field).",,,"local-office,ect-settings,basic-information",,"Office 1604 is open in Navigator, logged in as the automation user with full location-edit and labor-cost-edit permissions. ECT Settings tab is loaded and active (TC-LOE-ECT-001 has run).

Test Data:
User: automation user (location-edit permission)
Location: office 1604 - Parker Palm Springs
Application: Navigator
Sample input 1: ""Benefits Multiplier""
Sample input 2: ""20.0%""",Medium,,Ect_Settings,1,,Local_Office > Ect_Settings,"<ol>
<li>1. Confirm the Benefits Multiplier field currently shows its default value.</li>
<li>2. Click into the field, select all (Ctrl+A), clear it, and press Tab to blur.</li>
<li>3. Reload the page and re-navigate to the ECT Settings tab.</li>
</ol>",,,"1. Field shows ""20.0%"".
2. Field value becomes empty; the field is marked invalid; the Fixed Costs Save button remains disabled.
3. Benefits Multiplier is restored to its default value ""20.0%"" (nothing was saved, so a fresh reload resets the field).",,,,Master,S1620,Test Case (Steps),Regression,,,
,Benefits Multiplier rejects non-numeric and negative input; an extremely long numeric input does not crash the UI,,,,,Automated,Omeesha Mahanta,,,"Benefits Multiplier is restored to its default value ""20.0%"" — nothing from this test was ever saved.",,,"local-office,ect-settings,basic-information",,"Office 1604 is open in Navigator, logged in as the automation user with full location-edit and labor-cost-edit permissions. ECT Settings tab is loaded and active (TC-LOE-ECT-001 has run).

Test Data:
User: automation user (location-edit permission)
Location: office 1604 - Parker Palm Springs
Application: Navigator
Sample input 1: ""Benefits Multiplier""
Sample input 2: ""abc""
Sample input 3: ""-5""
Sample input 4: ""99999999999999999999""",Medium,,Ect_Settings,1,,Local_Office > Ect_Settings,"<ol>
<li>1. Type ""abc"" into Benefits Multiplier and press Tab to blur.</li>
<li>2. Type a negative value ""-5"" into Benefits Multiplier and press Tab to blur.</li>
<li>3. Type a 20+ digit numeric string (""99999999999999999999"") into Benefits Multiplier and press Tab to blur.</li>
<li>4. Reload the page and re-navigate to the ECT Settings tab.</li>
</ol>",,,"1. Field is wiped to empty and marked invalid; the Fixed Costs Save button remains disabled.
2. Field is wiped to empty and marked invalid (negative values are rejected, not treated as positive); the Fixed Costs Save button remains disabled.
3. The displayed value is not blank and does not contain ""NaN"" (floating-point precision loss in the displayed percentage is an acceptable, documented outcome; a crash, freeze, or NaN would not be).
4. Benefits Multiplier is restored to its default value ""20.0%"" — nothing from this test was ever saved.",,,,Master,S1620,Test Case (Steps),Regression,,,
,"Benefits Multiplier accepts a valid decimal, and unsaved edits are fully discarded via tab-switch (Stay/Discard) and via a hard reload",,,,,Automated,Omeesha Mahanta,,,"The reload lands on the default Basic Information tab, not ECT Settings (tab selection is not preserved across a hard reload); Benefits Multiplier shows its default value ""20.0%"" again and the Fixed Costs Save button is disabled — the unsaved edit was discarded by the reload itself.",,,"local-office,ect-settings,basic-information",,"Office 1604 is open in Navigator, logged in as the automation user with full location-edit and labor-cost-edit permissions. ECT Settings tab is loaded and active (TC-LOE-ECT-001 has run).

Test Data:
User: automation user (location-edit permission)
Location: office 1604 - Parker Palm Springs
Application: Navigator
Sample input 1: ""Benefits Multiplier""
Sample input 2: ""0.25"" (valid decimal)
Sample input 3: ""0.21"" (alt test value)",Medium,,Ect_Settings,1,,Local_Office > Ect_Settings,"<ol>
<li>1. Type the valid decimal test value into Benefits Multiplier and press Tab to blur.</li>
<li>2. Click back into the field to inspect the raw edit-mode value.</li>
<li>3. Press Tab, then click the ""Location Settings History"" tab directly while the edit is unsaved.</li>
<li>4. Click ""Stay"" on the dialog.</li>
<li>5. Click the ""Basic Information"" tab directly, then click ""Discard"" on the resulting Unsaved Changes dialog.</li>
<li>6. Navigate back to the ECT Settings tab.</li>
<li>7. Type a different valid value (""0.21"") into Benefits Multiplier, press Tab to blur, then trigger a hard page reload.</li>
<li>8. Accept the native dialog to let the reload complete, wait for the Basic Information form to render, then re-navigate to the ECT Settings tab.</li>
</ol>",,,"1. Field is valid; displays the expected formatted percentage ""25.0%""; the Fixed Costs Save button becomes enabled.
2. The raw input value while focused is the un-formatted decimal ""0.25"" — percentage formatting is display-only, applied on blur.
3. The ""Unsaved changes"" alert dialog appears.
4. Dialog closes; the app remains on the ECT Settings tab; Benefits Multiplier still shows ""25.0%"" and the Fixed Costs Save button is still enabled.
5. Navigation to the Basic Information tab completes.
6. Benefits Multiplier has reverted to its default value ""20.0%""; the Fixed Costs Save button is disabled.
7. Before the reload, the Fixed Costs Save button is enabled; the reload triggers the browser's NATIVE beforeunload confirmation dialog (distinct from the app's own ""Unsaved changes"" dialog).
8. The reload lands on the default Basic Information tab, not ECT Settings (tab selection is not preserved across a hard reload); Benefits Multiplier shows its default value ""20.0%"" again and the Fixed Costs Save button is disabled — the unsaved edit was discarded by the reload itself.",,,,Master,S1620,Test Case (Steps),Regression,,,
,Historical Subrental % required-field rejection when cleared,,,,,Automated,Omeesha Mahanta,,,"Historical Subrental % is restored to its default value ""0.0%"".",,,"local-office,ect-settings,basic-information",,"Office 1604 is open in Navigator, logged in as the automation user with full location-edit and labor-cost-edit permissions. ECT Settings tab is loaded and active (TC-LOE-ECT-001 has run).

Test Data:
User: automation user (location-edit permission)
Location: office 1604 - Parker Palm Springs
Application: Navigator
Sample input 1: ""Historical Subrental %""
Sample input 2: ""0.0%""",Medium,,Ect_Settings,1,,Local_Office > Ect_Settings,"<ol>
<li>1. Confirm the Historical Subrental % field currently shows its default value.</li>
<li>2. Click into the field, select all, clear it, and press Tab to blur.</li>
<li>3. Reload the page and re-navigate to the ECT Settings tab.</li>
</ol>",,,"1. Field shows ""0.0%"".
2. Field value becomes empty; the field is marked invalid; the Fixed Costs Save button remains disabled.
3. Historical Subrental % is restored to its default value ""0.0%"".",,,,Master,S1620,Test Case (Steps),Regression,,,
,Historical Subrental % rejects non-numeric and negative input,,,,,Automated,Omeesha Mahanta,,,"Historical Subrental % is restored to its default value ""0.0%"".",,,"local-office,ect-settings,basic-information",,"Office 1604 is open in Navigator, logged in as the automation user with full location-edit and labor-cost-edit permissions. ECT Settings tab is loaded and active (TC-LOE-ECT-001 has run).

Test Data:
User: automation user (location-edit permission)
Location: office 1604 - Parker Palm Springs
Application: Navigator
Sample input 1: ""Historical Subrental %""
Sample input 2: ""abc""
Sample input 3: ""-1""",Medium,,Ect_Settings,1,,Local_Office > Ect_Settings,"<ol>
<li>1. Type ""abc"" into Historical Subrental % and press Tab to blur.</li>
<li>2. Type a negative value ""-1"" into Historical Subrental % and press Tab to blur.</li>
<li>3. Reload the page and re-navigate to the ECT Settings tab.</li>
</ol>",,,"1. Field is wiped to empty and marked invalid; the Fixed Costs Save button remains disabled.
2. Field is wiped to empty and marked invalid (negative rejected, not treated as positive — matches Benefits Multiplier's behavior); the Fixed Costs Save button remains disabled.
3. Historical Subrental % is restored to its default value ""0.0%"".",,,,Master,S1620,Test Case (Steps),Regression,,,
,Historical Subrental % accepts a valid decimal and an extremely long numeric value without crashing; unsaved edit is discarded,,,,,Automated,Omeesha Mahanta,,,"Historical Subrental % has reverted to its default value ""0.0%""; the Fixed Costs Save button is disabled — nothing from this test was ever saved.",,,"local-office,ect-settings,basic-information",,"Office 1604 is open in Navigator, logged in as the automation user with full location-edit and labor-cost-edit permissions. ECT Settings tab is loaded and active (TC-LOE-ECT-001 has run).

Test Data:
User: automation user (location-edit permission)
Location: office 1604 - Parker Palm Springs
Application: Navigator
Sample input 1: ""Historical Subrental %""
Sample input 2: ""0.1"" (valid decimal)
Sample input 3: ""99999999999999999999""",Medium,,Ect_Settings,1,,Local_Office > Ect_Settings,"<ol>
<li>1. Type the valid decimal test value into Historical Subrental % and press Tab to blur.</li>
<li>2. Type a 20+ digit numeric string (""99999999999999999999"") into Historical Subrental % and press Tab to blur.</li>
<li>3. Click the ""Basic Information"" tab directly, click ""Discard"" on the Unsaved Changes dialog, then navigate back to the ECT Settings tab.</li>
</ol>",,,"1. Field is valid; displays the expected formatted percentage ""10.0%""; the Fixed Costs Save button becomes enabled.
2. The displayed value is not blank and does not contain ""NaN"" (precision loss in the displayed percentage is an acceptable, documented outcome; a crash, freeze, or NaN would not be).
3. Historical Subrental % has reverted to its default value ""0.0%""; the Fixed Costs Save button is disabled — nothing from this test was ever saved.",,,,Master,S1620,Test Case (Steps),Regression,,,
,"Editing Benefits Multiplier enables only the Fixed Costs Save button, never Labor Cost Assumptions Save, and the saved value persists after restore",,,,,Automated,Omeesha Mahanta,,,"Benefits Multiplier displays its default value ""20.0%"" again; both the Fixed Costs Save and Labor Cost Assumptions Save buttons are disabled, leaving office 1604 clean.",,,"local-office,ect-settings,basic-information",,"Office 1604 is open in Navigator, logged in as the automation user with full location-edit and labor-cost-edit permissions. ECT Settings tab is loaded and active (TC-LOE-ECT-001 has run).

Test Data:
User: automation user (location-edit permission)
Location: office 1604 - Parker Palm Springs
Application: Navigator
Sample input 1: ""Benefits Multiplier""
Sample input 2: ""0.21"" (alt test value)
Sample input 3: ""21.0%""",High,,Ect_Settings,1,,Local_Office > Ect_Settings,"<ol>
<li>1. On a fresh load, confirm both the Fixed Costs Save button and the Labor Cost Assumptions Save button are disabled.</li>
<li>2. Type a new valid value (""0.21"") into Benefits Multiplier and press Tab to blur.</li>
<li>3. Click the Fixed Costs Save button, then reload the page and re-navigate to the ECT Settings tab.</li>
<li>4. Restore Benefits Multiplier to its original value (""0.2""), press Tab to blur, click the Fixed Costs Save button again, and reload and re-navigate to the ECT Settings tab.</li>
</ol>",,,"1. Both Save buttons are disabled.
2. Fixed Costs Save button becomes enabled; Labor Cost Assumptions Save button remains disabled.
3. The saved value (""21.0%"") is confirmed present after the reload.
4. Benefits Multiplier displays its default value ""20.0%"" again; both the Fixed Costs Save and Labor Cost Assumptions Save buttons are disabled, leaving office 1604 clean.",,,,Master,S1620,Test Case (Steps),Regression,,,
,"Editing a Labor Cost rate enables its Save button independently of Fixed Costs Save, and the change persists after reload",,,,,Automated,Omeesha Mahanta,,,"The first row's Labor Cost value is back to its original ""41.00"", leaving office 1604 clean.",,,"local-office,ect-settings,basic-information",,"Office 1604 is open in Navigator, logged in as the automation user with full location-edit and labor-cost-edit permissions. ECT Settings tab is loaded and active (TC-LOE-ECT-001 has run).

Test Data:
User: automation user (location-edit permission)
Location: office 1604 - Parker Palm Springs
Application: Navigator
Sample input 1: ""Administrative Fee""
Sample input 2: ""41.00"" (original)
Sample input 3: ""42"" (test value)",High,,Ect_Settings,1,,Local_Office > Ect_Settings,"<ol>
<li>1. Confirm the first row's Labor Class name and current Labor Cost value match the known baseline (""Administrative Fee"", ""41.00""); confirm both Save buttons are disabled.</li>
<li>2. Edit the first row's Labor Cost value to ""42"" and press Tab to blur.</li>
<li>3. Click the Labor Cost Assumptions Save button.</li>
<li>4. Reload the page and re-navigate to the ECT Settings tab.</li>
<li>5. Restore the row to its original value (""41"" → ""41.00""), press Tab, click Save again, then reload and re-navigate to the ECT Settings tab.</li>
</ol>",,,"1. Values match the baseline; both Save buttons are disabled.
2. Cell displays ""42.00"" (2-decimal formatting); the Labor Cost Assumptions Save button becomes enabled; the Fixed Costs Save button remains disabled (independence confirmed).
3. Labor Cost Assumptions Save button returns to disabled once the save completes.
4. The first row's Labor Cost value shows the saved ""42.00"".
5. The first row's Labor Cost value is back to its original ""41.00"", leaving office 1604 clean.",,,,Master,S1620,Test Case (Steps),Regression,,,
