ID,Title,AI Automated Test,AI Model,AI Type,Attachments,Automation Type,Created By,Created On,Estimate,Expected Result,Forecast,Goals,Labels,Mission,Preconditions,Priority,References,Section,Section Depth,Section Description,Section Hierarchy,Steps,Steps,Steps (Additional Info),Steps (Expected Result),Steps (References),Steps (Shared step ID),Steps (Step),Suite,Suite ID,Template,Type,Updated By,Updated On,is_converted
,Language filter offers five options,,,,,Automated,Omeesha Mahanta,,,"The list shows five options: All, English (Canada), US English, Spanish (Mexico), and French (Canada)",,,terms-conditions,,"The Terms and Conditions page is open for office 1604. Language: US English (default)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Core,1,,Terms_Conditions > Core,"<ol>
<li>1. Open the page-level Language filter</li>
</ol>",,,"1. The list shows five options: All, English (Canada), US English, Spanish (Mexico), and French (Canada)",,,,Master,S1620,Test Case (Steps),Regression,,,
,Language filter defaults to US English,,,,,Automated,Omeesha Mahanta,,,The filter shows US English,,,terms-conditions,,"The Terms and Conditions page has just been opened for office 1604 in a fresh navigation. Language: US English (expected default)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Core,1,,Terms_Conditions > Core,"<ol>
<li>1. Read the current value of the page-level Language filter</li>
</ol>",,,1. The filter shows US English,,,,Master,S1620,Test Case (Steps),Regression,,,
,Selecting a language filters the grid rows,,,,,Automated,Omeesha Mahanta,,,All visible rows have language English (Canada),,,terms-conditions,,"The Terms and Conditions page is open for office 1604. Language: US English (default)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Core,1,,Terms_Conditions > Core,"<ol>
<li>1. Note the rows currently displayed under the US English filter</li>
<li>2. Select English (Canada) in the page-level filter</li>
<li>3. Verify every visible row has language English (Canada)</li>
</ol>",,,"1. The row count is recorded
2. The grid reloads and shows only rows whose language is English (Canada)
3. All visible rows have language English (Canada)",,,,Master,S1620,Test Case (Steps),Regression,,,
,Selecting All shows rows across all languages,,,,,Automated,Omeesha Mahanta,,,The grid shows rows from all languages; the count is at least as many as the single-language count,,,terms-conditions,,"The Terms and Conditions page is open for office 1604. Language: US English (default)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Core,1,,Terms_Conditions > Core,"<ol>
<li>1. Select a single language and note the row count</li>
<li>2. Select All in the page-level filter</li>
</ol>",,,"1. The row count for that language is recorded
2. The grid shows rows from all languages; the count is at least as many as the single-language count",,,,Master,S1620,Test Case (Steps),Regression,,,
,Language filter first option is All,,,,,Automated,Omeesha Mahanta,,,The first option in the list is All,,,terms-conditions,,"The Terms and Conditions page is open for office 1604. Language: US English (default)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Core,1,,Terms_Conditions > Core,"<ol>
<li>1. Open the page-level Language filter</li>
</ol>",,,1. The first option in the list is All,,,,Master,S1620,Test Case (Steps),Regression,,,
,Language filter last option is French (Canada),,,,,Automated,Omeesha Mahanta,,,The last option in the list is French (Canada),,,terms-conditions,,"The Terms and Conditions page is open for office 1604. Language: US English (default)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Core,1,,Terms_Conditions > Core,"<ol>
<li>1. Open the page-level Language filter</li>
</ol>",,,1. The last option in the list is French (Canada),,,,Master,S1620,Test Case (Steps),Regression,,,
,Per-row language dropdown offers four options,,,,,Automated,Omeesha Mahanta,,,"The list shows four options: English (Canada), US English, Spanish (Mexico), and French (Canada)",,,terms-conditions,,"The Terms and Conditions page is open for office 1604. Language: US English (default)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Core,1,,Terms_Conditions > Core,"<ol>
<li>1. Open the Language dropdown on a grid row</li>
</ol>",,,"1. The list shows four options: English (Canada), US English, Spanish (Mexico), and French (Canada)",,,,Master,S1620,Test Case (Steps),Regression,,,
,Changing per-row language enables Save,,,,,Automated,Omeesha Mahanta,,,Save becomes enabled,,,terms-conditions,,"The Terms and Conditions page is open for office 1604. Language: US English (default). An existing row with a globally unique name is visible

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Core,1,,Terms_Conditions > Core,"<ol>
<li>1. Note the current language of a row</li>
<li>2. Change the row's language to a different value</li>
</ol>",,,"1. The language is recorded
2. Save becomes enabled",,,,Master,S1620,Test Case (Steps),Regression,,,
,Changing per-row language persists the value,,,,,Automated,Omeesha Mahanta,,,The original state is restored,,,terms-conditions,,"The Terms and Conditions page is open for office 1604. Language: All (to see all rows). An existing row with a globally unique name is visible. The grid contains no residue rows with malformed content that can make the bulk save fail

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Core,1,,Terms_Conditions > Core,"<ol>
<li>1. Change the row's language from its current value to a different language</li>
<li>2. Click Save</li>
<li>3. Reload the page and set the filter to All</li>
<li>4. Locate the row by its name and read its language value</li>
<li>5. Restore the original language and save</li>
</ol>",,,"1. Save becomes enabled
2. Save completes (no confirmation dialog); server returns 2xx
3. The page reloads showing all rows
4. The language matches the value set in step 1
5. The original state is restored",,,,Master,S1620,Test Case (Steps),Regression,,,
,Reverting per-row language to saved value disables Save,,,,,Automated,Omeesha Mahanta,,,Save returns to disabled,,,terms-conditions,,"The Terms and Conditions page is open for office 1604. Language: US English (default). An existing row with a globally unique name is visible

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Core,1,,Terms_Conditions > Core,"<ol>
<li>1. Change a row's language to a different value</li>
<li>2. Change the same row's language back to its original saved value</li>
</ol>",,,"1. Save becomes enabled
2. Save returns to disabled",,,,Master,S1620,Test Case (Steps),Regression,,,
,Name accepts a single character,,,,,Automated,Omeesha Mahanta,,,The character appears in the field; Save becomes enabled,,,terms-conditions,,"The Terms and Conditions page is open for office 1604. Language: US English (default)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Core,1,,Terms_Conditions > Core,"<ol>
<li>1. Add a new row</li>
<li>2. Enter a single unique character into the Name field</li>
</ol>",,,"1. A new row appears at the bottom of the grid with language US English
2. The character appears in the field; Save becomes enabled",,,,Master,S1620,Test Case (Steps),Regression,,,
,Name accepts a mid-length value,,,,,Automated,Omeesha Mahanta,,,The full value appears in the field; Save becomes enabled,,,terms-conditions,,"The Terms and Conditions page is open for office 1604. Language: US English (default)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Core,1,,Terms_Conditions > Core,"<ol>
<li>1. Enter a unique 50-character value into a Name field</li>
</ol>",,,1. The full value appears in the field; Save becomes enabled,,,,Master,S1620,Test Case (Steps),Regression,,,
,Name accepts 260 characters,,,,,Automated,Omeesha Mahanta,,,The full 260-character value is accepted; Save becomes enabled,,,terms-conditions,,"The Terms and Conditions page is open for office 1604. Language: US English (default)

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator",Medium,,Core,1,,Terms_Conditions > Core,"<ol>
<li>1. Enter a unique 260-character value into a Name field</li>
</ol>",,,1. The full 260-character value is accepted; Save becomes enabled,,,,Master,S1620,Test Case (Steps),Regression,,,
