ID,Title,AI Automated Test,AI Model,AI Type,Attachments,Automation Type,Created By,Created On,Estimate,Expected Result,Forecast,Goals,Labels,Mission,Preconditions,Priority,References,Section,Section Depth,Section Description,Section Hierarchy,Steps,Steps,Steps (Additional Info),Steps (Expected Result),Steps (References),Steps (Shared step ID),Steps (Step),Suite,Suite ID,Template,Type,Updated By,Updated On,is_converted
,Navigate to the Pricing sub-tab; settings panel and grid both render,,,,,Automated,Omeesha Mahanta,,,Navigate to the Pricing sub-tab; settings panel and grid both render,,,locations,,"Office 1606 is open in Navigator. The Pricing sub-tab is active and the stored grid view preference has been reset

Test Data:
User: automation user (location-edit permission)
Location: test office 1606
Application: Navigator
Sub-tab: ""Pricing""",Medium,,Pricing,1,,Locations > Pricing,"<ol>
<li>1. Navigate to Setup > Location > 1606 > ""Basic Information"" tab</li>
<li>2. Click the ""Pricing"" sub-tab</li>
<li>3. Navigate to the Pricing sub-tab; settings panel and grid both render</li>
</ol>",,,"1. The Basic Information tab for location 1606 is displayed
2. The Pricing sub-tab becomes active; the Pricing settings panel and the Location Secondary Pricing grid are displayed
3. Navigate to the Pricing sub-tab; settings panel and grid both render",,,,Master,S1620,Test Case (Steps),Regression,,,
,"Pricing settings panel renders its four controls, all enabled",,,,,Automated,Omeesha Mahanta,,,"Pricing settings panel renders its four controls, all enabled",,,locations,,"Office 1606 is open in Navigator. The Pricing sub-tab is active and the stored grid view preference has been reset

Test Data:
User: automation user (location-edit permission)
Location: test office 1606
Application: Navigator
Sub-tab: ""Pricing""",Medium,,Pricing,1,,Locations > Pricing,"<ol>
<li>1. Navigate to Setup > Location > 1606 > ""Basic Information"" tab</li>
<li>2. Click the ""Pricing"" sub-tab</li>
<li>3. Pricing settings panel renders its four controls, all enabled</li>
</ol>",,,"1. The Basic Information tab for location 1606 is displayed
2. The Pricing sub-tab becomes active; the Pricing settings panel and the Location Secondary Pricing grid are displayed
3. Pricing settings panel renders its four controls, all enabled",,,,Master,S1620,Test Case (Steps),Regression,,,
,Default checkbox states on 1606,,,,,Automated,Omeesha Mahanta,,,Default checkbox states on 1606,,,locations,,"Office 1606 is open in Navigator. The Pricing sub-tab is active and the stored grid view preference has been reset

Test Data:
User: automation user (location-edit permission)
Location: test office 1606
Application: Navigator
Sub-tab: ""Pricing""",Medium,,Pricing,1,,Locations > Pricing,"<ol>
<li>1. Navigate to Setup > Location > 1606 > ""Basic Information"" tab</li>
<li>2. Click the ""Pricing"" sub-tab</li>
<li>3. Default checkbox states on 1606</li>
</ol>",,,"1. The Basic Information tab for location 1606 is displayed
2. The Pricing sub-tab becomes active; the Pricing settings panel and the Location Secondary Pricing grid are displayed
3. Default checkbox states on 1606",,,,Master,S1620,Test Case (Steps),Regression,,,
,"USD currency group renders 5 primary pricing dropdowns, all enabled",,,,,Automated,Omeesha Mahanta,,,"USD currency group renders 5 primary pricing dropdowns, all enabled",,,locations,,"Office 1606 is open in Navigator. The Pricing sub-tab is active and the stored grid view preference has been reset

Test Data:
User: automation user (location-edit permission)
Location: test office 1606
Application: Navigator
Sub-tab: ""Pricing""",Medium,,Pricing,1,,Locations > Pricing,"<ol>
<li>1. Navigate to Setup > Location > 1606 > ""Basic Information"" tab</li>
<li>2. Click the ""Pricing"" sub-tab</li>
<li>3. USD currency group renders 5 primary pricing dropdowns, all enabled</li>
</ol>",,,"1. The Basic Information tab for location 1606 is displayed
2. The Pricing sub-tab becomes active; the Pricing settings panel and the Location Secondary Pricing grid are displayed
3. USD currency group renders 5 primary pricing dropdowns, all enabled",,,,Master,S1620,Test Case (Steps),Regression,,,
,"Primary dropdowns hold a bound value, not the pre-render placeholder",,,,,Automated,Omeesha Mahanta,,,"Primary dropdowns hold a bound value, not the pre-render placeholder",,,locations,,"Office 1606 is open in Navigator. The Pricing sub-tab is active and the stored grid view preference has been reset

Test Data:
User: automation user (location-edit permission)
Location: test office 1606
Application: Navigator
Sub-tab: ""Pricing""",Medium,,Pricing,1,,Locations > Pricing,"<ol>
<li>1. Navigate to Setup > Location > 1606 > ""Basic Information"" tab</li>
<li>2. Click the ""Pricing"" sub-tab</li>
<li>3. Primary dropdowns hold a bound value, not the pre-render placeholder</li>
</ol>",,,"1. The Basic Information tab for location 1606 is displayed
2. The Pricing sub-tab becomes active; the Pricing settings panel and the Location Secondary Pricing grid are displayed
3. Primary dropdowns hold a bound value, not the pre-render placeholder",,,,Master,S1620,Test Case (Steps),Regression,,,
,Secondary pricing grid renders all 7 column headers in order,,,,,Automated,Omeesha Mahanta,,,Secondary pricing grid renders all 7 column headers in order,,,locations,,"Office 1606 is open in Navigator. The Pricing sub-tab is active and the stored grid view preference has been reset

Test Data:
User: automation user (location-edit permission)
Location: test office 1606
Application: Navigator
Sub-tab: ""Pricing""",Medium,,Pricing,1,,Locations > Pricing,"<ol>
<li>1. Navigate to Setup > Location > 1606 > ""Basic Information"" tab</li>
<li>2. Click the ""Pricing"" sub-tab</li>
<li>3. Secondary pricing grid renders all 7 column headers in order</li>
</ol>",,,"1. The Basic Information tab for location 1606 is displayed
2. The Pricing sub-tab becomes active; the Pricing settings panel and the Location Secondary Pricing grid are displayed
3. Secondary pricing grid renders all 7 column headers in order",,,,Master,S1620,Test Case (Steps),Regression,,,
,"Grid renders data rows, each exposing Pricing Strategy text",,,,,Automated,Omeesha Mahanta,,,"Grid renders data rows, each exposing Pricing Strategy text",,,locations,,"Office 1606 is open in Navigator. The Pricing sub-tab is active and the stored grid view preference has been reset

Test Data:
User: automation user (location-edit permission)
Location: test office 1606
Application: Navigator
Sub-tab: ""Pricing""",Medium,,Pricing,1,,Locations > Pricing,"<ol>
<li>1. Navigate to Setup > Location > 1606 > ""Basic Information"" tab</li>
<li>2. Click the ""Pricing"" sub-tab</li>
<li>3. Grid renders data rows, each exposing Pricing Strategy text</li>
</ol>",,,"1. The Basic Information tab for location 1606 is displayed
2. The Pricing sub-tab becomes active; the Pricing settings panel and the Location Secondary Pricing grid are displayed
3. Grid renders data rows, each exposing Pricing Strategy text",,,,Master,S1620,Test Case (Steps),Regression,,,
,Grid columns 1-3 are read-only,,,,,Automated,Omeesha Mahanta,,,Grid columns 1-3 are read-only,,,locations,,"Office 1606 is open in Navigator. The Pricing sub-tab is active and the stored grid view preference has been reset

Test Data:
User: automation user (location-edit permission)
Location: test office 1606
Application: Navigator
Sub-tab: ""Pricing""",Medium,,Pricing,1,,Locations > Pricing,"<ol>
<li>1. Navigate to Setup > Location > 1606 > ""Basic Information"" tab</li>
<li>2. Click the ""Pricing"" sub-tab</li>
<li>3. Grid columns 1-3 are read-only</li>
</ol>",,,"1. The Basic Information tab for location 1606 is displayed
2. The Pricing sub-tab becomes active; the Pricing settings panel and the Location Secondary Pricing grid are displayed
3. Grid columns 1-3 are read-only",,,,Master,S1620,Test Case (Steps),Regression,,,
,Save is disabled on a clean load,,,,,Automated,Omeesha Mahanta,,,Save is disabled on a clean load,,,locations,,"Office 1606 is open in Navigator. The Pricing sub-tab is active and the stored grid view preference has been reset

Test Data:
User: automation user (location-edit permission)
Location: test office 1606
Application: Navigator
Sub-tab: ""Pricing""",Medium,,Pricing,1,,Locations > Pricing,"<ol>
<li>1. Navigate to Setup > Location > 1606 > ""Basic Information"" tab</li>
<li>2. Click the ""Pricing"" sub-tab</li>
<li>3. Save is disabled on a clean load</li>
</ol>",,,"1. The Basic Information tab for location 1606 is displayed
2. The Pricing sub-tab becomes active; the Pricing settings panel and the Location Secondary Pricing grid are displayed
3. Save is disabled on a clean load",,,,Master,S1620,Test Case (Steps),Regression,,,
,Currency filter defaults to All and offers exactly All and USD on 1606,,,,,Automated,Omeesha Mahanta,,,Currency filter defaults to All and offers exactly All and USD on 1606,,,locations,,"Office 1606 is open in Navigator. The Pricing sub-tab is active and the stored grid view preference has been reset

Test Data:
User: automation user (location-edit permission)
Location: test office 1606
Application: Navigator
Sub-tab: ""Pricing""",Medium,,Pricing,1,,Locations > Pricing,"<ol>
<li>1. Navigate to Setup > Location > 1606 > ""Basic Information"" tab</li>
<li>2. Click the ""Pricing"" sub-tab</li>
<li>3. Currency filter defaults to All and offers exactly All and USD on 1606</li>
</ol>",,,"1. The Basic Information tab for location 1606 is displayed
2. The Pricing sub-tab becomes active; the Pricing settings panel and the Location Secondary Pricing grid are displayed
3. Currency filter defaults to All and offers exactly All and USD on 1606",,,,Master,S1620,Test Case (Steps),Regression,,,
