ID,Title,AI Automated Test,AI Model,AI Type,Attachments,Automation Type,Created By,Created On,Estimate,Expected Result,Forecast,Goals,Labels,Mission,Preconditions,Priority,References,Section,Section Depth,Section Description,Section Hierarchy,Steps,Steps,Steps (Additional Info),Steps (Expected Result),Steps (References),Steps (Shared step ID),Steps (Step),Suite,Suite ID,Template,Type,Updated By,Updated On,is_converted
,"Local Information tab loads with header, disabled Save, and every core section visible",,,,,Automated,Omeesha Mahanta,,,Save is switched off before anything is edited,,,locations,,"Office 1604 is open in Navigator. Local Information sub-tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sub-tab: ""Local Information""",High,,Local_Information,1,,Locations > Local_Information,"<ol>
<li>1. Open the Local Information sub-tab for office 1604</li>
<li>2. Check the Local Information tab is the one on screen, on the Location Settings page</li>
<li>3. Check the main controls of the form are all on screen</li>
<li>4. Check Save is switched off before anything is edited</li>
</ol>",,,"1. Opening the Local Information tab for a location shows the settings form, with Save switched off because nothing has been changed yet.
2. The local information tab is the one on screen, on the location settings page
3. The main controls of the form are all on screen
4. Save is switched off before anything is edited",,,,Master,S1620,Test Case (Steps),Regression,,,
,Left-panel baseline values match the shared Location Settings header for office 1604,,,,,Automated,Omeesha Mahanta,,,The two shared switches are in their expected positions,,,locations,,"Office 1604 is open in Navigator. Local Information sub-tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sub-tab: ""Local Information""",High,,Local_Information,1,,Locations > Local_Information,"<ol>
<li>1. Open the Local Information sub-tab for office 1604</li>
<li>2. Read the details panel on the left</li>
<li>3. Check the panel names the expected office and pay-to address</li>
<li>4. Check the two shared switches are in their expected positions</li>
</ol>",,,"1. The location details panel on the left shows the right office and its shared settings, the same on this tab as on every other one.
2. The action completes and the form stays responsive.
3. The panel names the expected office and pay-to address
4. The two shared switches are in their expected positions",,,,Master,S1620,Test Case (Steps),Regression,,,
,Checkbox defaults - the full CHECKED_DEFAULTS group reads checked on a fresh load,,,,,Automated,Omeesha Mahanta,,,None of them are switched off,,,locations,,"Office 1604 is open in Navigator. Local Information sub-tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sub-tab: ""Local Information""",High,,Local_Information,1,,Locations > Local_Information,"<ol>
<li>1. Open the Local Information sub-tab for office 1604</li>
<li>2. Read every setting expected to be switched on</li>
<li>3. Check none of them are switched off</li>
</ol>",,,"1. Every setting that is supposed to be switched on for this office really is switched on when the page opens.
2. The action completes and the form stays responsive.
3. None of them are switched off",,,,Master,S1620,Test Case (Steps),Regression,,,
,Checkbox defaults - the full UNCHECKED_DEFAULTS group reads unchecked on a fresh load,,,,,Automated,Omeesha Mahanta,,,None of them are switched on,,,locations,,"Office 1604 is open in Navigator. Local Information sub-tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sub-tab: ""Local Information""",High,,Local_Information,1,,Locations > Local_Information,"<ol>
<li>1. Open the Local Information sub-tab for office 1604</li>
<li>2. Read every setting expected to be switched off</li>
<li>3. Check none of them are switched on</li>
</ol>",,,"1. Every setting that is supposed to be switched off for this office really is switched off when the page opens.
2. The action completes and the form stays responsive.
3. None of them are switched on",,,,Master,S1620,Test Case (Steps),Regression,,,
,Disabled-checkbox baseline matrix matches DISABLED_CHECKBOX_STATES,,,,,Automated,Omeesha Mahanta,,,Every one is greyed out and in the right position,,,locations,,"Office 1604 is open in Navigator. Local Information sub-tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sub-tab: ""Local Information""",High,,Local_Information,1,,Locations > Local_Information,"<ol>
<li>1. Open the Local Information sub-tab for office 1604</li>
<li>2. Read each greyed-out setting and the position it is locked in</li>
<li>3. Check every one is greyed out and in the right position</li>
</ol>",,,"1. The settings this office is not allowed to change are greyed out, and each one is left in the expected position.
2. The action completes and the form stays responsive.
3. Every one is greyed out and in the right position",,,,Master,S1620,Test Case (Steps),Regression,,,
,Reloading and re-navigating to Local Information reproduces the same baseline,,,,,Automated,Omeesha Mahanta,,,The same values come back and save is switched off again,,,locations,,"Office 1604 is open in Navigator. Local Information sub-tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sub-tab: ""Local Information""",High,,Local_Information,1,,Locations > Local_Information,"<ol>
<li>1. Open the Local Information sub-tab for office 1604</li>
<li>2. Note a sample of settings before the refresh</li>
<li>3. Refresh the browser and open the tab again</li>
<li>4. Check the same values come back and Save is switched off again</li>
</ol>",,,"1. Refreshing the browser and coming back to the tab shows exactly the same settings as before, so nothing is remembered incorrectly between visits.
2. The action completes and the form stays responsive.
3. The action completes and the form stays responsive.
4. The same values come back and save is switched off again",,,,Master,S1620,Test Case (Steps),Regression,,,
,Save button is disabled on a completely fresh load,,,,,Automated,Omeesha Mahanta,,,Save is switched off,,,locations,,"Office 1604 is open in Navigator. Local Information sub-tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sub-tab: ""Local Information""",High,,Local_Information,1,,Locations > Local_Information,"<ol>
<li>1. Open the Local Information sub-tab for office 1604</li>
<li>2. Open the tab from a clean refresh</li>
<li>3. Check Save is switched off</li>
</ol>",,,"1. Save cannot be pressed until something is actually changed, so nobody can save an unchanged form by accident.
2. The action completes and the form stays responsive.
3. Save is switched off",,,,Master,S1620,Test Case (Steps),Regression,,,
,A validated LDW Percentage change enables Save and persists through save+reload,,,,,Automated,Omeesha Mahanta,,,The change saved and survived the refresh,,,locations,,"Office 1604 is open in Navigator. Local Information sub-tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sub-tab: ""Local Information""",High,,Local_Information,1,,Locations > Local_Information,"<ol>
<li>1. Open the Local Information sub-tab for office 1604</li>
<li>2. Change LDW to &lt;value> and save it</li>
<li>3. Check the change saved and survived the refresh</li>
</ol>",,,"1. Changing the LDW percentage to a valid figure switches Save on, and the new figure is still there after saving and refreshing.
2. The action completes and the form stays responsive.
3. The change saved and survived the refresh",,,,Master,S1620,Test Case (Steps),Regression,,,
,Clicking Save always raises the shared Save Changes confirmation dialog,,,,,Automated,Omeesha Mahanta,,,The action completes and the form stays responsive.,,,locations,,"Office 1604 is open in Navigator. Local Information sub-tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sub-tab: ""Local Information""",High,,Local_Information,1,,Locations > Local_Information,"<ol>
<li>1. Open the Local Information sub-tab for office 1604</li>
<li>2. Make a small change so Save can be pressed</li>
<li>3. Check Save switched on after the change</li>
<li>4. Press Save</li>
<li>5. Check the confirmation box appears with the expected wording</li>
<li>6. Back out of the confirmation box</li>
</ol>",,,"1. Pressing Save always asks the user to confirm first, so a save is never silent.
2. The action completes and the form stays responsive.
3. Save switched on after the change
4. The action completes and the form stays responsive.
5. The confirmation box appears with the expected wording
6. The action completes and the form stays responsive.",,,,Master,S1620,Test Case (Steps),Regression,,,
,Cancelling the Save Changes dialog aborts persistence and keeps the edit on screen,,,,,Automated,Omeesha Mahanta,,,"The original value came back, proving nothing was stored",,,locations,,"Office 1604 is open in Navigator. Local Information sub-tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sub-tab: ""Local Information""",High,,Local_Information,1,,Locations > Local_Information,"<ol>
<li>1. Open the Local Information sub-tab for office 1604</li>
<li>2. Type a new Oracle Product code and press Save</li>
<li>3. Choose Cancel in the confirmation box</li>
<li>4. Check the typed value is still on screen and Save is still available</li>
<li>5. Refresh the browser</li>
<li>6. Check the original value came back, proving nothing was stored</li>
</ol>",,,"1. Backing out of the save confirmation leaves the typed change on screen but does not store it, so a refresh brings the old value back.
2. The action completes and the form stays responsive.
3. The action completes and the form stays responsive.
4. The typed value is still on screen and save is still available
5. The action completes and the form stays responsive.
6. The original value came back, proving nothing was stored",,,,Master,S1620,Test Case (Steps),Regression,,,
,Navigating to another sub-tab while Local Information is dirty raises NO Unsaved Changes dialog (defect),,,,,Automated,Omeesha Mahanta,,,"The user is taken away regardless, losing the edit",,,locations,,"Office 1604 is open in Navigator. Local Information sub-tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sub-tab: ""Local Information""",High,,Local_Information,1,,Locations > Local_Information,"<ol>
<li>1. Open the Local Information sub-tab for office 1604</li>
<li>2. Make an unsaved change</li>
<li>3. Check the form really does have unsaved changes at this point</li>
<li>4. Try to move to another sub-tab</li>
<li>5. Check no warning of any kind appears - the defect being recorded</li>
<li>6. Check the user is taken away regardless, losing the edit</li>
</ol>",,,"1. Leaving the tab with unsaved edits gives the user no warning at all. Every other tab in this area does warn, so this records the gap as a defect.
2. The action completes and the form stays responsive.
3. The form really does have unsaved changes at this point
4. The action completes and the form stays responsive.
5. No warning of any kind appears - the defect being recorded
6. The user is taken away regardless, losing the edit",,,,Master,S1620,Test Case (Steps),Regression,,,
,Unsaved Local Information edits survive a sub-tab round-trip and are lost only on a full reload,,,,,Automated,Omeesha Mahanta,,,"The refresh is what discards the edit, with no warning beforehand",,,locations,,"Office 1604 is open in Navigator. Local Information sub-tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sub-tab: ""Local Information""",High,,Local_Information,1,,Locations > Local_Information,"<ol>
<li>1. Open the Local Information sub-tab for office 1604</li>
<li>2. Make an unsaved change and leave the tab</li>
<li>3. Come back to Local Information</li>
<li>4. Check the edit is still there and still waiting to be saved</li>
<li>5. Now refresh the browser</li>
<li>6. Check the refresh is what discards the edit, with no warning beforehand</li>
</ol>",,,"1. Even with no warning shown, leaving the tab and coming back keeps the unsaved edit, so nothing is lost in the moment. Refreshing the browser is what throws it away.
2. The action completes and the form stays responsive.
3. The action completes and the form stays responsive.
4. The edit is still there and still waiting to be saved
5. The action completes and the form stays responsive.
6. The refresh is what discards the edit, with no warning beforehand",,,,Master,S1620,Test Case (Steps),Regression,,,
,Billing Way Effective Date control baseline enabled/disabled state matches whether Billing Way can currently change,,,,,Automated,Omeesha Mahanta,,,"The date control is locked, matching the confirmed baseline for this office",,,locations,,"Office 1604 is open in Navigator. Local Information sub-tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sub-tab: ""Local Information""",High,,Local_Information,1,,Locations > Local_Information,"<ol>
<li>1. Open the Local Information sub-tab for office 1604</li>
<li>2. Check the date control is locked, matching the confirmed baseline for this office</li>
</ol>",,,"1. The billing start date can only be edited when the billing method itself is allowed to change; for this office it is locked.
2. The date control is locked, matching the confirmed baseline for this office",,,,Master,S1620,Test Case (Steps),Regression,,,
,Billing Way Effective Date rejects a date before today,,,,,Automated,Omeesha Mahanta,,,"No past date can be entered, because the control cannot be opened at all",,,locations,,"Office 1604 is open in Navigator. Local Information sub-tab is active

Test Data:
User: automation user (location-edit permission)
Location: test office 1604
Application: Navigator
Sub-tab: ""Local Information""",High,,Local_Information,1,,Locations > Local_Information,"<ol>
<li>1. Open the Local Information sub-tab for office 1604</li>
<li>2. Check no past date can be entered, because the control cannot be opened at all</li>
</ol>",,,"1. A billing start date in the past is not accepted. For this office the control is locked, which is itself the strongest possible rejection.
2. No past date can be entered, because the control cannot be opened at all",,,,Master,S1620,Test Case (Steps),Regression,,,
